SYMBOL,avg_log2FC,AveExpr,t,Pvalue,adj.P.Val,B
HOXA10-HOXA9 ,1.22084808,2.452688233,15.31028807,2.03E-07,0.001226425,7.093336182
FBXO41 ,0.659740874,2.608793719,14.65239896,2.90E-07,0.001226425,6.844477944
MMP10,1.149173291,2.258168976,14.59125164,3.00E-07,0.001226425,6.820417071
COL11A1,1.302295861,2.223078342,14.30804322,3.52E-07,0.001226425,6.706818084
MMP13,1.47324151,2.335765935,14.05340571,4.07E-07,0.001226425,6.601563623
CDC25B,0.352867516,3.293598958,13.35922696,6.12E-07,0.001537018,6.298771579
MYBL2,0.631499759,3.062261941,13.03935491,7.43E-07,0.001600532,6.150970835
SLC6A1,-1.247460578,2.681460979,-12.64700159,9.50E-07,0.001788913,5.962069308
CYP4F12,-0.753751044,2.943490755,-11.19832047,2.50E-06,0.004079334,5.184036019
LIMK1,0.82081482,2.314687693,11.085914,2.71E-06,0.004079334,5.117848234
UBE2T,0.373963928,3.215412614,10.8693667,3.16E-06,0.004194541,4.987767963
DDX11,0.268627643,3.171823474,10.79425724,3.34E-06,0.004194541,4.941842904
COL9A2,0.793468104,2.252403932,10.5454762,4.01E-06,0.004650622,4.786680369
CBS,0.774972188,2.559585923,10.42648689,4.38E-06,0.00472036,4.710776103
CDKN3,0.397717964,3.264925244,10.22978628,5.09E-06,0.0051139,4.582830502
EN1,1.216240565,2.2468432,9.572711138,8.53E-06,0.007366769,4.132010565
RAD54L2,0.318902997,2.71907361,9.571893839,8.54E-06,0.007366769,4.131426388
MMP11,1.024388937,2.470753579,9.534746531,8.80E-06,0.007366769,4.104811174
SIX1,1.131928832,2.414324856,9.408656197,9.75E-06,0.007735628,4.013534113
EDN3,-1.260386581,2.853948775,-9.295634163,1.07E-05,0.007748978,3.930470773
LOC284825,-0.946530593,2.445347385,-9.267004721,1.10E-05,0.007748978,3.909240535
POLE,0.383359724,2.936497854,9.229421296,1.13E-05,0.007748978,3.881253055
BCAP29,-0.260391587,3.304663371,-9.021238265,1.35E-05,0.008500528,3.723776662
KAT2B,-0.416185843,3.328054725,-9.016264414,1.35E-05,0.008500528,3.719962918
CHTF18,0.445360534,2.400436764,8.947551487,1.44E-05,0.008653376,3.66702786
GAB1,-0.447814435,2.935952732,-8.871363039,1.53E-05,0.008883456,3.607787178
HMGB3,0.323195294,3.183544088,8.760009738,1.69E-05,0.009103408,3.520156359
UBE2C,0.313695968,3.507150585,8.75765817,1.69E-05,0.009103408,3.518292222
NELL2,0.792793664,2.985362788,8.55441281,2.02E-05,0.010510706,3.355024879
DNMT3B,1.085183446,2.51568945,8.495481163,2.13E-05,0.010708056,3.306879113
HOXA10,1.036287649,2.404098646,8.281635385,2.59E-05,0.012569122,3.129055626
LAMB3,0.297751534,3.519728573,8.187812826,2.82E-05,0.01267533,3.04946646
ARHGAP11B ,0.578966262,2.412501753,8.102181049,3.05E-05,0.01267533,2.975972493
ELL3,-0.168481415,3.225159047,-8.099104775,3.06E-05,0.01267533,2.973316976
ROR1,-0.538520502,2.936148047,-8.080262405,3.11E-05,0.01267533,2.957028511
ANKRD20A11P,-0.763832429,3.212248423,-8.067865547,3.15E-05,0.01267533,2.94629008
