location	1990-1	2019-1	change absolute number(%)	1990-2	2019-2	EAPC_ASIR
Grenada	0.13 [0.11-0.16]	0.11 [0.09-0.12]	-15.3846153846154	13.97 [12.03-16.17]	11.53 [9.78-13.46]	-0.8 [-0.9 to -0.71]
Bhutan	3.25 [2.83-3.73]	3 [2.69-3.34]	-7.69230769230769	58.7 [52.8-64.96]	47.76 [41.22-50.77]	-1.11 [-1.2 to -1.02]
Canada	38.03 [33.15-42.58]	52.53 [45.92-59.15]	38.1277938469629	13.55 [11.8-15.19]	12.11 [10.59-13.6]	-0.31 [-0.5 to -0.12]
Guyana	1.42 [1.22-1.65]	1.01 [0.87-1.17]	-28.8732394366197	17.12 [15.02-19.42]	13.71 [11.82-15.8]	-0.91 [-1.04 to -0.79]
Oman	3.79 [3.28-4.38]	5.68 [4.95-6.45]	49.868073878628	20.03 [17.85-22.22]	15.77 [14.09-17.57]	-1.12 [-1.35 to -0.89]
Slovakia	4.33 [3.69-5.03]	4.39 [3.8-4.97]	1.38568129330253	8.4 [7.17-9.81]	8.41 [7.19-9.74]	0.34 [0.21 to 0.48]
Haiti	10.54 [8.82-12.49]	16.02 [13.43-18.92]	51.9924098671727	13.66 [11.77-15.82]	12.28 [10.49-14.26]	-0.47 [-0.52 to -0.41]
India	5809.97 [5156.64-6559.78]	6102.18 [5499.24-6688.9]	5.02945798343193	72.5 [65.96-79.2]	51.2 [45.39-54.84]	-1.51 [-1.6 to -1.42]
Slovenia	1.22 [1.05-1.39]	1.38 [1.19-1.59]	13.1147540983606	6.41 [5.52-7.32]	6.79 [5.77-7.9]	0.21 [0.15 to 0.27]
Romania	19.53 [17.04-22.37]	13.95 [12.11-15.83]	-28.5714285714286	8.82 [7.66-10.14]	7.56 [6.49-8.72]	-0.6 [-0.66 to -0.55]
Samoa	0.2 [0.16-0.25]	0.24 [0.19-0.29]	20	10.84 [9.01-12.93]	10.71 [8.91-12.75]	-0.04 [-0.06 to -0.02]
Nepal	98.37 [85.95-112.71]	96.09 [86.42-105.81]	-2.31777981091796	53.08 [48.15-58.57]	35.78 [32.48-39.23]	-1.73 [-1.88 to -1.58]
Bangladesh	399.44 [333.49-469.15]	539.92 [472.34-609.74]	35.1692369317044	36.34 [31.84-41.28]	38.91 [32.44-41.34]	0.06 [-0.17 to 0.28]
Mali	16.81 [14.31-19.79]	41.85 [35.52-49.17]	148.958953004164	18.63 [16.42-21.11]	19.14 [16.94-21.5]	0.11 [0.05 to 0.18]
Malta	0.21 [0.18-0.24]	0.28 [0.24-0.31]	33.3333333333334	5.72 [4.92-6.61]	5.9 [5.06-6.79]	-0.11 [-0.18 to -0.03]
Palestine	2.17 [1.77-2.63]	4.35 [3.57-5.23]	100.460829493088	8.46 [7.16-9.78]	8.4 [7.11-9.77]	-0.03 [-0.06 to 0.01]
Solomon Islands	0.47 [0.37-0.57]	0.79 [0.64-0.96]	68.0851063829788	10.58 [8.77-12.58]	10.39 [8.61-12.27]	-0.06 [-0.09 to -0.04]
Zimbabwe	17.85 [14.71-21.28]	25.77 [21.74-30.07]	44.3697478991596	16.04 [13.85-18.35]	16.92 [14.7-19.29]	0.24 [0.15 to 0.32]
Turkmenistan	4.96 [4.2-5.84]	6.68 [5.79-7.59]	34.6774193548387	11.68 [10.03-13.54]	12.9 [11.24-14.64]	0.53 [0.38 to 0.69]
Serbia	7.21 [6.26-8.25]	7.07 [6.17-7.94]	-1.94174757281553	7.82 [6.74-9]	7.98 [6.88-9.16]	-0.12 [-0.21 to -0.04]
Timor-Leste	1.37 [1.14-1.64]	1.82 [1.54-2.14]	32.8467153284671	14.69 [12.65-16.91]	12.78 [11.08-14.57]	-0.64 [-0.7 to -0.59]
Qatar	0.34 [0.29-0.41]	1.7 [1.41-1.99]	400	8.42 [7.21-9.83]	8.27 [7.02-9.64]	-0.09 [-0.12 to -0.06]
Paraguay	3.08 [2.59-3.65]	4.43 [3.77-5.13]	43.8311688311688	7.01 [6-8.11]	6.59 [5.66-7.6]	-0.28 [-0.32 to -0.23]
Rwanda	12.04 [10.14-14.23]	19.34 [16.44-22.69]	60.6312292358804	15.97 [13.97-18.11]	15.68 [13.61-17.85]	-0.07 [-0.11 to -0.04]
Myanmar	53.06 [44.25-63.05]	58.68 [49.94-68.07]	10.5917828872974	11.84 [10.18-13.72]	11.23 [9.57-13]	-0.23 [-0.29 to -0.17]
Gabon	1.62 [1.36-1.92]	2.62 [2.21-3.08]	61.7283950617284	14.91 [12.83-17.28]	14.82 [12.68-17.13]	-0.01 [-0.05 to 0.03]
Northern Mariana Islands	0.05 [0.04-0.06]	0.04 [0.03-0.04]	-20	10.99 [9.14-12.98]	10.83 [9-12.86]	-0.07 [-0.11 to -0.03]
Belgium	3.96 [3.39-4.51]	5.17 [4.5-5.85]	30.5555555555556	3.92 [3.33-4.5]	4.07 [3.49-4.67]	-0.09 [-0.2 to 0.02]
Djibouti	0.82 [0.69-0.96]	1.87 [1.61-2.17]	128.048780487805	16.56 [14.47-18.61]	15.98 [14.02-18.15]	-0.14 [-0.16 to -0.11]
Netherlands	5.28 [4.53-6.04]	6.41 [5.55-7.33]	21.4015151515151	3.6 [3.06-4.15]	3.46 [2.94-4]	-0.21 [-0.37 to -0.05]
El Salvador	9.2 [7.5-11.12]	8.12 [6.7-9.77]	-11.7391304347826	14.88 [12.44-17.63]	13.41 [11.04-16.09]	-0.43 [-0.56 to -0.3]
Puerto Rico	4.35 [3.69-5.07]	3.33 [2.9-3.79]	-23.448275862069	12.46 [10.58-14.46]	11.21 [9.48-13.14]	-0.43 [-0.56 to -0.3]
Philippines	143.6 [121.24-168.52]	203.39 [174.89-236.59]	41.6364902506964	19.68 [17.07-22.59]	17.52 [15.18-20.24]	-0.48 [-0.54 to -0.42]
Seychelles	0.09 [0.07-0.1]	0.11 [0.1-0.13]	22.2222222222222	11.82 [10.17-13.6]	12.04 [10.38-13.85]	0.04 [0.03 to 0.06]
Uzbekistan	39.58 [34.78-44.9]	51.62 [45.76-58.4]	30.4194037392623	16.52 [14.74-18.46]	15.02 [13.4-16.89]	-0.28 [-0.44 to -0.13]
Burundi	9.22 [7.77-10.81]	18.98 [15.94-22.56]	105.8568329718	15.63 [13.71-17.59]	15.5 [13.52-17.73]	-0.05 [-0.09 to -0.01]
Somalia	11.91 [10-14.08]	32.92 [27.49-39.55]	176.406381192275	16.12 [14.07-18.18]	15.94 [13.91-17.97]	-0.06 [-0.1 to -0.02]
Belarus	11.18 [9.85-12.61]	10.33 [9.23-11.47]	-7.60286225402504	11.15 [9.77-12.71]	11.22 [9.85-12.74]	0.02 [-0.02 to 0.05]
Benin	9.11 [7.64-10.75]	22.65 [19.07-26.43]	148.627881448957	18.09 [15.83-20.65]	17.94 [15.73-20.22]	-0.04 [-0.07 to -0.01]
