tax	ADAL1	ADAL3	ADALmet1	ADALmet2	ADUP1	ADUP3	ADUPmet1	ADUPmet2	KUAL1	KUAL2	KUAL3	KUALmet1	KUALmet2	KUALmet3	KUUP1	KUUP2	KUUP3	KUUPmet2
6d3810d6bd757ff197a7e2c4edc040fb	0	0	10	0	0	0	0	0	23	13	0	59	47	70	15	0	0	0
771a4a1f9f60338feb958208f56de42c	0	0	15	0	0	0	0	0	0	15	22	49	55	0	0	0	0	0
1fc31f5aeebd91821a1255fda5db8d26	177	185	52	61	1100	1229	1080	1843	0	17	26	11	0	0	0	0	0	0
638cc66c3dde12d35fa61cd5c157cc9e	192	137	45	59	1035	949	1970	1402	28	18	0	8	10	0	0	17	21	26
2e37e20b896fedda02622f1c09691031	0	0	13	0	0	7	20	0	73	74	72	64	69	0	353	228	314	273
cc32f85a6ff22c4ee341999cb60115da	22	0	6	11	0	6	0	24	47	48	62	65	59	131	297	240	299	197
415c08ba928c8f12cad49186ba8e8ef2	0	0	4	9	0	19	27	26	32	22	22	24	16	0	287	210	338	260
dbdb3fe00afb2533f26581912419350f	0	16	4	0	33	15	0	0	17	22	18	27	21	68	291	233	295	190
ac5398b28ea7a38b24ccc00c223bf4b7	0	14	13	34	36	33	34	30	22	19	24	16	17	0	34	0	24	23
509dc763c848a3a6b528a34a1693aa41	55	49	41	53	444	380	578	353	0	0	0	0	0	0	6	0	0	0
b7b245b22e28db0d12a2edea9dcfb149	66	69	36	48	461	491	361	453	12	10	8	4	0	0	0	0	0	0
cb6daf80fc10484b7d17901041f6c80c	23	13	18	0	42	37	20	35	0	13	0	13	18	48	25	37	39	18
1549a0eed2985830bb8efe2e4e9872b4	0	0	5	16	60	71	22	52	97	71	82	89	87	150	39	40	62	69
f224e64354bcbe51753c2607de978020	61	55	112	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0
174ee48a49c6e255e17880ce5e698540	0	9	7	0	66	62	57	39	100	78	68	58	79	0	43	57	55	63
4f7a3d60afbda158a02e76a4b2862ba6	0	0	0	0	24	28	24	34	118	98	141	138	101	281	40	0	41	0
4b3d44e9cda33ae0a7562230121c98a6	76	72	84	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69c9d2d4e75a2190789aa11968a70b20	0	0	3	9	0	0	0	0	0	0	0	0	17	0	11	0	0	0
c3b2b9dbeb6ddfb4221249cc9874af88	0	0	0	0	19	13	0	0	160	164	142	122	126	0	39	0	43	0
93bb323814aea8ead5794721da1e69c5	0	0	4	0	0	0	0	0	0	6	7	0	0	13	0	19	0	0
16eb9319bc532317cfb937128ffb75a0	0	0	0	0	0	0	0	0	10	0	0	6	8	0	15	19	0	35
bc07c2dff408f6fbe4f5f11070c9957e	0	6	0	0	0	0	0	8	0	0	0	16	0	9	0	0	0	0
b2f563aca206bb67c3129f8b524d82d8	0	0	0	0	0	2	6	0	0	18	22	10	0	0	113	214	110	249
9654091880ba480574ea13393827e4f9	0	0	4	0	0	0	0	0	127	111	114	85	78	0	56	40	48	38
c32e1c315481a9c57a747e689f2a8ed0	0	0	1	0	0	0	0	0	124	104	121	83	61	161	15	0	0	30
6aecf6344e5ef3a6c9246aa5473dc1ec	0	0	3	0	0	0	0	0	0	0	0	0	11	18	120	247	103	175
d76b3b73e9a78d1133aaa7f416832811	37	32	37	33	130	114	0	0	0	0	0	0	0	0	0	0	0	0
51e4903615aed0db110d692403799c2a	56	57	41	42	140	157	0	0	0	0	0	0	0	0	0	0	0	0
573fc2626e1f59f26394f0185dcc1587	26	0	21	39	48	13	30	49	0	18	0	15	14	29	20	32	31	0
4241871fa86ff53cb63b00b48a149601	0	0	3	0	0	0	0	0	73	78	76	53	66	120	36	49	51	60
548cd5e28b69f6c9e51fa88a062b92ea	0	0	0	0	0	0	0	0	141	136	133	78	88	0	26	34	49	0
59332ac2f4972ea6b63d9111c7b1c6eb	95	106	79	76	2	0	0	0	0	0	0	0	0	0	0	0	0	0
8033c660eb12577376c651aab1b7ea25	97	62	100	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3084598d5abb5a9a0470dbaf51f4a0cb	0	0	1	0	0	0	0	0	96	84	88	72	70	0	59	63	56	65
d0a6e12c8777dd8cc4a287153902b0f7	0	0	0	0	0	0	0	0	102	83	100	55	43	141	44	0	47	0
dd04957f2cacb603ac6afc2bb8155643	0	0	5	0	0	0	0	0	54	76	58	56	51	124	41	47	52	49
48939ef6137926eccc93f15ba8c179af	0	27	23	0	0	20	0	0	31	16	23	14	15	0	20	0	0	30
4b5860272c103505a86be7e3cb8ec654	0	0	0	0	0	0	0	0	94	59	86	54	69	0	38	56	53	77
6de05accf5348bd5be1bb1d2f6d6be3b	0	0	0	0	221	190	0	0	0	0	0	0	0	0	0	0	0	0
90bba22ef3aacb6f875a4dd8c3f45a38	0	0	0	0	238	232	0	0	0	0	0	0	0	0	0	0	0	0
9ff9d65923e9a0a6b4a7ebf93a55f142	0	0	0	0	0	0	0	0	132	95	113	72	99	0	12	0	0	18
ce9686e056c265140c145dca4e03f7d9	0	0	1	0	0	0	0	0	0	12	16	136	98	278	0	0	0	0
93c1efeb08e7daf3a826c848b64a767b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fffbd82c70349fda623d96eaa8bd1b8d	121	44	29	84	0	0	0	0	50	31	28	23	35	0	0	27	33	21
29707f161d8f2681e60a2669f1fc5bf2	0	0	2	0	0	0	0	0	0	8	0	0	0	0	161	116	185	108
95980d29e12697b990f42dacfea14463	0	0	0	0	0	0	0	0	107	93	99	65	78	92	0	0	0	0
195f38b6cf20dfa3b7f7ac8977daecb6	0	0	0	0	226	232	0	0	0	0	0	0	0	0	0	0	0	0
030386c2035f7da61d5af384429884a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
f72ac056b173dda4a92e6719b93627b4	0	0	0	0	0	2	0	0	64	79	57	78	60	148	18	0	0	0
92eb35c71028e26579f72f437f6296a4	0	0	0	0	0	0	0	0	69	54	45	36	34	0	51	49	72	93
5fae94cb29bbd577350e887e175dd439	0	0	0	0	0	0	0	0	74	72	57	86	86	0	25	33	41	36
73e544fdc5716286a3dc013b053d459b	0	22	2	0	0	0	0	0	0	0	0	21	23	48	0	0	0	0
583bff01bc993fd325ea4d45ecc862a4	0	0	0	0	0	6	0	0	71	64	94	63	43	134	7	0	29	0
95332d7804046d883510bbc937f2d36f	0	14	2	0	0	0	0	0	0	0	0	21	30	0	0	0	0	0
de849fbeb8ff23c88ce5d089fe49f39c	0	0	0	0	0	0	0	0	48	55	57	56	39	90	18	39	39	0
3eac97736212c9e72bd427b0b3b689e7	0	0	0	0	0	0	0	0	99	93	107	62	91	0	16	17	0	0
edc7fcad1eb116b5e7cd88cb6eab8765	0	31	29	46	0	0	0	0	0	13	14	16	21	61	7	0	19	17
2fb2396cd18ba82e41cac0e59029af7e	0	51	26	50	0	0	0	0	0	21	25	31	22	47	10	0	0	0
c7fe8c6a2ba3bfbeb0e2bca5aa9e8f62	36	37	60	66	0	0	0	0	0	0	8	8	0	11	0	0	0	0
0cfca3334609efc50a9b35a4895572f5	2	0	1	0	0	1	0	10	10	11	8	17	0	16	8	0	44	10
3eb5c82b2754969b78e200c17756d65a	21	20	14	31	0	10	0	23	0	17	22	13	0	17	5	0	10	0
50594580a98612229236df571efa93b3	0	13	9	11	33	20	0	0	0	13	21	9	7	20	12	18	15	18
af49cc87fdafbd44830826c8c6c30549	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b7613e933b0c11467c429601be9bda58	41	38	49	38	0	3	0	0	43	11	34	13	18	0	12	10	0	0
2e955abd9c5ad0a07e7f182ecb9d283e	48	38	52	56	0	0	0	0	0	6	0	0	0	0	0	0	0	0
6b6bb1543da2a58d852fcfd4808ad21d	46	41	52	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4f15f89b7c6281ea04a12371c6b2f7a4	49	25	38	34	0	0	0	0	49	16	26	13	30	0	8	9	0	0
e9df811bb81283c7489a61f9a78d12d3	47	51	50	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0
390ab828fd338420a9862ec7d393c256	85	69	35	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5246d0ad77673d7a0da4cecb7d4c50f2	0	0	12	0	25	7	14	0	23	13	0	9	18	0	15	15	0	14
7a614f395e6aff7b666159c892acc53a	86	84	32	108	0	0	0	0	0	0	0	0	0	0	15	0	0	0
1df81abe2d1c3d402f46e5848423b9d0	0	0	0	0	0	0	0	0	71	47	61	48	40	0	15	0	0	31
a711521581b623d35b807dfc83066347	0	0	0	0	0	20	0	11	0	0	0	0	0	0	0	0	0	0
4ef3d69cffca60c8c238bc9f59d50fa0	0	0	0	0	0	0	0	0	33	22	17	122	133	0	0	0	0	0
7f2bcd7bbfd83e2d07011e2de97ba79d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f090fb69ebe25414a444eda494a80fd3	0	0	0	0	12	0	17	0	0	0	0	0	0	0	0	0	0	0
3b64623d532115ac848d810aa7c2e111	32	42	41	54	0	0	0	0	0	9	0	7	10	16	0	0	0	5
27c64a2e79ffb0ac3789623c26bb3b5d	0	2	4	0	0	0	0	0	0	0	0	0	0	0	105	47	79	52
493eaf234d3c3fa25091f6502a24e046	0	0	0	0	0	0	38	49	42	34	32	22	14	64	11	0	29	33
2a2d450b1aba9493b23448ec221edd67	65	53	40	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22d50fba1ed23d9409ed4608913311bf	24	8	19	0	0	0	0	0	40	34	34	24	27	57	13	0	40	0
18886b840608dda2147444cdb01e57af	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	100	90	95
56135f40a058032436892168838249e3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	39	37	58
2f4a920e50d2c02373b30feb4ae85b14	66	75	34	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0
6147e68a4a386e82dbb192000f534a10	0	0	0	0	0	0	87	47	58	40	40	22	21	0	16	32	36	0
7390c33bf4d40f9434a52b3436138075	55	63	42	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0
80c87ec32bde237a0ea9ce90077c76a7	0	0	18	0	0	0	0	0	65	36	30	21	29	0	11	23	44	33
16747129d431831218e4cc2dc5607a88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	124	95	108
b6a653791aed97d5fa169726baf9334b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	43	81	31
8dffb75084b25e9fc723e0daf8ba4a76	0	0	0	0	0	0	0	0	47	39	34	39	31	31	11	39	0	29
2b85e0dfbabd3067e6ec104266194276	0	0	0	0	0	0	0	0	0	3	0	0	0	0	30	47	30	37
905c7b79b0c97947f175fdc5f25b858e	46	30	34	40	0	0	0	0	0	5	0	8	7	0	0	0	0	0
da64dffb490867412a278756306146f9	0	0	0	0	0	0	0	0	0	0	0	0	12	0	17	18	0	0
33f2e9e05ffcb296672630e13fa87dc0	0	0	11	0	0	0	0	0	36	32	32	25	22	0	15	33	0	25
84be87561f0c72622bba40f0ccab47ff	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fc396e8d6e005838b6489d51ffd01e41	0	28	36	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cc48593f3d9be821de2bdf84ca370e9a	49	19	33	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24cb56a451a3b9d471f228ed8f51b567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	78	58	58
f184ece4e0331726e021d6450bdfaae8	27	19	7	0	11	0	0	0	0	6	17	0	6	0	13	0	21	0
f8d5b6e94ddc29d4bb50876a86428daa	64	37	27	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dc9662c9e39b24217ca2b6af0376a76b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	103	104	96
