Genus	S1	S2	S3	S4	S5	S6	S7	S8
Erwinia	56111	9674	18417	138588	78592	28393	108709	63053
Quadrisphaera	39646	132049	85326	2941	16603	72464	12222	22427
Microbacterium	27924	859	6425	754	1211	14725	1778	22688
Agrobacterium	3731	152	4262	499	300	10559	8295	2704
Methylobacterium	1908	503	5087	970	396	4054	5421	3089
Pseudomonas	1858	1262	433	479	24	1373	382	15243
Sphingomonas	1336	167	1112	77	44	879	728	723
Curtobacterium	2787	662	101	383	11	2887	348	223
Aurantimonas	1096	75	315	97	29	692	379	241
Pantoea	141	20	76	24	25	763	348	296
Unclassified	16791	8702	32571	9313	56890	17336	15515	23438
