"","gene1","gene2","gene3","gene4","gene5","gene6","gene7","gene8","gene9","gene10","gene11","gene12"
"Erwinia",0.000310571183195788,0.00199640018696891,0.000310571183195788,0.00199640018696891,0.000310571183195788,0.00199640018696891,0.989277214560334,0.000310571183195788,0.989277214560334,0.435855019169891,0.989277214560334,0.000310571183195788
"Quadrisphaera",0.000310571183195788,0.00199640018696891,0.000310571183195788,0.00199640018696891,0.000310571183195788,0.00199640018696891,0.989277214560334,0.000310571183195788,0.989277214560334,0.435855019169891,0.989277214560334,0.000310571183195788
"Microbacterium",0.968117779640197,0.866753062831641,0.968117779640197,0.866753062831641,0.968117779640197,0.866753062831641,0.438493432223888,0.968117779640197,0.438493432223888,0.435855019169891,0.438493432223888,0.968117779640197
"Agrobacterium",0.989277214560334,0.989277214560334,0.989277214560334,0.989277214560334,0.989277214560334,0.989277214560334,0.0112184652633588,0.989277214560334,0.0112184652633588,1,0.0112184652633588,0.989277214560334
"Methylobacterium",0.989277214560334,0.989277214560334,0.989277214560334,0.989277214560334,0.989277214560334,0.989277214560334,0.0112184652633588,0.989277214560334,0.0112184652633588,0.989277214560334,0.0112184652633588,0.989277214560334
"Pseudomonas",0.84283754654125,0.716210851600801,0.84283754654125,0.716210851600801,0.84283754654125,0.716210851600801,0.989277214560334,0.84283754654125,0.989277214560334,0.0203238169108701,0.989277214560334,0.84283754654125
"Sphingomonas",0.84283754654125,0.5237890625,0.84283754654125,0.5237890625,0.84283754654125,0.5237890625,0.163616236756204,0.84283754654125,0.163616236756204,0.847335557269799,0.163616236756204,0.84283754654125
"Curtobacterium",0.989277214560334,0.572162041422085,0.989277214560334,0.572162041422085,0.989277214560334,0.572162041422085,0.989277214560334,0.989277214560334,0.989277214560334,0.24712012001297,0.989277214560334,0.989277214560334
"Aurantimonas",0.989277214560334,0.903331449197755,0.989277214560334,0.903331449197755,0.989277214560334,0.903331449197755,0.173507381528995,0.989277214560334,0.173507381528995,0.847335557269799,0.173507381528995,0.989277214560334
"Pantoea",0.989277214560334,0.989277214560334,0.989277214560334,0.989277214560334,0.989277214560334,0.989277214560334,0.122535365641701,0.989277214560334,0.122535365641701,0.989277214560334,0.122535365641701,0.989277214560334
"Unclassified",0.989277214560334,0.989277214560334,0.989277214560334,0.989277214560334,0.989277214560334,0.989277214560334,0.760491262969163,0.989277214560334,0.760491262969163,0.989277214560334,0.760491262969163,0.989277214560334
