"","gene1","gene2","gene3","gene4","gene5","gene6","gene7","gene8","gene9","gene10","gene11","gene12"
"Erwinia",0.976190476190476,-0.952380952380953,0.976190476190476,-0.952380952380953,0.976190476190476,-0.952380952380953,0.0359287878573978,0.976190476190476,0.0359287878573978,-0.545544725589981,0.0359287878573978,0.976190476190476
"Quadrisphaera",-0.976190476190476,0.952380952380953,-0.976190476190476,0.952380952380953,-0.976190476190476,0.952380952380953,-0.0359287878573978,-0.976190476190476,-0.0359287878573978,0.545544725589981,-0.0359287878573978,-0.976190476190476
"Microbacterium",-0.238095238095238,0.30952380952381,-0.238095238095238,0.30952380952381,-0.238095238095238,0.30952380952381,-0.538931817860967,-0.238095238095238,-0.538931817860967,0.545544725589981,-0.538931817860967,-0.238095238095238
"Agrobacterium",0.0238095238095238,0.166666666666667,0.0238095238095238,0.166666666666667,0.0238095238095238,0.166666666666667,-0.898219696434944,0.0238095238095238,-0.898219696434944,0,-0.898219696434944,0.0238095238095238
"Methylobacterium",-0.0476190476190476,0.166666666666667,-0.0476190476190476,0.166666666666667,-0.0476190476190476,0.166666666666667,-0.898219696434944,-0.0476190476190476,-0.898219696434944,-0.109108945117996,-0.898219696434944,-0.0476190476190476
"Pseudomonas",-0.333333333333333,0.404761904761905,-0.333333333333333,0.404761904761905,-0.333333333333333,0.404761904761905,0.131738888810459,-0.333333333333333,0.131738888810459,0.87287156094397,0.131738888810459,-0.333333333333333
"Sphingomonas",-0.333333333333333,0.5,-0.333333333333333,0.5,-0.333333333333333,0.5,-0.718575757147955,-0.333333333333333,-0.718575757147955,0.327326835353989,-0.718575757147955,-0.333333333333333
"Curtobacterium",-0.166666666666667,0.476190476190476,-0.166666666666667,0.476190476190476,-0.166666666666667,0.476190476190476,0.0718575757147955,-0.166666666666667,0.0718575757147955,0.654653670707977,0.0718575757147955,-0.166666666666667
"Aurantimonas",-0.0238095238095238,0.285714285714286,-0.0238095238095238,0.285714285714286,-0.0238095238095238,0.285714285714286,-0.706599494528823,-0.0238095238095238,-0.706599494528823,0.327326835353989,-0.706599494528823,-0.0238095238095238
"Pantoea",0.0714285714285714,0.0952380952380952,0.0714285714285714,0.0952380952380952,0.0714285714285714,0.0952380952380952,-0.754504545005353,0.0714285714285714,-0.754504545005353,0.218217890235992,-0.754504545005353,0.0714285714285714
"Unclassified",-0.0714285714285714,-0.142857142857143,-0.0714285714285714,-0.142857142857143,-0.0714285714285714,-0.142857142857143,-0.383240403812243,-0.0714285714285714,-0.383240403812243,-0.218217890235992,-0.383240403812243,-0.0714285714285714
