Sample	X	Period	Group	value
sample01	A	T1	group1	10
sample02	A	T1	group1	12
sample03	A	T1	group1	14
sample04	A	T1	group2	20
sample05	A	T1	group2	17
sample06	A	T1	group2	20
sample07	A	T1	group3	19
sample08	A	T1	group3	17
sample09	A	T1	group3	15
sample10	A	T1	group4	15
sample11	A	T1	group4	15
sample12	A	T1	group4	11
sample13	A	T2	group1	42
sample14	A	T2	group1	45
sample15	A	T2	group1	49
sample16	A	T2	group2	36
sample17	A	T2	group2	35
sample18	A	T2	group2	37
sample19	A	T2	group3	24
sample20	A	T2	group3	28
sample21	A	T2	group3	27
sample22	A	T2	group4	21
sample23	A	T2	group4	27
sample24	A	T2	group4	25
sample25	B	T1	group1	50
sample26	B	T1	group1	36
sample27	B	T1	group1	35
sample28	B	T1	group2	20
sample29	B	T1	group2	20
sample30	B	T1	group2	19
sample31	B	T1	group3	17
sample32	B	T1	group3	17
sample33	B	T1	group3	19
sample34	B	T1	group4	18
sample35	B	T1	group4	20
sample36	B	T1	group4	15
sample37	B	T2	group1	49
sample38	B	T2	group1	30
sample39	B	T2	group1	33
sample40	B	T2	group2	17
sample41	B	T2	group2	12
sample42	B	T2	group2	10
sample43	B	T2	group3	14
sample44	B	T2	group3	20
sample45	B	T2	group3	14
sample46	B	T2	group4	10
sample47	B	T2	group4	17
sample48	B	T2	group4	16
sample49	C	T1	group1	35
sample50	C	T1	group1	39
sample51	C	T1	group1	37
sample52	C	T1	group2	32
sample53	C	T1	group2	37
sample54	C	T1	group2	33
sample55	C	T1	group3	37
sample56	C	T1	group3	33
sample57	C	T1	group3	38
sample58	C	T1	group4	30
sample59	C	T1	group4	30
sample60	C	T1	group4	36
sample61	C	T2	group1	17
sample62	C	T2	group1	11
sample63	C	T2	group1	19
sample64	C	T2	group2	18
sample65	C	T2	group2	16
sample66	C	T2	group2	13
sample67	C	T2	group3	14
sample68	C	T2	group3	14
sample69	C	T2	group3	13
sample70	C	T2	group4	17
sample71	C	T2	group4	20
sample72	C	T2	group4	13
