OTUID	A1	A2	A3	B1	B2	B3	C1	C2	C3
OTU0002	12577	45386	31975	26309	60741	14489	17352	49108	22893
OTU0001	50063	8526	17795	27125	2213	34595	67720	9746	16155
OTU0006	1076	4706	6513	9069	5542	3513	368	2108	7771
OTU0003	1467	481	7278	4149	3100	12355	1079	1669	6738
OTU0005	4164	11364	2802	3832	914	2798	753	3040	7981
OTU0004	31	341	3009	170	1237	6344	134	124	8096
OTU0015	6422	325	2226	1941	93	3156	65	643	3301
OTU0008	1810	34	594	807	2253	2117	145	2191	3096
OTU0007	1375	49	1366	849	1406	1245	131	1798	1040
OTU0010	3329	52	952	1396	760	762	149	569	963
OTU0009	491	284	1930	1073	1297	1144	24	777	1771
OTU0013	104	2401	553	261	2825	95	7	1716	28
OTU0011	1209	984	814	1055	262	718	185	587	1423
OTU0034	8	4372	16	198	1151	1	4	1249	33
OTU0012	685	1125	1168	679	339	482	114	812	1080
OTU0043	978	147	390	2568	22	302	9	30	1059
OTU0028	3	656	489	56	400	445	64	2762	130
OTU0014	119	658	392	104	40	6	11	3616	27
OTU0016	203	27	234	300	799	142	11	635	451
OTU0031	239	16	165	372	5	1213	227	38	354
OTU0017	85	720	282	243	248	84	43	304	369
OTU0024	77	46	529	609	85	303	103	113	435
OTU0027	70	654	201	183	136	52	21	329	348
OTU0030	73	386	342	164	365	39	21	289	139
OTU0072	293	35	186	761	14	62	4	11	284
OTU0324	0	15	1573	12	4	0	0	0	0
OTU0020	2	2	18	3	61	164	2	1225	23
OTU0076	0	405	903	33	43	0	0	77	5
OTU0018	357	119	132	242	8	158	127	38	249
OTU0021	322	122	129	187	1	131	143	32	201
OTU0026	10	15	95	18	171	521	21	47	262
OTU0022	335	66	164	205	8	77	119	68	103
OTU0029	138	96	102	157	26	151	2	25	440
OTU0019	131	16	120	131	16	399	82	24	155
OTU0102	0	432	74	10	254	0	0	127	0
OTU0038	202	12	141	106	13	60	0	56	215
OTU0130	93	7	90	505	3	45	6	3	48
OTU0087	0	336	65	17	256	0	0	125	0
OTU0023	27	10	128	69	10	199	2	19	326
OTU0065	0	344	1	17	272	0	0	145	3
OTU0193	4	1	2	729	10	1	18	1	1
OTU0035	114	78	71	82	18	99	0	31	246
OTU0051	70	107	20	31	24	30	244	125	23
OTU0036	19	143	86	41	264	15	0	104	1
OTU2299	1	6	644	1	0	0	0	0	0
OTU0039	211	0	32	70	21	64	16	93	89
OTU0032	57	23	62	47	8	124	3	13	232
OTU0109	0	371	3	16	24	3	0	55	14
OTU0054	2	123	26	6	227	2	0	85	3
OTU0037	124	36	38	76	1	58	49	5	48
OTU0033	20	46	88	38	20	52	0	40	121
OTU0096	48	5	36	89	17	153	5	17	50
OTU0025	46	1	31	177	4	1	41	0	98
OTU0041	35	3	125	63	10	47	1	9	69
OTU0059	8	51	139	30	5	6	1	82	28
OTU0040	16	0	36	37	22	121	3	23	87
OTU0080	1	137	102	18	35	0	0	39	1
OTU0046	6	5	69	23	42	106	0	29	40
OTU0064	0	41	58	2	43	28	6	126	10
OTU0273	0	0	1	161	1	0	121	0	30
OTU0066	8	75	25	11	104	3	1	72	2
OTU0060	2	66	33	9	133	3	0	52	0
OTU0048	5	171	26	9	21	7	0	53	4
OTU0588	0	123	13	11	49	0	0	92	1
OTU0606	0	0	0	281	1	0	3	0	0
OTU0268	1	107	29	3	92	0	0	30	0
OTU0125	0	4	8	1	3	1	4	238	0
OTU0053	21	2	44	15	46	23	1	55	49
OTU0049	47	69	23	24	2	10	2	5	57
OTU0050	35	0	36	48	12	47	4	15	23
OTU0627	0	0	0	210	2	0	3	0	0
OTU0052	4	118	25	11	27	3	0	20	6
OTU0191	0	51	110	10	17	0	0	22	1
OTU0589	1	71	121	3	5	0	0	10	0
OTU0042	26	20	27	67	17	7	7	4	32
OTU0192	0	79	24	4	22	1	1	75	1
OTU0122	0	36	25	1	49	5	4	75	9
OTU0044	7	85	29	7	37	2	0	30	1
OTU0045	1	4	32	21	53	23	0	21	32
OTU0073	0	21	25	6	10	36	17	52	8
OTU0055	0	89	5	12	7	0	1	46	3
OTU0658	0	0	0	159	2	0	2	0	0
OTU0047	42	3	20	18	0	28	4	7	37
OTU0069	10	10	32	20	33	4	0	24	26
OTU0142	14	17	1	1	5	0	101	18	1
OTU0082	0	43	13	3	73	0	0	25	0
OTU0057	12	2	36	13	17	38	0	16	20
OTU0085	0	15	17	1	18	14	3	79	1
OTU0081	52	13	13	33	2	11	0	14	7
OTU0146	14	1	9	24	1	25	0	1	60
OTU0078	6	0	36	10	1	41	2	2	25
OTU0061	1	4	9	2	0	0	0	106	0
OTU0209	0	0	1	53	2	0	48	0	14
OTU0063	25	10	7	5	6	23	28	6	2
OTU0094	9	51	16	7	11	1	7	8	0
OTU0145	0	73	1	0	7	2	1	21	0
OTU0625	0	0	103	0	2	0	0	0	0
OTU1619	0	1	2	2	2	0	3	95	0
OTU2148	0	2	101	0	1	0	0	0	0
OTU0133	69	0	6	17	0	4	0	0	7
OTU0110	10	4	3	1	3	8	59	7	1
OTU0134	0	12	16	4	25	2	0	34	3
OTU0633	0	0	0	95	0	0	0	0	0
OTU0301	13	1	19	35	0	9	0	1	15
OTU0599	0	72	0	0	0	0	0	18	0
OTU0056	8	1	2	43	0	1	28	0	4
OTU0083	1	0	4	63	0	0	9	1	7
OTU0104	15	44	9	5	9	0	1	1	0
OTU0645	0	0	0	84	0	0	0	0	0
OTU0143	0	20	0	7	35	0	0	20	1
OTU0127	0	22	9	3	21	0	0	0	0
OTU0141	0	13	22	5	36	0	0	0	0
OTU0190	0	51	4	0	16	0	0	0	0
OTU0618	2	25	9	9	21	0	0	0	0
OTU0068	2	1	23	6	4	16	0	0	0
OTU0161	0	19	16	1	21	2	0	0	0
OTU0079	4	2	5	1	0	0	0	0	0
OTU0118	0	19	6	2	5	4	0	0	0
OTU0620	0	29	2	0	28	1	0	0	0
OTU0075	1	0	15	7	2	19	0	0	0
OTU0284	0	24	1	0	2	0	0	0	0
OTU1224	0	0	65	2	3	0	0	0	0
OTU0074	0	15	5	4	28	3	0	0	0
OTU0129	1	35	6	2	10	2	0	0	0
OTU0058	6	0	5	2	16	8	0	0	0
OTU0091	3	1	2	0	15	6	0	0	0
OTU0144	0	13	5	0	12	2	0	0	0
OTU0077	11	1	18	7	0	8	0	0	0
OTU0592	1	29	15	3	1	0	0	0	0
OTU0267	0	34	0	1	17	0	0	0	0
OTU0280	0	9	9	0	37	0	0	0	0
OTU0111	3	35	12	1	5	0	0	0	0
OTU0088	0	19	6	2	21	0	0	0	0
OTU0067	4	0	0	23	0	0	0	0	0
OTU0097	2	13	5	1	2	13	0	0	0
OTU0105	3	0	17	9	11	0	0	0	0
OTU0198	5	3	4	10	18	1	0	0	0
OTU0116	4	28	4	5	7	0	0	0	0
OTU0426	0	1	48	0	0	0	0	0	0
OTU0086	16	3	5	5	4	7	0	0	0
OTU0132	0	13	4	0	10	1	0	0	0
OTU0604	0	18	1	0	16	0	0	0	0
OTU0660	0	11	6	0	0	8	0	0	0
OTU1104	0	0	0	45	0	0	0	0	0
OTU0090	5	1	12	8	9	0	0	0	0
OTU0641	0	36	1	2	2	0	0	0	0
OTU0113	5	7	8	10	3	1	0	0	0
OTU0704	0	0	0	43	0	0	0	0	0
OTU0062	2	13	8	4	6	1	0	0	0
OTU0089	1	4	11	5	6	3	0	0	0
OTU0117	0	9	4	1	24	2	0	0	0
OTU0099	10	1	11	11	3	2	0	0	0
OTU0154	0	7	6	1	12	2	0	0	0
OTU0266	0	17	15	3	3	0	0	0	0
OTU0206	0	5	7	0	7	0	0	0	0
