OTU	log2FC	p_value	group
OTU001	0.113320299	0.63788952	group1-group2
OTU002	-0.80798354	0.19095245	group1-group2
OTU003	-0.735553001	0.169720738	group1-group2
OTU004	0.24762832	0.542569576	group1-group2
OTU005	0.207642469	0.80338481	group1-group2
OTU006	0.143346281	0.836749217	group1-group2
OTU007	-1.722761442	0.005676648	group1-group2
OTU008	0.199664062	0.734641366	group1-group2
OTU009	1.332520507	0.311651229	group1-group2
OTU010	-0.122798456	0.78540197	group1-group2
OTU011	1.505337783	0.14506356	group1-group2
OTU012	-0.808044578	0.373478341	group1-group2
OTU013	-1.402152761	0.090154104	group1-group2
OTU014	-0.500151084	0.489310303	group1-group2
OTU015	-2.089774813	0.095861376	group1-group2
OTU016	-1.681071808	0.179299557	group1-group2
OTU017	0.869443945	0.458591061	group1-group2
OTU018	2.141473215	0.046977199	group1-group2
OTU019	0.004203266	0.99547213	group1-group2
OTU020	-1.339818219	0.114519802	group1-group2
OTU021	-0.631380702	0.110582179	group1-group2
OTU022	-1.974188934	0.02227426	group1-group2
OTU023	-0.452510396	0.481071582	group1-group2
OTU024	-2.665540946	0.007707462	group1-group2
OTU025	-0.044744536	0.957109582	group1-group2
OTU026	0.260779701	0.80248854	group1-group2
OTU027	-1.07063841	0.120931699	group1-group2
OTU028	-0.647445007	0.443652355	group1-group2
OTU029	0.410961814	0.61388928	group1-group2
OTU030	-3.111108134	0.011755258	group1-group2
OTU031	-1.606139661	0.003875063	group1-group2
OTU032	-0.90492228	0.232369549	group1-group2
OTU033	-2.18406303	0.050344726	group1-group2
OTU034	-1.926049544	0.011137678	group1-group2
OTU035	-0.241243987	0.622789317	group1-group2
OTU036	0.977621851	0.182925996	group1-group2
OTU037	-2.459031462	0.00177552	group1-group2
OTU038	-0.685771403	0.162018208	group1-group2
OTU039	-2.828038065	0.002836395	group1-group2
OTU040	-1.500691684	0.068009752	group1-group2
OTU041	0.062958411	0.881674708	group1-group2
OTU042	-2.926905696	0.010032212	group1-group2
OTU043	-0.209315131	0.668396475	group1-group2
OTU044	-0.644470154	0.167395534	group1-group2
OTU045	-1.341964584	0.253311072	group1-group2
OTU046	-1.707073521	0.00583719	group1-group2
OTU047	-0.924233838	0.267785324	group1-group2
OTU048	-0.472182237	0.58468215	group1-group2
OTU049	-0.656399378	0.162381833	group1-group2
OTU050	-0.88585462	0.02735833	group1-group2
OTU051	-1.176765942	0.050141758	group1-group2
OTU052	0.85343919	0.334483054	group1-group2
OTU053	-0.164122957	0.794243565	group1-group2
OTU054	-3.507092605	0.003970815	group1-group2
OTU055	-2.263765286	0.05292224	group1-group2
OTU056	1.391404523	2.75E-05	group1-group2
OTU057	1.245246912	0.012510683	group1-group2
OTU058	0.252603298	0.715166547	group1-group2
OTU059	-0.288481855	0.710313742	group1-group2
OTU060	-0.505627445	0.568760111	group1-group2
OTU061	-0.108063502	0.90058458	group1-group2
OTU062	1.107260096	0.025092376	group1-group2
OTU063	0.828610717	0.00976767	group1-group2
OTU064	0.988846518	0.05482765	group1-group2
OTU065	-1.238068624	0.339260082	group1-group2
OTU066	0.860619497	0.097779778	group1-group2
OTU067	0.167980844	0.603452842	group1-group2
OTU068	-0.121387433	0.896065029	group1-group2
OTU069	0.826530733	0.17308481	group1-group2
OTU070	-0.705097297	0.278679342	group1-group2
OTU071	1.256983046	3.26E-08	group1-group2
OTU072	-0.163653562	0.859569741	group1-group2
OTU073	-0.588540034	0.50912589	group1-group2
OTU074	1.034923683	0.000485998	group1-group2
OTU075	0.638497776	0.042037849	group1-group2
OTU076	0.337745714	0.282882811	group1-group2
OTU077	1.633077073	0.000120098	group1-group2
OTU078	-0.619418449	0.616828669	group1-group2
OTU079	0.555601155	0.228529996	group1-group2
OTU080	-0.09320958	0.56140478	group1-group2
OTU081	-0.428790432	0.123487314	group1-group2
OTU082	0.495742145	0.263686496	group1-group2
OTU083	-0.312187975	0.154044588	group1-group2
OTU084	0.043268993	0.909805335	group1-group2
OTU085	1.519120535	0.023352614	group1-group2
OTU086	1.17735775	0.0989705	group1-group2
OTU087	-2.436119424	0.004489768	group1-group2
OTU088	-2.009105279	0.031829723	group1-group2
OTU089	-0.866383036	0.410791287	group1-group2
OTU090	0.216272849	0.522234436	group1-group2
OTU091	0.749965275	0.049479318	group1-group2
OTU092	-0.256219491	0.453022244	group1-group2
OTU093	-0.091775	0.822913268	group1-group2
OTU094	0.091266334	0.8183181	group1-group2
OTU095	0.045105423	0.926826367	group1-group2
OTU096	1.693552369	9.01E-12	group1-group2
OTU097	1.359800105	7.44E-08	group1-group2
OTU098	1.408123549	9.51E-07	group1-group2
OTU099	1.435189966	1.02E-08	group1-group2
OTU100	1.474966128	0.000600615	group1-group2
OTU101	1.149628931	0.002055327	group1-group2
OTU102	0.537779862	0.023380072	group1-group2
OTU103	0.709635341	0.010942032	group1-group2
OTU104	0.512570487	0.021658115	group1-group2
OTU105	0.464155871	0.151810871	group1-group2
OTU106	-0.734540361	0.284672983	group1-group2
OTU107	0.360693017	0.579531121	group1-group2
OTU108	0.484954599	0.020434677	group1-group2
OTU109	0.613860054	0.159855884	group1-group2
OTU110	-1.376783127	0.029586058	group1-group2
OTU111	1.722441269	0.008824099	group1-group2
OTU112	1.638438312	0.000270599	group1-group2
OTU113	0.706532648	0.096174795	group1-group2
OTU114	-0.672125632	0.22938242	group1-group2
OTU115	0.123306105	0.782908776	group1-group2
OTU116	0.70517714	0.141223773	group1-group2
OTU117	0.1962635	0.769282723	group1-group2
OTU118	0.14480738	0.822124531	group1-group2
OTU119	-1.101211717	0.036884079	group1-group2
OTU120	-1.597042436	0.133450758	group1-group2
OTU121	1.154357649	0.093824054	group1-group2
OTU122	1.296330017	0.004871045	group1-group2
OTU123	0.75940174	0.04919053	group1-group2
OTU124	-0.573454022	0.609133165	group1-group2
OTU125	0.689693528	0.0008073	group1-group2
OTU126	0.861301983	0.000214098	group1-group2
OTU127	0.638614504	0.116840518	group1-group2
OTU128	5.553058077	0.000390265	group1-group2
OTU129	-4.353810541	1.47E-05	group1-group2
OTU130	-0.647054598	0.414273509	group1-group2
OTU131	0.463482064	0.656388544	group1-group2
OTU132	0.631896651	0.498469211	group1-group2
OTU133	0.832261883	0.204411605	group1-group2
OTU134	0.416916994	0.522586187	group1-group2
OTU135	1.056024112	0.002997232	group1-group2
OTU136	-0.834133023	0.130807353	group1-group2
OTU137	-0.983056737	0.095237767	group1-group2
OTU138	1.486584454	0.13139789	group1-group2
OTU139	0.137900986	0.906039865	group1-group2
OTU140	-0.806545035	0.346364813	group1-group2
OTU141	0.39196621	0.699764693	group1-group2
OTU142	-0.812146766	0.265506964	group1-group2
OTU143	0.017828047	0.969502017	group1-group2
OTU144	1.276478108	0.033502644	group1-group2
OTU145	0.906658502	0.087874125	group1-group2
OTU146	0.313070147	0.724049753	group1-group2
OTU147	1.126540461	0.193485055	group1-group2
OTU148	1.563537729	0.081161093	group1-group2
OTU149	0.314549875	0.46474985	group1-group2
OTU150	0.12640091	0.870102759	group1-group2
