expression,Diameter,group
6000,50,M0_like
5000,75,M0_like
5500,100,M0_like
5200,125,M0_like
5100,150,M0_like
5050,175,M0_like
5200,200,M0_like
5100,225,M0_like
6000,250,M0_like
6050,275,M0_like
6100,300,M0_like
6150,325,M0_like
6200,350,M0_like
6300,375,M0_like
5400,400,M0_like
4000,425,M0_like
3800,450,M0_like
7000,50,M1_like
6800,75,M1_like
6900,100,M1_like
6700,125,M1_like
6500,150,M1_like
6400,175,M1_like
6300,200,M1_like
6500,225,M1_like
6200,250,M1_like
6100,275,M1_like
6300,300,M1_like
6800,325,M1_like
5000,350,M1_like
4000,375,M1_like
4500,400,M1_like
3000,425,M1_like
2900,450,M1_like
6000,50,M2_like
5900,75,M2_like
5700,100,M2_like
5800,125,M2_like
5500,150,M2_like
5600,175,M2_like
5300,200,M2_like
5200,225,M2_like
5400,250,M2_like
5450,275,M2_like
5050,300,M2_like
5000,325,M2_like
3500,350,M2_like
4500,375,M2_like
3000,400,M2_like
5000,425,M2_like
2000,450,M2_like
12500,50,Lung
10000,75,Lung
9000,100,Lung
8000,125,Lung
7900,150,Lung
7800,175,Lung
9000,200,Lung
9000,225,Lung
11000,250,Lung
12000,275,Lung
13000,300,Lung
14000,325,Lung
12000,350,Lung
15000,375,Lung
9000,400,Lung
8500,425,Lung
10000,450,Lung
