sample	group	XG	value
sample1	group1	A	99
sample2	group1	A	59
sample3	group1	B	53
sample4	group1	B	25
sample5	group1	C	95
sample6	group1	C	55
sample7	group1	D	74
sample8	group1	D	20
sample9	group1	E	90
sample10	group1	E	25
sample11	group2	A	52
sample12	group2	A	37
sample13	group2	B	76
sample14	group2	B	73
sample15	group2	C	67
sample16	group2	C	88
sample17	group2	D	51
sample18	group2	D	35
sample19	group2	E	55
sample20	group2	E	42
sample21	group3	A	76
sample22	group3	A	33
sample23	group3	B	66
sample24	group3	B	50
sample25	group3	C	23
sample26	group3	C	67
sample27	group3	D	75
sample28	group3	D	82
sample29	group3	E	93
sample30	group3	E	83
sample31	group4	A	80
sample32	group4	A	99
sample33	group4	B	71
sample34	group4	B	33
sample35	group4	C	22
sample36	group4	C	53
sample37	group4	D	67
sample38	group4	D	51
sample39	group4	E	73
sample40	group4	E	46
sample41	group5	A	98
sample42	group5	A	40
sample43	group5	B	22
sample44	group5	B	30
sample45	group5	C	24
sample46	group5	C	45
sample47	group5	D	98
sample48	group5	D	59
sample49	group5	E	82
sample50	group5	E	66
