GeneSymbol,CXCL8,CXCR1,CXCR2,IL1R2,IL1R1,TLR4,TLR6,MMP8,MMP9,S100A12,S100A8,CD28,CD3D,CD8A,LCK,ZAP70,GATA3,EOMES,IL23A,UBE2E3,NEDD4L,CCDC34,GABARAPL2,PINK1,FOXO3
P001_158,2.35,0.81,10.51,0.57,0.7,17.41,5.81,0.01,0.36,74.87,395.02,12.67,43.38,26.25,39.04,36.85,3.59,6.95,1.36,25.88,2.4,0.43,153.55,65.66,165.1
P002_165,9.13,3.4,19.23,4.67,0.95,16.32,6.86,0.07,1.22,80.39,380.84,14.27,66.2,29.7,46.4,24.37,4.54,7.14,1.52,28.3,2.87,0.48,183.82,68.33,203.76
P003_200,7.85,1.67,15.84,3.36,0,5.63,2.06,0,0,101.95,158.12,9.89,18.54,16.21,32.2,47.85,10.03,2.29,2.82,18.09,1.02,0,38.41,36.44,89.74
P004_146,6.81,7.25,16.84,4.64,0.96,10.66,6.94,0.19,0.81,29.6,148.15,20.65,72.79,28.91,53.5,44.41,8.43,11.79,2.2,22.33,3.63,0.5,218.35,84.52,361.62
P005_164,1.23,2.24,11.24,1.19,0.67,13.04,5.78,0.07,0.32,49.91,305.8,13.4,42.96,17.69,40.04,36.12,5.14,5.8,0.61,28.35,3.71,0.4,150.82,116.35,261.03
P006_181,1.89,1.96,7.76,1.73,1.13,7.11,2.52,0,0.6,13.2,94.08,5.98,35.49,17.93,29.56,19.03,2.94,5.3,1.29,24.59,2.82,0.92,174.7,170.79,250.19
P007_195,2.36,1.38,9.51,1.24,1.1,3.8,2.06,0.09,0.27,22.17,91.85,9.53,59.26,33.62,53.38,31.86,8.22,5.9,1.49,36.4,3.4,1.1,314.03,91,251.23
P008_179,3.11,1.06,11.35,1.49,0.84,18.49,4.52,0.05,0.3,102.49,471.65,17.63,76.9,38.65,50.47,31.54,9.04,5.38,1.16,23.64,2.33,0.28,101.2,74.99,160.08
P009_172,2.77,2.11,9.25,1.73,0.73,15.29,4.9,0,0.31,55.59,328.23,10.43,43.42,12.22,34.86,23.96,3.28,3.26,1.36,26.24,4.03,0.52,139.48,135.97,175.34
P010_168,1.47,2.98,10.18,2.62,1.13,16.24,6.44,0.1,0.6,46.05,359.02,9.24,65.78,21.64,39.23,28.79,5.05,5.86,0.56,29.12,4.4,0.5,215.07,86.58,297.4
P011_189,2.88,1.54,13.36,1.48,0.82,19.89,5.4,0.16,0.29,114.79,500.74,9.89,57.24,22.43,40.5,34.76,3.62,3.8,1.4,26.09,2.22,0.49,130.78,76.94,222.58
P012_192,4.65,1.29,12.43,1.36,0.78,1.39,1.85,0.03,0.12,7.08,46.98,16.04,82.59,29,59.85,43.88,13.54,3.46,1.39,19.45,1.66,0.91,73.25,22.08,107.59
P013_129,1.18,1.68,12.84,1.57,0.64,13.07,6.33,0,0.66,15.98,166.35,16.67,59.45,27.09,56.45,38.32,4.53,5.31,3.11,18.35,1.39,0.28,139.9,42.24,106.18
P014_121,1.18,2.82,7.93,1.72,0.66,8.05,4.53,0.2,0.27,49.55,168.13,15.47,47.04,20.41,32.17,25.04,3.73,4.56,2.34,34.22,6.26,0.56,256.65,146.99,258.57
P015_163,2.54,5.38,19.77,1.85,1.1,11.17,4.06,0.18,0.75,53.05,287.81,8.33,63.18,19.93,48.23,43.86,3.5,12.62,0.88,32.54,3.85,0.61,160.63,122.78,171.07
P016_143,0,1.55,10.26,0.62,0.56,8.25,4.45,0,0.07,42.32,146.66,13.56,41.02,13.56,39.06,33.02,3.72,8.51,2.42,39.59,6.1,0.99,415.08,111.32,481.84
P017_166,1.51,0.88,8.1,0.87,1.17,7.66,3.65,0.02,0.17,53.8,240.56,13.66,48.31,26.99,41.19,30.97,4.39,3.14,1.11,24.62,3.47,0.63,143.3,101.64,280.77
P018_065,1.45,1.53,13.83,1.39,1.05,8.67,3.72,0.04,0.13,31.35,191.32,13.32,45.57,14.98,34.18,26.25,5.95,1.96,0.64,22.27,4.02,0.43,148.36,70.67,250.61
P019_095,57.06,19.91,36.03,24.12,2.94,11.02,11.11,0.27,2.87,23.6,242.75,22.2,93.56,46.31,76.22,45.19,5.44,5.8,2.32,25.26,2.42,0.58,134.94,70.35,146.85
P020_072,5.53,2.4,7.08,4.44,1.23,5.82,2.89,0.21,0.55,9.39,66.48,16.07,101.34,81.65,70.81,42.8,8.76,12.88,0.96,30.71,4.3,0.57,278.97,102.5,427.21
P021_193,3.1,1.25,5.16,0.8,0.84,2.72,1.24,0,0.16,22.55,95.06,9.61,45.41,24.65,36.34,23.21,5.16,2.24,1.44,27.05,2.79,0.67,227.52,132.39,180.28
P023_175,0.2,2.53,13.63,1.3,0.69,9.92,4.47,0.05,0.57,27.86,200.31,15.43,47.2,27.52,51.17,33.57,2.78,6.81,1.38,36.47,3.62,0,280.61,111.77,443.82
P024_173,3.98,2.19,11.71,1.34,0.54,11.36,3.59,0,0.24,33.34,235.2,8.5,36.37,11.6,24.54,16.41,2.14,2.45,0.88,26.55,3.41,0.35,161.13,118.37,181.68
P025_041,12.67,48.66,70.49,665.76,57.51,44.7,32.41,1.42,9.85,64.31,518.29,2.21,16.66,29.13,21.46,10.41,0.9,1.52,0,22.76,4.63,0.4,69.3,75.08,141.66
P026_169,9.97,7.08,14.86,3.31,0.49,13,5.86,0.12,0.22,61.09,289.03,16.26,81.84,29.8,67.83,69.51,6.31,9.79,2.63,26.28,2.18,0.26,118.81,44.5,113.99
P027_148,0.81,1.5,8.13,0.52,0.52,3.63,4.09,0.14,0.04,9.02,62.36,14.85,51.06,30.4,39.79,35.58,5.74,9.26,1.96,29.71,3.71,0.68,427.31,138.84,642.86
P028_004,4.96,1.1,4.94,0.38,0.84,7.6,2.64,0.01,0.1,25.18,102.17,12.7,55.45,63.08,50.51,29.92,5.02,6.93,0.86,38.74,7.17,0.94,323.71,179.49,548.26
P029_099,2.42,2.32,7.24,3.31,1.16,8.64,4.46,0.07,0.76,21.3,146.08,7.27,35.04,16.83,23.8,18.74,2.34,3.13,0.6,26.82,5.64,0.71,228.98,194.63,345.62
P030_141,1.74,0.95,16.24,2.13,0.34,8.7,3.1,0.28,0.11,25.51,174.55,19.63,65.2,37.61,41.89,41.18,6.07,7.78,0.55,27.48,2.58,0.09,198.35,53.59,203.36
P031_151,1.45,0.84,12.03,0.8,0.46,9.06,3.82,0.09,0.28,32.4,230.2,14.36,47.2,18.33,42.47,29.49,3.77,3.79,1.08,31.77,3.18,0.2,293.61,105.64,354.12
P032_170,1.01,1.83,10.67,1.84,0.83,10.11,3.95,0.04,0.28,49.84,250.62,9.14,35.88,18.37,31.37,42.44,4.96,4,1,20.85,2.94,0.74,102.08,74.43,121.29
P033_150,2.77,4.92,16.85,5.04,1.13,13.14,8.26,0,0.33,44.11,239,17.9,68.58,48.03,51.59,37.53,3.62,12.62,2.38,32.34,3.53,0.48,280.34,80.14,418.04
P034_178,1.92,1.23,20.69,1.1,0.42,4.8,2.25,0.27,0.22,30.52,186.29,4.6,23.84,15.01,15.38,17.7,1.68,2.7,0.36,38.62,5.49,0.24,272.25,163.71,291.09
P035_162,9.17,5.57,18.68,11.49,1.32,31.4,6.44,0.07,0.13,391.55,1766.42,8.32,24.96,12.57,25.27,18.78,3.02,1.28,0,36.78,3.54,0.46,294.24,96.23,318.18
P036_194,5.09,1.46,6.44,0.47,0.68,1.96,2.01,0.06,0.17,10.3,104.6,16.64,106.75,57.99,67.06,30.86,13.54,6.59,1.7,22.45,2.69,0.26,127.6,58.33,153.37
P037_161,1.39,1.08,13.86,0.33,0.68,12.58,4.39,0.06,0.04,39.46,244.68,13.81,35.87,11.5,30.37,30.03,5.58,2.09,0.73,26.73,3.05,0.31,236.26,104.7,320.16
P038_185,1.15,1.47,10.7,1.77,0.48,16.9,5.73,0.08,0.07,58.03,260.59,6.78,39.49,36.34,30.39,32.84,2.32,7.35,0.39,22.02,2.55,0.95,194.19,83.1,304.64
P039_140,0.52,1.06,11.14,0.24,0.77,7.55,3.43,0.15,0.24,34.26,154.43,16.8,66.29,30.64,40.6,33.02,7.06,8.23,0.78,23.11,3.29,0.28,215.93,82.6,214.43
P040_145,0.72,2.56,13.66,1.23,0.37,8.88,4.26,0.13,0.03,17.41,119.57,19.48,71.56,33.83,57.96,41.93,6.11,9.85,1.84,21.48,3.19,1.43,213.32,58.54,197.76
P041_104,2.25,1.7,17.21,1.18,0.84,10.18,7.71,0.04,0.03,9.97,85.36,31.6,38.43,24.79,44.44,45.24,9.9,7.71,1.05,21.12,0.62,0.09,59.31,13.26,68.37
P042_167,1.61,2.19,11.69,2.27,0.57,20.45,4.67,0.08,0.49,61.04,430.51,8.96,45.43,32.17,43.53,30.76,4.54,6.98,1.38,33.58,3.3,0.73,159.03,84.39,271.37
P043_183,1.59,0.27,21.86,0.75,0.98,10.27,2.84,0.2,0.47,59.96,250.3,13.8,34.2,12.41,30.93,29.05,6.81,3.27,0.72,29.6,1.64,0.2,249.88,77.26,228.9
P044_182,2.44,0.97,7.22,0.62,0.75,8.8,3.3,0,0.12,52.61,212.02,13.44,40.77,19.24,33.53,24.92,4.65,2.81,2.11,25.34,2.31,1.08,225.35,124.19,269.09
P045_171,0.61,1.89,10.73,1.3,0.39,7.56,2.47,0.03,0.35,46.21,264.64,10.51,44.16,18.57,34.95,25.23,3.89,4.45,0.8,21.98,3.04,0.34,155.89,112.68,154.27
P046_187,2.61,0.62,19.29,0.95,0.65,8.83,3.46,0.18,0.4,64.47,286.72,8.91,43.57,15.06,27.78,19.72,2.63,1.82,0.67,27.24,3.14,0.75,235.56,50.64,303.44
P047_142,0.43,0.85,23.27,1.23,0.55,15.4,5.33,0.17,0.18,32.64,211.71,7.09,23.72,24.65,25.88,24.01,2.55,6.23,0.63,27.36,2.64,0.51,148.6,123.54,192.72
P048_103,7.77,10.03,34.25,9.35,1.27,23.24,11.47,0.82,1.63,61.51,279.17,18.33,30.87,32.19,45.5,65.06,5.38,12.21,1.16,26.27,2.09,0.25,129.49,56.11,143.27
P049_006,2.59,1.71,6.16,2.7,0.64,11.68,4.8,0,1.22,66.22,203.87,9.65,49.57,36.04,54.26,27.47,4.35,3.99,0.26,39.94,6.88,0.26,271.56,163.2,249.95
P050_069,5.82,10.64,21.41,203.44,9.52,11.63,5.96,3.58,5.33,18.42,91.13,1.51,11.39,17.01,12.19,9.71,0.74,3.09,0.03,25.38,12.05,0.32,452.73,263.39,781.38
