Land.Use.and.Land.Cover.Change	Anthropogenic.biomes.of.the.world	Clinical.Antibiotic.Usage	Pesticide	Energy.Extraction.and.Production	Agricultural.Crops	Forage.Crops	Mining.and.sewage.treatment	Hydraulic.Engineering	Veterinary.Antibiotics	Global.coal.mining.industry	GDP	PM2.5	HH.ARG
-8.55850848048614e-03	 4.49743245292703e-02	-3.75067921947455e-02	-3.09534401208660e-02	-5.07707073897405e-02	-1.75964497015022e-02	 7.45902209266934e-02	-6.86307885167415e-02	-1.78492558593200e-02	 1.42139103003330e-02	 3.03681685383479e-03	-5.41519399418018e-03	 2.74361645734209e-03	5.176085909e+05
 3.39892017101783e-02	-7.87908648990010e-04	-3.50102187891385e-02	-2.08672333249896e-02	-2.24583017852379e-02	 6.94316522535886e-02	-5.03335962141686e-03	 2.93732501234770e-02	 8.12979526888872e-03	-2.67175666249741e-02	 2.87001264605872e-02	 3.00879835340174e-02	-1.16520199587021e-02	7.826332318e+05
 3.24292214882177e-02	-3.64394895447541e-03	-3.45926528291556e-02	-1.95316593165409e-02	-2.05984456261868e-02	 6.30979740635270e-02	-4.85921104530359e-03	 2.84073774163561e-02	 9.19862958137018e-03	-2.65364944858044e-02	 2.73355974266524e-02	 2.72149654671218e-02	-1.29598699034581e-02	8.074820449e+05
 2.87038002915211e-02	-3.33643933996981e-03	-3.26308550312883e-02	-1.64754429578680e-02	-2.01201682332335e-02	 5.60622104954923e-02	-5.59281656003196e-03	 2.88589191486725e-02	 6.04031768049880e-03	-1.57463997867750e-02	 2.31501456610311e-02	 1.93940537602312e-02	-1.47159669873573e-02	5.836477526e+05
-5.18759599270174e-03	-1.37431231580707e-02	-3.13047741257377e-02	 1.55049360483749e-03	-1.45861008541271e-03	 3.90102451380205e-03	-8.46244413226865e-04	 1.77839987552653e-02	-9.46394863063862e-03	 1.06788134246536e-02	-9.17626775919226e-03	-2.63236203660751e-02	-6.67729533962043e-03	0.000000000e+00
 2.34636338099138e-02	-2.20589798771141e-02	-4.25733023608806e-02	-3.52892755991998e-05	-3.31332910817445e-03	-1.02072010181421e-02	-1.75337648518032e-03	 4.27248793588416e-02	 1.97520088136870e-02	 1.42631087479473e-02	-2.26342688090736e-02	-4.66292184864950e-03	-7.29774600294560e-03	5.729470132e+05
 2.34894433060190e-02	-2.22606054169158e-02	-4.23484613062832e-02	-2.25796926618094e-04	-3.17705689611062e-03	-1.03577531946962e-02	-1.66159597248189e-03	 4.23385937702844e-02	 2.05535804850705e-02	 1.25189481531487e-02	-2.22016935871723e-02	-3.86176957780445e-03	-7.07294685280682e-03	6.175067132e+05
 9.20184099982059e-03	-3.12435420714031e-02	-4.53153527584595e-02	-1.64126730121565e-03	 3.20631451912030e-03	 5.15024215214664e-03	 2.63064720192879e-03	 2.04357904729595e-02	-3.31261338597561e-04	-6.65507553811321e-03	-6.27746646211912e-03	-1.76502794769549e-02	-1.19940067865656e-02	4.564013527e+05
 1.11467529513193e-02	-6.11238914442982e-02	-4.41229310268304e-02	-9.09469874840657e-03	 2.68794172444747e-02	 5.98896862145910e-04	 9.40640508317990e-03	-1.33570136538064e-02	-2.23694685466942e-02	-5.62832200852326e-03	-1.69631152373475e-03	-7.58214508278835e-03	 1.77440886782665e-02	7.145909550e+05
 8.87338270249606e-03	-6.01295279772440e-02	-3.97308915442392e-02	-1.05021230284584e-02	 2.65039950841585e-02	-9.08911368000088e-04	 1.00564231397981e-02	-1.64097354801902e-02	-1.71341144452612e-02	-1.89936391617793e-02	 3.29635229424853e-03	-1.51916610206334e-03	 1.94473718960198e-02	1.047608740e+06
