,aDC,B cells,CD8 T cells,Cytotoxic cells,DC,Eosinophils,iDC,Macrophages,Mast cells,Neutrophils,NK CD56bright cells,NK CD56dim cells,NK cells,pDC,T cells,T helper cells,Tcm,Tem,TFH,Tgd,Th1 cells,Th17 cells,Th2 cells,TReg
TCGA.AZ.4315.01A.01R.1410.07,0.0831690049972991,-0.188981897185937,0.295235609373556,0.0523574700447069,-0.0839595680669109,0.0550892094378588,0.132191513440026,0.155289002410231,-0.140503900292828,-0.135448094438856,-0.0357081529801546,0.0526303517750508,0.132227277022525,0.0787383177570094,-0.0234236839385857,0.297226638728831,0.00296540571750506,0.111294379151746,-0.0626234894223746,-0.0642398825253809,0.00145403362189726,-0.0464575489714902,0.0907224895241975,-0.103348909657321
TCGA.AA.3667.01A.01R.0905.07,0.00656477313615164,-0.211370349735477,0.258064148330718,0.0124945295504175,-0.0198564694666293,0.112581908959653,0.12404015731856,0.0899246340491801,-0.150352779791953,0.0216900296567097,0.19923306392377,0.146152666528085,0.188831634900236,0.153738317757009,-0.021719310767595,0.193227175950419,0.0211960748789662,0.18474476671654,0.00161956547693456,-0.156560422913301,0.0230500285463615,0.174074749498516,-0.0341763047587887,-0.0106697819314642
TCGA.F4.6854.01A.11R.1928.07,0.0987932875189554,-0.207518761713098,0.263737004522581,-0.0189995220700696,-0.106974189795399,0.0614003567636075,0.0829052733829032,0.127406519725527,-0.166322491256406,-0.104235374396416,-0.00645133983478479,0.134648782907274,0.152288726536764,0.317133956386293,0.00177144902136355,0.282487337356629,0.0605597304219724,0.182970039532242,-0.035199156613831,-0.0466015057058268,0.0121893453844625,-0.0528795999363291,0.0375561140952064,-0.0827102803738318
TCGA.AA.3815.01A.01R.1022.07,0.256035294221431,-0.151200955686794,0.332072777367992,0.20344766415031,0.0334058531933607,0.0900656537608191,0.124276464959037,0.204671621648975,-0.119630783011929,-0.0435140550504216,0.0413536931204882,0.0688956586261047,0.148128330632301,0.105373831775701,0.183990336220989,0.311230814287022,0.0359682749549029,0.137118355050106,0.0170861942062448,-0.053493402913656,0.0512202112724931,0.0512459165133191,0.0631399294225651,0.0264797507788162
TCGA.AA.3509.01A.01R.1410.07,0.0534417998639403,-0.202783294552277,0.270483878328777,-0.100032925235564,-0.0918521805995464,0.0887832296020943,0.0809608920411249,0.123177386058646,-0.118680164849936,-0.079262569094932,-0.0235726139863574,0.0790538042671824,0.116905635663507,0.180295950155763,0.00182790391717215,0.317151821060492,0.0582443009502427,0.154318487388181,-0.05103824412623,-0.0645013845510208,0.00073225650991292,-0.0587167082816973,0.0558135278039444,-0.166510903426791
TCGA.DM.A0XF.01A.11R.A155.07,0.0270416501610031,-0.225085586403875,0.277502173847461,-0.0227255997057488,-0.209037207963533,0.0504666405028823,0.0714267735754987,0.0820767337527005,-0.163430148583329,-0.125820867893034,0.0379051579912495,0.106107350057676,0.139898153513257,-0.0730529595015576,-0.0437809368119509,0.287767983808444,0.060934234056777,0.112733518807409,-0.0545935153799774,-0.0572542314172456,0.0507557565415596,-0.146319049495749,0.0682680443034827,-0.0145638629283489
TCGA.AA.3710.01A.01R.1022.07,0.283123989547033,-0.189743942630601,0.301209920211286,0.203624836627608,0.0203967169422953,0.0934824325232651,0.154153753716417,0.232047841527752,-0.139412611680172,0.13797942007286,0.199932038003163,0.054178282152694,0.128612190204384,0.0908878504672897,0.172287738071685,0.30492168899854,0.0310689377806051,0.15100734507389,0.019857062207879,-0.0389690290871528,0.103240022142155,-0.00653355766582988,0.0694875614243734,0.0113707165109034
TCGA.AA.A00U.01A.01R.A002.07,-0.0545959000000025,-0.222308834484372,0.284186432713409,-0.0276541823599917,-0.116255159129091,0.0188359257782948,0.090401788207941,0.0698975754388753,-0.193549296505679,-0.12494651885353,0.0713448558675866,0.0220702274600678,0.145526462364895,0.00973520249221184,0.0241497047423395,0.277129586719423,0.0699278068126444,0.148843015792509,-0.030017309945227,-0.058469097999878,0.0109254764599214,0.00280373049088477,0.0789627705276523,-0.10202492211838
TCGA.AY.A54L.01A.11R.A28H.07,-0.15570149633949,-0.208637311912156,0.305062141929838,-0.102016496355556,-0.243230664221337,0.0658362774270379,0.000428899200205379,-0.00943085927847853,-0.179876482959473,-0.186484284181922,0.0714833462762896,0.0109338947123485,0.087339360279572,0.00171339563862928,-0.0675180100293004,0.311099152473768,0.0742079604495666,0.126774240984074,-0.0303556044374313,-0.0602145560416081,-0.0123389441793124,-0.0862946938091931,0.0665138372729681,-0.266744548286604
TCGA.AA.3854.01A.01R.0905.07,-0.0216518821142115,-0.219593534834767,0.276475145877603,-0.0987800499143184,-0.0958214179140048,0.0814905642612661,0.12592458199055,0.139333371814396,-0.0685024690278205,-0.149737316557013,0.123836591292182,0.0189293190259796,0.135221049574505,-0.0308411214953271,-0.0651113039929136,0.267715235532314,0.0313077504628422,0.135581273653701,-0.00441837909679554,-0.0682309839520568,-0.0371936362113724,0.0247603564642411,0.0512009159314998,-0.188707165109034
TCGA.A6.A567.01A.31R.A28H.07,-0.139526818049996,-0.208568205951989,0.286170178129808,-0.127122489882845,-0.144259193629584,0.0697561561453521,0.0467488129389049,0.0937845404877825,-0.129653229594548,-0.117367738009928,0.0274615436982449,-0.023038017649291,0.162093881970298,0.0573208722741433,-0.0578923511886698,0.307463619998775,0.109430739530723,0.124916760174955,-0.0497387877073804,-0.0613035751202922,-0.0619968399901057,0.0174373046268016,0.0126053175314113,-0.23208722741433
TCGA.AA.3543.01A.01R.0826.07,0.243279537642677,-0.190000261580649,0.300902743789268,0.19641290611762,-0.0550842417566537,0.0805999313713004,0.148782237482932,0.174999722179259,-0.0849708419710934,-0.0361497758151435,0.116666167566644,0.0678584032147713,0.137903520806686,0.010202492211838,0.174710277339433,0.276319439876227,0.0236383669832287,0.151443096787987,0.00748016404597586,-0.0686039939130522,0.0358005500451604,0.0758152796190993,0.047853139349492,0.101090342679128
