Gene Symbol	SPOT	Profile	0h	0.5h	3h	6h	12h
DSCR1L1	4	38	0.00	0.96	0.86	1.16	1.08
TCF3	7	35	0.00	0.46	-0.00	0.57	0.99
SLC16A4	15	6	0.00	-0.53	0.01	0.55	1.13
C20ORF16	16	41	0.00	0.47	0.58	0.75	0.82
C3AR1	18	45	0.00	0.92	0.83	0.49	0.24
DAB2	21;2637;15755	19	0.00	0.09	-0.81	-1.20	-1.12
BIRC3	28;2483	43	0.00	0.35	3.27	2.98	2.58
0 (SPOT_33)	33	41	0.00	0.54	0.78	0.76	1.14
SLC1A3	41	9	0.00	-0.32	-0.69	-1.30	-1.85
CTH	43	41	0.00	0.85	0.93	1.62	1.58
C8A	48	41	0.00	0.56	0.66	1.02	1.03
MLF1	94	38	0.00	0.68	0.93	0.79	0.54
BEX1	109	46	0.00	0.90	0.50	0.70	0.65
0 (SPOT_111)	111	46	0.00	1.10	0.74	0.83	0.75
0 (SPOT_112)	112	45	0.00	1.64	0.87	0.52	0.32
0 (SPOT_114)	114	41	0.00	0.26	0.72	0.68	0.80
0 (SPOT_116)	116	46	0.00	0.97	0.49	0.55	0.85
0 (SPOT_118)	118	2	0.00	-2.46	-0.35	-1.98	-1.43
RC3	123	38	0.00	1.34	1.76	1.61	1.30
0 (SPOT_129)	129	38	0.00	1.01	0.94	0.85	0.71
0 (SPOT_141)	141	48	0.00	0.56	0.89	0.51	0.95
0 (SPOT_146)	146	38	0.00	0.66	0.96	0.96	1.03
0 (SPOT_150)	150	39	0.00	0.88	1.09	1.91	1.29
0 (SPOT_152)	152	38	0.00	0.77	0.92	0.61	0.65
0 (SPOT_154)	154	38	0.00	1.41	1.23	1.00	1.05
0 (SPOT_155)	155	38	0.00	1.45	1.35	1.01	0.99
PROS1	158	38	0.00	1.06	0.98	0.85	0.73
0 (SPOT_166)	166	46	0.00	0.92	0.75	0.60	0.58
0 (SPOT_181)	181	38	0.00	1.03	0.87	0.74	0.76
0 (SPOT_189)	189	38	0.00	1.04	0.85	0.92	1.06
KIAA1501	198	38	0.00	0.92	0.50	0.72	0.95
PTPN1	204;6811	46	0.00	0.98	0.78	0.43	0.73
0 (SPOT_208)	208	48	0.00	0.90	0.65	0.60	0.95
0 (SPOT_210)	210	46	0.00	0.84	0.58	0.42	0.53
PLIN	213	38	0.00	0.88	0.83	0.88	0.84
FGF18	221	44	0.00	0.47	-0.04	-0.83	-1.07
0 (SPOT_224)	224	38	0.00	0.81	0.94	0.64	0.74
0 (SPOT_228)	228	38	0.00	0.50	0.64	0.62	0.84
FLJ20036	232;23564	17	0.00	-0.07	1.04	0.78	0.02
POP3	234	38	0.00	1.22	0.96	0.94	0.76
0 (SPOT_241)	241	43	0.00	0.53	0.79	1.17	0.73
PP1201	242	33	0.00	-0.12	-0.65	-0.03	1.18
0 (SPOT_245)	245	39	0.00	0.22	0.26	0.88	0.68
0 (SPOT_248)	248	38	0.00	1.02	0.98	0.86	0.93
KCNA1	262	46	0.00	0.87	0.65	0.61	0.57
PIK4CA	264	46	0.00	1.23	0.67	0.69	1.00
HMGCS2	267	38	0.00	0.73	0.49	0.82	0.56
GALNT3	280	43	0.00	0.29	0.71	1.13	0.58
M17S2	283	39	0.00	0.58	0.43	0.85	0.68
NFIL3	284	39	0.00	0.12	0.70	1.28	0.96
GZMK	288	38	0.00	0.93	0.75	0.83	0.61
ISG20	293;19932	41	0.00	0.06	0.20	0.95	1.24
FLJ10193	296	46	0.00	0.92	0.47	0.51	0.51
KIAA1726	301;14765	43	0.00	0.46	0.80	0.75	0.64
0 (SPOT_303)	303	46	0.00	1.39	0.85	0.98	1.10
PLXNB3	308	33	0.00	0.30	-0.01	0.45	1.28
0 (SPOT_319)	319	38	0.00	2.29	1.85	1.94	2.17
0 (SPOT_320)	320	42	0.00	0.31	1.18	0.52	1.03
KIAA1705	323;5093;22226	38	0.00	0.73	0.71	0.55	0.81
0 (SPOT_324)	324	49	0.00	0.62	0.75	0.84	0.15
0 (SPOT_374)	374	38	0.00	0.84	0.82	0.80	0.51
0 (SPOT_378)	378	38	0.00	0.95	1.09	0.87	0.91
0 (SPOT_380)	380	38	0.00	0.80	0.97	0.58	0.59
0 (SPOT_381)	381	38	0.00	1.32	1.26	1.19	0.94
KIAA1474	385	38	0.00	1.04	1.06	0.86	0.71
NYD-SP15	386	38	0.00	0.96	0.89	1.04	0.79
HOOK3	388	39	0.00	0.33	0.08	0.88	0.95
0 (SPOT_394)	394	42	0.00	0.75	0.98	0.46	0.73
0 (SPOT_396)	396	46	0.00	0.90	0.78	0.48	0.54
0 (SPOT_402)	402	47	0.00	1.05	0.98	0.51	0.79
0 (SPOT_406)	406	46	0.00	1.21	0.93	0.91	0.78
0 (SPOT_410)	410	38	0.00	0.85	0.69	0.74	0.73
0 (SPOT_413)	413	38	0.00	0.97	0.82	0.75	0.90
ACE2	416	38	0.00	1.17	1.04	0.62	0.94
0 (SPOT_417)	417	38	0.00	0.95	0.74	0.75	1.07
0 (SPOT_418)	418	38	0.00	1.45	1.41	1.15	1.46
0 (SPOT_420)	420	38	0.00	1.47	1.97	1.30	1.80
0 (SPOT_429)	429	38	0.00	1.27	1.07	0.83	1.23
0 (SPOT_432)	432	48	0.00	0.59	0.44	-0.05	1.03
0 (SPOT_458)	458	48	0.00	0.77	1.00	0.59	0.97
0 (SPOT_460)	460	48	0.00	0.44	0.51	0.42	0.82
0 (SPOT_462)	462	43	0.00	0.43	0.77	0.81	0.54
0 (SPOT_463)	463	38	0.00	0.77	0.57	0.76	0.95
0 (SPOT_466)	466	28	0.00	0.27	0.46	0.20	0.87
0 (SPOT_467)	467	38	0.00	0.74	0.96	0.77	0.82
0 (SPOT_468)	468	38	0.00	0.67	0.74	0.77	0.85
0 (SPOT_471)	471	38	0.00	1.04	0.72	1.05	1.49
0 (SPOT_472)	472	38	0.00	0.77	0.80	0.65	0.85
0 (SPOT_475)	475	38	0.00	0.70	0.80	1.00	0.83
0 (SPOT_478)	478	48	0.00	0.85	0.45	0.54	1.06
C20ORF18	483	41	0.00	0.16	-0.04	0.40	0.92
0 (SPOT_498)	498	39	0.00	0.37	0.52	1.10	0.77
0 (SPOT_505)	505	40	0.00	0.93	1.26	0.82	0.31
0 (SPOT_516)	516	38	0.00	0.65	0.66	1.00	0.74
0 (SPOT_520)	520	38	0.00	0.75	0.93	0.76	0.77
0 (SPOT_521)	521	38	0.00	0.87	0.90	0.84	0.93
DKFZP547I048	526	38	0.00	0.80	0.85	0.61	0.59
0 (SPOT_527)	527	48	0.00	0.85	0.58	0.47	1.27
H-L(3)MBT	528	48	0.00	0.77	0.92	0.67	1.31
MAPRE1	540;13912	49	0.00	0.66	0.69	0.99	0.32
0 (SPOT_555)	555	38	0.00	0.91	0.85	0.81	0.75
0 (SPOT_556)	556	41	0.00	0.29	0.55	0.61	0.82
0 (SPOT_570)	570	38	0.00	0.71	0.73	0.69	0.90
0 (SPOT_574)	574	38	0.00	0.97	0.62	0.88	0.81
CLDN4	582;7384;8896;22190	41	0.00	0.05	0.85	1.00	1.16
TPM1	588;19657;23184	39	0.00	0.23	0.62	1.23	0.88
0 (SPOT_594)	594	49	0.00	0.87	0.59	0.92	0.52
0 (SPOT_599)	599	49	0.00	0.77	0.41	0.95	0.61
0 (SPOT_601)	601	38	0.00	0.94	1.04	1.09	0.98
0 (SPOT_603)	603	38	0.00	1.00	0.89	1.05	0.88
0 (SPOT_605)	605	38	0.00	0.65	0.83	0.89	0.67
0 (SPOT_607)	607	43	0.00	0.24	0.72	1.01	0.40
GRM8	614	38	0.00	0.86	0.76	0.86	0.91
0 (SPOT_635)	635	41	0.00	0.40	0.58	0.84	0.81
0 (SPOT_637)	637	35	0.00	1.46	-0.06	1.70	1.02
0 (SPOT_638)	638	38	0.00	0.70	0.98	0.75	0.72
0 (SPOT_639)	639	42	0.00	1.29	4.01	2.22	1.88
MUC13	652;2938	14	0.00	-0.12	0.04	0.54	0.88
0 (SPOT_655)	655	38	0.00	0.83	0.63	0.70	0.66
0 (SPOT_667)	667	29	0.00	0.35	0.57	1.05	0.15
0 (SPOT_668)	668	43	0.00	0.26	0.70	0.95	0.65
SLC21A12	681	6	0.00	-0.13	-0.39	0.11	0.84
REG-IV	682;1440;4464	5	0.00	-1.42	-0.97	-0.63	-0.24
0 (SPOT_692)	692	49	0.00	0.66	0.74	0.96	0.58
0 (SPOT_700)	700	48	0.00	0.65	0.61	0.54	0.84
0 (SPOT_703)	703	14	0.00	-0.14	0.14	0.51	0.89
0 (SPOT_745)	745	28	0.00	-0.05	2.10	0.32	3.81
SPRR1B	757	41	0.00	0.78	0.74	1.57	2.00
CCL4	758	41	0.00	1.16	2.02	2.87	2.55
C6ORF32	774	48	0.00	0.76	0.68	0.64	1.30
CRHR1	793	46	0.00	0.83	0.39	0.57	0.43
APOB	800;4702	38	0.00	0.81	0.83	0.72	0.72
INPPL1	807	46	0.00	1.02	0.50	0.69	0.98
VNN3	849	33	0.00	0.80	0.75	0.71	2.75
0 (SPOT_860)	860	39	0.00	0.29	0.47	0.82	0.43
0 (SPOT_868)	868	48	0.00	0.72	0.48	0.51	0.83
0 (SPOT_869)	869	46	0.00	0.99	0.50	0.50	0.60
0 (SPOT_871)	871	38	0.00	0.81	0.51	0.67	0.72
0 (SPOT_874)	874	38	0.00	0.95	0.75	0.70	0.67
0 (SPOT_876)	876	38	0.00	0.88	0.97	0.90	1.16
RBIG1	882	33	0.00	0.18	-0.09	0.25	0.87
0 (SPOT_892)	892	38	0.00	0.92	0.94	0.91	0.81
0 (SPOT_900)	900	38	0.00	1.20	0.89	0.94	1.11
0 (SPOT_901)	901	38	0.00	0.91	0.64	0.94	0.72
0 (SPOT_902)	902	38	0.00	1.05	0.94	0.99	0.95
0 (SPOT_905)	905	38	0.00	0.69	0.84	0.67	0.72
0 (SPOT_906)	906	38	0.00	0.88	0.95	0.89	0.86
0 (SPOT_938)	938	38	0.00	0.83	0.79	0.73	0.73
0 (SPOT_940)	940	38	0.00	1.12	0.86	0.92	0.73
0 (SPOT_941)	941	38	0.00	1.24	0.95	0.91	0.93
0 (SPOT_942)	942	38	0.00	0.89	0.83	0.80	0.99
0 (SPOT_955)	955	38	0.00	0.70	0.66	0.89	0.61
EGFR	967;22504;22716	16	0.00	-0.02	0.93	0.19	0.18
PDGFB	968;11922;15163	41	0.00	0.14	1.36	2.08	2.31
CASP3	972;15898	43	0.00	0.19	0.73	0.81	0.35
0 (SPOT_979)	979	38	0.00	0.87	0.89	0.70	0.88
0 (SPOT_989)	989	38	0.00	0.75	0.86	1.14	0.99
TZFP	992	38	0.00	0.85	0.66	0.85	0.86
FKBP6	995	38	0.00	0.85	0.84	0.78	0.79
0 (SPOT_997)	997	38	0.00	1.02	0.80	0.81	0.83
RIL	1002	43	0.00	0.49	0.66	0.91	0.71
IGFBP5	1016	38	0.00	0.74	0.72	0.76	1.12
ISL1	1019	42	0.00	0.28	1.22	0.66	0.74
PDK3	1029	41	0.00	0.10	0.29	0.89	0.98
0 (SPOT_1052)	1052	38	0.00	0.71	0.85	0.80	0.80
PSCD4	1056	41	0.00	0.66	0.41	0.73	1.03
0 (SPOT_1058)	1058	38	0.00	1.35	1.14	1.10	1.02
MADH3	1059;13126	43	0.00	0.67	1.46	1.05	0.97
0 (SPOT_1067)	1067	38	0.00	1.52	1.01	1.33	1.24
SAP30	1068	35	0.00	0.90	0.08	0.88	0.93
LOC57168	1070;23742	41	0.00	0.22	0.30	0.64	0.80
0 (SPOT_1072)	1072	38	0.00	1.09	0.66	1.18	1.23
0 (SPOT_1074)	1074	38	0.00	1.37	1.19	1.14	1.06
0 (SPOT_1075)	1075	38	0.00	1.20	0.86	0.85	0.95
KIAA1867	1076	38	0.00	1.28	1.15	1.16	1.11
0 (SPOT_1078)	1078	38	0.00	1.52	1.41	1.54	1.37
0 (SPOT_1079)	1079	48	0.00	1.11	1.08	0.55	0.98
0 (SPOT_1080)	1080	38	0.00	1.29	1.29	1.16	1.05
0 (SPOT_1130)	1130	38	0.00	0.96	1.45	1.00	1.12
0 (SPOT_1131)	1131	38	0.00	0.90	0.81	0.77	0.88
0 (SPOT_1134)	1134	38	0.00	0.90	1.11	0.86	0.93
0 (SPOT_1136)	1136	38	0.00	1.30	1.10	0.93	1.29
0 (SPOT_1137)	1137	46	0.00	1.24	0.85	1.07	0.63
0 (SPOT_1138)	1138	38	0.00	1.09	1.02	1.15	0.92
0 (SPOT_1141)	1141	38	0.00	1.26	1.29	0.89	1.14
DKFZP586H2123	1142	38	0.00	1.22	1.21	1.16	1.18
0 (SPOT_1143)	1143	38	0.00	1.20	1.21	0.94	0.88
0 (SPOT_1146)	1146	38	0.00	1.05	0.91	0.77	0.76
0 (SPOT_1147)	1147	38	0.00	1.06	1.11	0.99	1.27
0 (SPOT_1149)	1149	46	0.00	0.91	0.53	0.40	0.74
0 (SPOT_1151)	1151	46	0.00	1.21	0.91	0.69	0.66
0 (SPOT_1152)	1152	46	0.00	1.44	0.94	1.12	0.54
0 (SPOT_1154)	1154	38	0.00	0.72	0.79	0.65	0.82
TREM1	1157	46	0.00	0.87	0.61	0.54	0.64
0 (SPOT_1163)	1163	38	0.00	0.84	0.72	0.81	0.85
0 (SPOT_1165)	1165	38	0.00	0.89	0.96	1.16	1.09
0 (SPOT_1170)	1170	38	0.00	0.98	0.96	0.95	0.89
0 (SPOT_1173)	1173	48	0.00	0.74	0.88	0.52	0.94
0 (SPOT_1181)	1181	38	0.00	1.38	1.24	1.04	1.18
0 (SPOT_1182)	1182	46	0.00	0.96	0.52	0.46	0.51
0 (SPOT_1183)	1183	41	0.00	0.33	0.18	0.66	0.92
0 (SPOT_1187)	1187	38	0.00	1.37	1.22	1.15	1.14
0 (SPOT_1191)	1191	38	0.00	1.02	0.93	0.93	1.06
0 (SPOT_1196)	1196	38	0.00	0.77	0.85	1.13	0.93
0 (SPOT_1199)	1199	38	0.00	0.82	0.69	0.58	0.78
0 (SPOT_1200)	1200	38	0.00	0.76	0.93	1.02	0.83
EZFIT	1213	46	0.00	1.14	0.63	0.65	0.66
0 (SPOT_1220)	1220	38	0.00	0.82	0.74	0.80	0.87
0 (SPOT_1224)	1224	38	0.00	0.74	0.74	0.87	0.72
TNFRSF11B	1230	48	0.00	0.79	0.71	0.54	0.93
PCLO	1234	38	0.00	0.87	0.73	0.95	0.83
0 (SPOT_1240)	1240	38	0.00	1.01	0.75	0.63	0.83
0 (SPOT_1241)	1241	46	0.00	0.97	0.62	0.59	0.79
0 (SPOT_1246)	1246	46	0.00	1.61	1.05	1.07	1.05
SYNJ1	1275	38	0.00	1.15	0.93	1.08	1.04
0 (SPOT_1276)	1276	46	0.00	0.97	0.51	0.30	0.51
0 (SPOT_1278)	1278	46	0.00	0.88	0.57	0.44	0.43
0 (SPOT_1280)	1280	47	0.00	0.92	1.16	0.44	0.81
TNRC11	1290	48	0.00	0.91	0.82	0.59	1.01
IGSF1	1292	38	0.00	0.81	0.75	0.65	0.69
FEZ2	1295;20870	42	0.00	0.70	1.59	0.80	0.70
MCM6	1310;17642	9	0.00	0.02	-0.18	-0.60	-0.89
RAB17	1315	8	0.00	-0.10	-0.95	-0.81	-0.54
0 (SPOT_1319)	1319	38	0.00	0.92	0.62	0.91	0.77
0 (SPOT_1322)	1322	39	0.00	0.60	0.41	0.83	0.60
0 (SPOT_1326)	1326	46	0.00	1.20	0.86	0.87	0.75
CYP2D6	1327	46	0.00	0.82	0.41	0.45	0.62
0 (SPOT_1328)	1328	47	0.00	0.98	0.73	0.11	0.80
0 (SPOT_1333)	1333	46	0.00	1.28	0.87	0.65	0.74
DUSP6	1337;16905	10	0.00	-0.29	-0.83	-0.27	0.04
LCP1	1340;8572	41	0.00	0.24	0.72	1.64	1.57
STAT1	1343;20994;23482	8	0.00	-0.45	-0.69	-0.53	-0.81
PLAUR	1344;18908	43	0.00	0.04	2.43	2.70	2.41
0 (SPOT_1348)	1348	38	0.00	2.13	3.59	2.70	2.72
0 (SPOT_1353)	1353	38	0.00	0.76	0.91	0.72	0.91
0 (SPOT_1355)	1355	49	0.00	1.97	2.66	3.29	1.70
0 (SPOT_1368)	1368	38	0.00	1.28	1.34	1.23	1.28
0 (SPOT_1386)	1386	38	0.00	0.58	0.58	0.70	0.83
0 (SPOT_1390)	1390	38	0.00	0.96	0.69	1.04	1.10
ZNF333	1391;8186	49	0.00	0.87	1.52	2.14	0.49
0 (SPOT_1394)	1394	46	0.00	1.35	0.51	0.54	0.74
0 (SPOT_1398)	1398	38	0.00	0.93	1.06	1.25	1.05
0 (SPOT_1410)	1410	38	0.00	0.84	0.67	0.89	0.94
RLN1	1431;2946	42	0.00	0.52	0.84	0.41	0.44
0 (SPOT_1433)	1433	41	0.00	0.28	0.68	0.91	1.22
0 (SPOT_1438)	1438	49	0.00	0.40	0.64	0.87	0.38
0 (SPOT_1441)	1441	49	0.00	1.03	1.04	1.56	0.73
0 (SPOT_1443)	1443	38	0.00	1.03	1.23	1.01	0.82
0 (SPOT_1465)	1465	38	0.00	0.80	0.79	0.88	1.02
0 (SPOT_1468)	1468	48	0.00	0.78	0.68	0.76	1.20
0 (SPOT_1471)	1471	40	0.00	0.53	1.66	0.33	0.34
0 (SPOT_1483)	1483	38	0.00	0.92	1.08	0.85	0.81
EGF	1494	38	0.00	0.88	0.89	1.04	0.92
0 (SPOT_1495)	1495	39	0.00	0.96	0.91	2.12	1.20
0 (SPOT_1496)	1496	37	0.00	0.16	1.00	-0.15	-1.17
0 (SPOT_1497)	1497	45	0.00	1.17	0.72	-0.01	0.24
TJP1	1521	38	0.00	0.73	0.76	0.78	1.07
BIRC2	1540;2484	43	0.00	0.10	1.22	1.20	0.84
BTG2	1544	41	0.00	0.65	0.55	0.80	1.21
SMARCA3	1547	38	0.00	1.03	1.22	1.05	1.13
EMR1	1551	49	0.00	0.63	0.84	1.17	0.62
C5	1559	48	0.00	0.53	0.60	0.59	1.07
C6	1560	41	0.00	0.42	0.69	1.01	1.12
SFRS3	1562;18717	37	0.00	-0.10	0.04	-0.10	-0.81
ENPP1	1565	38	0.00	0.66	0.78	0.86	0.74
AADAC	1580	38	0.00	0.78	1.00	0.94	0.99
0 (SPOT_1624)	1624	40	0.00	0.09	1.46	0.75	0.21
0 (SPOT_1625)	1625	38	0.00	0.89	0.87	0.88	0.85
0 (SPOT_1632)	1632	35	0.00	0.82	0.36	0.73	0.68
0 (SPOT_1642)	1642	38	0.00	0.68	0.99	1.02	0.94
0 (SPOT_1645)	1645	38	0.00	0.69	0.63	0.69	0.85
0 (SPOT_1653)	1653	38	0.00	0.77	1.01	0.79	0.93
0 (SPOT_1655)	1655	38	0.00	0.75	0.88	0.72	0.84
FLJ31715	1656	38	0.00	1.44	1.03	1.00	1.14
0 (SPOT_1662)	1662	38	0.00	0.68	0.69	0.71	0.89
0 (SPOT_1665)	1665	38	0.00	0.67	0.80	0.72	0.66
0 (SPOT_1666)	1666	38	0.00	0.78	0.81	0.71	0.68
PDGFRA	1669	9	0.00	-0.15	-0.73	-0.95	-1.04
0 (SPOT_1673)	1673	43	0.00	0.44	0.89	0.94	0.56
0 (SPOT_1700)	1700	38	0.00	1.07	1.06	0.85	0.94
0 (SPOT_1703)	1703	38	0.00	0.46	0.80	0.63	0.86
0 (SPOT_1715)	1715	38	0.00	1.16	1.16	0.99	1.01
0 (SPOT_1718)	1718	38	0.00	0.92	1.00	1.11	0.89
0 (SPOT_1720)	1720	38	0.00	1.41	1.40	1.17	1.33
0 (SPOT_1721)	1721	38	0.00	0.74	0.88	0.65	0.72
0 (SPOT_1723)	1723	18	0.00	-0.04	1.11	0.71	0.87
FLJ14146	1725	38	0.00	1.00	1.17	1.16	1.33
MGC5576	1726	9	0.00	-0.02	-0.26	-0.37	-0.87
0 (SPOT_1738)	1738	38	0.00	1.32	1.67	1.86	1.85
0 (SPOT_1749)	1749	38	0.00	0.72	1.01	0.99	0.86
ALDH1A2	1751	43	0.00	0.48	1.01	1.12	0.79
0 (SPOT_1760)	1760	38	0.00	1.02	0.86	0.88	0.79
REG1A	1768	10	0.00	-1.01	-0.84	-0.70	-0.02
