Level1	Level2	Level3	Level4	Value
Network	groupA	period1	sample1	2
Network	groupA	period1	sample2	2
Network	groupA	period1	sample3	1
Network	groupA	period1	sample4	2
Network	groupA	period1	sample5	3
Network	groupA	period2	sample6	3
Network	groupA	period2	sample7	3
Network	groupA	period2	sample8	3
Network	groupA	period2	sample9	1
Network	groupA	period2	sample10	1
Network	groupA	period2	sample11	3
Network	groupA	period2	sample12	1
Network	groupA	period3	sample13	2
Network	groupA	period3	sample14	3
Network	groupA	period3	sample15	1
Network	groupA	period3	sample16	1
Network	groupA	period3	sample17	2
Network	groupA	period3	sample18	1
Network	groupA	period3	sample19	3
Network	groupA	period3	sample20	3
Network	groupB	period4	sample21	3
Network	groupB	period4	sample22	1
Network	groupB	period4	sample23	2
Network	groupB	period4	sample24	1
Network	groupB	period4	sample25	2
Network	groupB	period5	sample26	2
Network	groupB	period5	sample27	2
Network	groupB	period5	sample28	1
Network	groupB	period5	sample29	1
Network	groupB	period5	sample30	3
Network	groupB	period5	sample31	2
Network	groupB	period5	sample32	1
Network	groupB	period6	sample33	1
Network	groupB	period6	sample34	3
Network	groupB	period6	sample35	2
Network	groupB	period6	sample36	2
Network	groupB	period6	sample37	1
Network	groupB	period6	sample38	3
Network	groupB	period6	sample39	3
Network	groupB	period6	sample40	3
Network	groupC	period7	sample41	2
Network	groupC	period7	sample42	3
Network	groupC	period7	sample43	3
Network	groupC	period7	sample44	3
Network	groupC	period7	sample45	2
Network	groupC	period8	sample46	3
Network	groupC	period8	sample47	2
Network	groupC	period8	sample48	1
Network	groupC	period8	sample49	3
Network	groupC	period8	sample50	2
Network	groupC	period8	sample51	3
Network	groupC	period8	sample52	3
Network	groupC	period8	sample53	3
Network	groupC	period8	sample54	2
Network	groupC	period9	sample55	3
Network	groupC	period9	sample56	2
Network	groupC	period9	sample57	3
Network	groupC	period9	sample58	2
Network	groupC	period9	sample59	2
Network	groupC	period9	sample60	2
