category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Cellular Processes	Cell motility	hsa04820	Cytoskeleton in muscle cells	35/498	233/9423	0.150214592274678	2.84231345984798	6.72613901174916	1.69230742966624e-08	5.263076106262e-06	5.263076106262e-06	PDLIM2/FBLN1/TNNT3/LDB3/TMOD1/ATP1B1/TNNT2/ITGA11/TRIM54/SYNPO2/COL4A6/ITGA2B/ANKRD1/TCAP/COL4A3/SYNE1/MYH7B/DSG2/ATP1B2/TNNC1/DSP/FHL1/MYH3/MYOZ1/MYOZ3/COL6A6/COL11A1/ITGA8/FBN3/ACTN2/MYH10/ITGA10/SGCG/ATP1A2/DES	35
Environmental Information Processing	Signaling molecules and interaction	hsa04512	ECM-receptor interaction	18/498	89/9423	0.202247191011236	3.82685799377284	6.32917649268735	6.97482766113418e-07	0.000108458570130637	0.000108458570130637	SPP1/ITGA11/COL4A6/ITGA2B/COL4A3/FRAS1/FREM1/GP9/TNR/CD36/COL6A6/VWF/NPNT/ITGA8/VTN/ITGA10/HMMR/LAMC3	18
Organismal Systems	Digestive system	hsa04970	Salivary secretion	17/498	93/9423	0.182795698924731	3.45880295375049	5.6286790736278	6.10810665064277e-06	0.000633207056116634	0.000633207056116634	AMY2B/ADRA1A/ATP1B1/KCNN4/NOS1/ADRA1D/ATP1B2/PRKG2/ADRA1B/CST2/ADRB2/ADCY4/CST4/CST1/CAMP/MUC5B/ATP1A2	17
Organismal Systems	Digestive system	hsa04974	Protein digestion and absorption	17/498	103/9423	0.16504854368932	3.12299684173588	5.11731455344043	2.49039102263488e-05	0.00193627902009862	0.00193627902009862	ATP1B1/SLC15A1/KCNN4/COL4A6/COL4A3/COL13A1/COL17A1/ATP1B2/CTRL/CPB2/COL6A6/COL11A1/COL21A1/MME/COL10A1/ATP1A2/MEP1A	17
Human Diseases	Cardiovascular disease	hsa05412	Arrhythmogenic right ventricular cardiomyopathy	15/498	86/9423	0.174418604651163	3.30029420005604	5.06187060884985	3.82033349356993e-05	0.0023762474330005	0.0023762474330005	ITGA11/ITGA2B/RYR2/NOS1/CACNB4/DSG2/DSP/CACNA2D2/CAV3/ITGA8/ACTN2/CACNG4/ITGA10/SGCG/DES	15
Environmental Information Processing	Signaling molecules and interaction	hsa04518	Integrin signaling	21/498	154/9423	0.136363636363636	2.5802300109529	4.67031672267983	5.69418380846682e-05	0.0029514852740553	0.0029514852740553	FERMT1/ITGAL/SPP1/ITGA11/COL4A6/ITGA2B/COL4A3/FRAS1/FREM1/PDGFB/TNR/COL6A6/VWF/LIMS2/NPNT/ITGA8/VTN/ITGA10/FLT4/LAMC3/KDR	21
Organismal Systems	Immune system	hsa04610	Complement and coagulation cascades	14/498	89/9423	0.157303370786517	2.97644510626777	4.42514973629132	0.000217114947426544	0.00964610694995075	0.00964610694995075	MASP1/A2M/F10/C7/CFD/CPB2/KLKB1/SERPING1/PROC/MASP2/VWF/VTN/THBD/C4BPB	14
Environmental Information Processing	Signaling molecules and interaction	hsa04514	Cell adhesion molecule (CAM) interaction	20/498	160/9423	0.125	2.36521084337349	4.11401619806766	0.000283375086886949	0.00995260499882571	0.00995260499882571	ITGAL/JAM2/CLDN2/LRRC4B/NFASC/CADM3/SELP/NTNG1/VTCN1/CLDN11/CLDN5/CDH5/CLDN14/PECAM1/ESAM/ITGA8/PTPRD/PTPRM/CDH3/SPN	20
Environmental Information Processing	Signaling molecules and interaction	hsa04080	Neuroactive ligand-receptor interaction	36/498	371/9423	0.0970350404312668	1.83606663852174	3.88094676249477	0.000288017508004602	0.00995260499882571	0.00995260499882571	PTGIR/ADRA1A/GNRH1/GRIA1/VIPR1/LYPD6B/P2RX1/GRIK4/P2RX2/RXFP1/ADRA1D/CTSG/PTGDR/LEPR/S1PR5/CALCRL/VIP/PTGFR/EDNRB/NPFF/EDN2/ADRA1B/P2RX6/ADRB2/APLN/CHRM1/F2RL1/GABRB2/PTH1R/GABRE/S1PR1/NPW/ADM2/KISS1R/AVPR2/NMUR1	36
Human Diseases	Cardiovascular disease	hsa05414	Dilated cardiomyopathy	15/498	105/9423	0.142857142857143	2.70309810671256	4.14529145892584	0.000386908097599477	0.0120328418353437	0.0120328418353437	TNNT2/ITGA11/ITGA2B/RYR2/NOS1/CACNB4/TNNC1/CACNA2D2/CAV3/ADCY4/ITGA8/CACNG4/ITGA10/SGCG/DES	15
Metabolism	Glycan biosynthesis and metabolism	hsa00512	Mucin type O-glycan biosynthesis	8/498	36/9423	0.222222222222222	4.20481927710843	4.55065063236043	0.000468157284556059	0.0122282609761333	0.0122282609761333	B3GNT3/ST6GALNAC3/GALNT4/GCNT3/ST6GALNAC1/GALNT13/GALNT7/B3GNT6	8
Organismal Systems	Circulatory system	hsa04261	Adrenergic signaling in cardiomyocytes	19/498	154/9423	0.123376623376623	2.33449381943358	3.94405166210913	0.000471830005509965	0.0122282609761333	0.0122282609761333	CREB3L4/ADRA1A/ATP1B1/TNNT2/SCN7A/CREB3L1/RYR2/ADRA1D/SCN4B/CACNB4/ATP1B2/TNNC1/ADRA1B/CACNA2D2/ADRB2/ADCY4/RAPGEF4/CACNG4/ATP1A2	19
Human Diseases	Cardiovascular disease	hsa05410	Hypertrophic cardiomyopathy	14/498	99/9423	0.141414141414141	2.67579408543264	3.9593074499645	0.000665965211390003	0.0159319369801762	0.0159319369801762	TNNT2/ITGA11/ITGA2B/RYR2/NOS1/CACNB4/TNNC1/CACNA2D2/CAV3/ITGA8/CACNG4/ITGA10/SGCG/DES	14
Environmental Information Processing	Signal transduction	hsa04020	Calcium signaling pathway	26/498	254/9423	0.102362204724409	1.93686557252633	3.57532282027354	0.000908533853195281	0.0201824305959809	0.0201824305959809	FGF10/ADRA1A/P2RX1/P2RX2/RYR2/FGF2/NTRK3/TGFA/NOS1/ADRA1D/PTGFR/EDNRB/ITPKA/TNNC1/PDGFB/FGFR4/ADRA1B/P2RX6/ADRB2/CHRM1/ADCY4/CASQ2/NTRK2/MCOLN3/FLT4/KDR	26
Organismal Systems	Excretory system	hsa04964	Proximal tubule bicarbonate reclamation	6/498	23/9423	0.260869565217391	4.93609219486642	4.46423823210517	0.000986761031034008	0.0204588453767718	0.0204588453767718	ATP1B1/ATP1B2/CA4/AQP1/ATP1A2/SLC25A10	6
Organismal Systems	Endocrine system	hsa04911	Insulin secretion	12/498	86/9423	0.13953488372093	2.64023536004483	3.60939012079625	0.00178304778262916	0.0341544026125144	0.0341544026125144	SLC2A1/CREB3L4/ATP1B1/CREB3L1/KCNN4/KCNMB2/RYR2/ATP1B2/ADCY4/RAPGEF4/STX1A/ATP1A2	12
Organismal Systems	Circulatory system	hsa04260	Cardiac muscle contraction	12/498	87/9423	0.137931034482759	2.60988782717075	3.56333727009914	0.00197183648443228	0.0341544026125144	0.0341544026125144	COX4I2/ATP1B1/TNNT2/RYR2/CACNB4/ATP1B2/TNNC1/CACNA2D2/CASQ2/COX6B2/CACNG4/ATP1A2	12
