set_num,name,year,theme_id,num_parts
001-1,Gears,1965,1,43
0011-2,Town Mini-Figures,1979,67,12
0011-3,Castle 2 for 1 Bonus Offer,1987,199,0
0012-1,Space Mini-Figures,1979,143,12
0013-1,Space Mini-Figures,1979,143,12
0014-1,Space Mini-Figures,1979,143,12
0015-1,Space Mini-Figures,1979,143,18
0016-1,Castle Mini Figures,1979,189,15
002-1,4.5V Samsonite Gears Motor Set,1965,1,3
002253963-1,Legend of Chima: Corbeaux et Gorilles,2013,497,4
003-1,Master Mechanic Set,1966,366,403
005-1,Basic Building Set in Cardboard,1965,366,35
005-2,Discovery Set,1967,366,0
00-6,Special Offer,1985,67,0
010-1,Basic Building Set in Cardboard,1965,366,57
010-3,Basic Building Set,1968,366,77
011-1,Basic Building Set,1968,366,145
021-1,Wheel Set,1966,366,183
022-1,Basic Building Set,1968,366,110
0241187567-1,Ninjago: Build Your Own Adventure,2015,497,74
0241357594-1,Star Wars: Build Your Own Adventure: Galactic Missions,2019,497,70
028-1,Nursery Furniture,1979,652,7
030-2,Building Set,1973,505,29
03093-1,The Race to Build It Board Game,1999,674,77
032-1,Living Room,1979,652,14
033-1,Farm Animals,1979,632,21
033-2,Basic Building Set,1968,366,177
041-1,Pre-School Beginners Set,1964,440,24
041-2,Playhouse,1979,652,1
042-1,Jumbo Brick Pull Toy,1966,440,9
044-1,Basic Building Set,1968,366,225
044-2,Jumbo Bricks,1969,440,30
045-1,Farm,1979,632,66
045-2,Assorted Clear Bricks & Plates,1969,371,37
050-2,Lighting Device Pack,1969,371,4
051-1,Assorted Basic Bricks - Red,1966,371,50
052-1,Assorted Basic Bricks - White,1966,371,50
053-1,Assorted Basic Bricks - Blue,1966,371,50
054-1,Assorted Basic Bricks - Yellow,1966,371,50
055-1,Trees & Bushes,1966,371,25
055-2,Basic Building Set,1968,366,256
057-1,Large Wheels,1966,371,17
058-1,Small Wheels,1966,371,26
060-1,Assorted White Plates,1966,371,15
060-3,Jumbo Brick School Set,1968,440,60
061-1,Five Large Base Plates - Green,1966,371,5
062-1,Five Large Base Plates - White,1966,371,5
063-1,Five Large Base Plates - Blue,1966,371,5
063-2,Ducks,1978,505,18
065-1,Two Garage Door Kits,1969,371,6
066-1,Basic Building Set,1968,366,407
071-1,Block Box,1979,505,24
074-1,Pre-School Set,1976,505,20
075-1,Pre-School Set,1975,505,17
0751359483-1,The Ultimate LEGO Book,1999,497,0
0756668530-1,Atlantis: Brickmaster,2010,497,157
0756672805-1,Pirates: Brickmaster,2009,497,162
0756682762-1,Ninjago: Brickmaster,2011,497,154
0756692571-1,Harry Potter: Characters of the Magical World,2012,497,4
077-1,Pre-School Set,1975,505,21
078-1,Roadway Base Plate,1970,371,1
080-1,Basic Building Set with Train,1967,366,712
080-3,Police Station,1976,505,25
082-1,Legoville,1976,505,63
086-1,Tub Boat,1978,632,3
088-1,Super Set,1969,469,615
10000-1,Guarded Inn,2001,199,256
10000549412-1,Jurassic World - PC DVD,2015,501,0
1000-1,Mosaic Set,1985,516,203
10001-1,Metroliner,2001,233,787
10002-1,Railroad Club Car,2001,233,293
1000229927-1,Harry Potter: Years 5-7 - PS Vita,2012,501,0
10003-1,1 x 2 Sand Red Bricks,2001,254,100
1000368666-1,Batman the Videogame - PSP,2008,501,0
10004-1,2 x 2 Sand Red Bricks,2001,254,100
1000430096-8,Marvel Super Heroes - PS4,2013,501,0
10005-1,2 x 4 Sand Red Bricks,2001,254,50
1000565140-1,Jurassic World - Xbox One,2015,501,0
1000565190-1,Jurassic World - PS Vita鈥?2015,501,0,https://cdn.rebrickable.com/media/sets/1000565190-1.jpg
1000565740-1,Marvel Avengers - Xbox One,2016,501,0
1000565742-1,Marvel Avengers - PS4,2016,501,0
1000565765-1,Marvel Avengers - PS Vita鈥?2016,501,0,https://cdn.rebrickable.com/media/sets/1000565765-1.jpg
1000565897-5,Marvel Super Heroes - Xbox One,2013,501,0
1000577871-1,Marvel Avengers - PC,2016,501,0
1000591519-1,Star Wars: The Force Awakens - 3DS,2016,501,0
