sample	group	value	Special marking
sample1	group1	50	1
sample1	group2	13	0
sample1	group3	19	0
sample1	group4	25	1
sample1	group5	16	0
sample1	group6	32	1
sample1	group7	29	0
sample1	group8	36	1
sample1	group9	8	0
sample1	group10	25	1
sample2	group1	42	1
sample2	group2	21	0
sample2	group3	15	1
sample2	group4	7	0
sample2	group5	25	1
sample2	group6	30	1
sample2	group7	19	0
sample2	group8	25	0
sample2	group9	6	0
sample2	group10	10	1
sample3	group1	20	1
sample3	group2	6	1
sample3	group3	5	0
sample3	group4	20	1
sample3	group5	6	1
sample3	group6	13	1
sample3	group7	10	1
sample3	group8	9	1
sample3	group9	15	1
sample3	group10	14	1
sample4	group1	16	1
sample4	group2	9	1
sample4	group3	13	1
sample4	group4	9	1
sample4	group5	6	1
sample4	group6	6	1
sample4	group7	16	1
sample4	group8	17	1
sample4	group9	17	1
sample4	group10	5	1
sample5	group1	6	0
sample5	group2	15	1
sample5	group3	12	1
sample5	group4	19	0
sample5	group5	9	1
sample5	group6	9	1
sample5	group7	13	1
sample5	group8	15	1
sample5	group9	14	1
sample5	group10	13	0
sample6	group1	8	0
sample6	group2	19	0
sample6	group3	7	0
sample6	group4	8	0
sample6	group5	20	1
sample6	group6	20	1
sample6	group7	13	0
sample6	group8	13	1
sample6	group9	18	1
sample6	group10	17	1
