sample	Period	ACE	Chao	Shannon	Simpson
sample01	period1	2161	2052	2.258590742	4.822798501
sample02	period1	1434	1089	1.25430476	4.256230383
sample03	period1	1536	1900	1.920911909	4.208888487
sample04	period1	2023	1944	0.539988485	3.680311205
sample05	period1	1326	1151	1.95572388	3.728922773
sample06	period1	1788	1492	0.92911586	4.363216399
sample07	period1	2163	1925	2.16927312	3.534201855
sample08	period1	1938	1747	0.945861468	4.5773588
sample09	period1	1647	1341	1.029192106	3.161928541
sample10	period1	1679	1738	0.801985992	4.551725383
sample11	period2	1933	2774	2.29303527	4.216634977
sample12	period2	1668	2390	1.480225099	2.844086214
sample13	period2	2800	1880	1.71724591	4.098866517
sample14	period2	1615	2171	2.673213836	3.444054271
sample15	period2	2710	1928	1.465769104	3.123289821
sample16	period2	2780	2177	2.355198968	4.330018278
sample17	period2	2209	2013	1.024839877	4.458395823
sample18	period2	2214	1808	2.327804261	2.614581567
sample19	period2	2623	2183	1.691456107	2.926393816
sample20	period2	2037	1928	2.5324685	4.336684947
sample21	period3	2695	2660	1.841144279	3.459213402
sample22	period3	2703	3067	2.121109391	2.053856989
sample23	period3	2303	2053	2.1227789	2.236093346
sample24	period3	3157	2862	2.946720084	2.879967854
sample25	period3	2169	2328	1.805942536	2.420110185
sample26	period3	2471	2476	1.917317727	2.745755759
sample27	period3	2047	2903	2.470733574	2.311632249
sample28	period3	2805	3247	3.457578183	3.635115788
sample29	period3	2792	2702	3.389325508	3.734637717
sample30	period3	2627	2986	1.675910967	3.237860894
sample31	period4	3785	2505	2.509441986	1.813687413
sample32	period4	3220	3139	2.61670175	1.907495614
sample33	period4	2715	3501	3.090228617	2.202926537
sample34	period4	2792	3890	2.843195461	1.530316487
sample35	period4	3702	3317	2.152046376	2.073535222
sample36	period4	2701	2533	3.575150047	2.087571321
sample37	period4	3929	3043	3.403147986	2.188733209
sample38	period4	3180	2896	3.101886305	2.816758302
sample39	period4	3188	2664	3.32621656	2.303938982
sample40	period4	3182	3706	3.825800228	2.127590938
sample41	period5	4113	3497	3.388777866	1.149741778
sample42	period5	4299	4387	3.59045328	0.521764124
sample43	period5	4477	3859	4.413860116	0.507385336
sample44	period5	3668	4085	3.484631945	1.494896678
sample45	period5	3442	4308	4.277286591	0.561198485
sample46	period5	3172	4471	4.282353226	1.732649049
sample47	period5	3793	3405	2.647391834	1.174180573
sample48	period5	3448	3074	3.803923617	1.554709471
sample49	period5	4007	3222	4.13126289	1.743418172
sample50	period5	3553	3551	3.619970086	1.195975623
