sample	x	y	group
0	7.216379112	4.204080882	A
1	9.206463022	-0.589481402	A
2	4.664840698	3.003075251	A
3	8.356435539	3.585431936	A
4	4.512870618	1.085483133	A
5	2.22155255	-0.342634856	A
6	1.895092613	4.459328113	A
7	2.075352272	3.914299442	A
8	0.293110088	5.513609112	A
9	6.08944549	4.074842529	A
10	1.14126805	0.680912785	A
11	2.214482184	3.425325155	A
12	11.89045851	1.811063947	A
13	5.051942218	0.66338165	A
14	4.075566578	4.155660684	A
15	8.099924233	3.87151721	A
16	6.925172228	1.388426301	A
17	6.714879465	1.840544752	A
18	7.347339004	2.05328235	A
19	5.058434944	2.345857218	A
20	12.17630412	4.775237064	B
21	3.108507504	2.399679596	B
22	11.89869545	2.707524134	B
23	3.413251522	-0.911569027	B
24	12.22511005	1.981567414	B
25	9.681821134	3.006868503	B
26	6.534399459	5.882926666	B
27	5.24379349	5.32949966	B
28	10.08604475	-0.517756601	B
29	6.618028314	3.196387901	B
30	10.07319469	1.665382253	B
31	10.90206477	3.706888138	B
32	3.507527945	1.345637631	B
33	8.903493597	3.782721915	B
34	9.599326328	1.121601655	B
35	11.60567951	3.299223932	B
36	2.845730256	3.153164059	B
37	2.246889247	-0.580946145	B
38	12.52917693	2.03326805	B
39	12.39248594	2.410360359	B
40	11.34818768	1.027329751	B
41	5.304141247	1.043789041	B
42	9.431428699	0.133873475	B
43	6.440023624	5.347844787	B
44	9.41912563	-0.636734337	B
45	9.150804858	1.151052888	B
46	8.490268612	-0.567504147	B
47	7.834989892	1.807557944	B
48	9.656918524	1.823161013	B
49	5.45162104	3.43871568	B
50	7.581465129	1.099779772	B
51	7.424439353	1.962889202	B
52	0.848500948	5.357419406	B
53	10.63794306	1.350315235	B
54	10.72677895	4.203557581	B
55	5.358430335	0.65189422	C
56	12.32626851	2.813140519	C
57	10.46027906	1.821907449	C
58	2.829481329	1.788449015	C
59	2.511240576	2.078537032	C
60	10.72986327	3.254233102	C
61	7.569441781	5.265736079	C
62	0.776376212	1.068424482	C
63	2.913199118	-0.163652002	C
64	3.405710138	-0.953134384	C
65	2.386689594	2.829159207	C
66	1.377423246	2.069769315	C
67	2.806012817	0.916962724	C
68	7.156154143	4.745305656	C
69	8.143835878	3.529499171	C
70	1.675650902	2.681538375	C
71	3.696681843	1.946717319	C
72	4.809177705	3.192268973	C
73	7.229972178	1.386598117	C
74	7.674936385	3.24748918	C
75	0.455082376	4.852563773	C
76	5.766329608	3.109335252	C
77	7.690124962	5.051846338	C
78	7.220585372	0.999606616	C
79	2.059987997	0.342887206	C
80	1.306769638	1.476564611	C
81	5.831987834	5.810243339	C
82	7.57732951	3.202278593	C
83	9.345726038	-0.088935717	C
84	6.141067591	3.624528438	C
85	5.641654939	3.885849904	C
86	12.43655956	5.519400098	C
87	11.69514796	0.773396953	C
88	10.51289106	0.685692709	C
89	2.219448982	4.175788796	C
90	1.124234357	4.775821041	C
91	8.92337418	-0.671481675	C
92	3.945840337	1.472648383	C
93	5.010380077	1.096070166	C
94	6.402512354	3.45962213	C
95	10.85899857	1.930349522	C
96	3.837657721	3.599289643	C
97	7.959229173	4.495109675	C
98	10.35674107	3.334758827	C
99	7.412223416	3.065890925	C
100	3.553139491	3.499013175	C
101	10.54874622	-0.045658012	C
102	7.186845869	3.520426932	C
103	2.342703795	3.871703007	C
104	11.77566746	4.501149155	C
105	4.422204707	1.845425675	C
106	2.070523722	4.096687163	C
107	1.493949058	4.642517868	C
108	11.02305115	1.65427012	C
109	6.137027514	3.737740624	C
110	11.18726882	1.767642884	C
111	1.339237981	2.404346116	C
112	12.4720302	2.28692737	C
113	3.942128596	0.407911529	C
114	7.31473421	4.469478999	C
115	12.53559225	3.041369021	C
116	2.876657775	-0.198734529	C
117	3.643150994	0.169308831	C
118	10.52510096	4.229274221	C
119	6.275443308	2.805303366	C
120	0.109999445	2.046709386	C
121	6.871777696	0.857956443	C
122	11.64738501	5.129094118	C
123	4.372334003	2.147880968	C
124	5.371419613	1.591111444	C
125	11.16381728	3.778787233	C
126	1.229270779	1.432964352	C
127	10.93881309	2.253008241	C
128	0.575676369	2.338948086	C
129	4.925997558	4.428248203	C
130	3.751213016	-0.406683097	C
131	9.270004353	2.03265567	C
132	5.462012017	2.093893357	C
133	3.017920418	3.699029592	C
134	6.735029704	5.084423709	C
135	1.326795547	2.432500784	C
136	0.356087635	2.023027548	C
137	7.337388269	0.798376924	C
138	0.56782828	1.851794172	C
139	1.649913728	1.399690127	C
140	11.59435677	3.350806566	C
141	2.852478513	3.834844439	C
142	0.563763089	3.837354066	C
143	11.33765617	0.586844581	C
144	4.372884274	0.336340325	C
145	3.795457802	-0.133953271	C
146	6.666696459	3.004225008	C
147	2.833323496	-0.932167965	C
148	3.038858851	-0.672574652	C
149	4.431526709	1.610982382	C
150	2.941859434	0.682805393	C
151	0.419012399	1.790708261	C
152	8.058205552	1.438609732	C
153	0.363546703	4.254322933	C
154	7.609310863	2.246879869	C
155	3.370684313	3.178651832	C
156	5.75051261	1.046350399	C
157	5.447135769	0.992893662	C
158	10.91889065	0.053485158	C
159	6.537376717	1.488750983	C
160	7.838923396	3.407843946	C
161	7.004845009	3.8167014	C
162	6.523444458	5.304430939	C
163	9.100228077	3.363126394	C
164	5.123644614	4.340156737	C
165	6.806985051	2.1691357	C
166	4.778313831	2.728244307	C
167	11.46714741	3.72870959	C
168	4.537190789	0.435691024	C
169	7.728480019	2.928431274	C
170	8.09830804	0.082746164	C
171	7.686831183	0.609848836	C
172	11.75161921	4.835016184	C
173	4.587090479	-0.081947341	C
174	5.382805649	2.936745953	C
175	4.502889466	3.644877546	C
176	5.264868243	1.91602404	C
177	8.985309592	1.526108405	C
178	5.34284769	2.962962088	C
179	4.27519496	-0.294384959	C
180	0.29911355	1.75330876	C
181	2.187678752	2.017115286	C
182	6.931363254	5.206178305	C
183	5.28397594	2.380886578	C
184	11.61648306	0.66098295	C
185	2.201539887	1.731315884	C
186	0.380144218	1.513179365	C
187	1.777081608	3.721134975	C
188	2.937503369	-0.597123291	C
189	2.055226521	1.011655487	C
190	7.112434	3.649134313	C
191	3.2009899	1.03211732	C
192	10.96646166	0.966529	C
193	4.977730712	2.077942011	C
194	5.831523139	3.668156901	C
195	3.566492098	1.607571645	C
196	9.111894567	3.498738997	C
197	5.132534588	0.547013365	C
198	8.816383125	2.71285835	C
199	4.01755929	2.922379298	C
200	2.78718748	1.057274744	C
201	1.80850166	0.941984527	C
202	1.71380116	0.250978325	C
203	3.838997698	1.634961182	C
204	0.939843638	-4.590381774	C
205	0.14096506	-3.208746789	C
206	1.494449739	-4.654592307	C
207	2.550926486	2.402249292	C
208	6.120095565	7.079179428	C
209	5.441142928	4.711281202	C
210	1.047600703	-0.544651995	C
211	1.555229732	-3.901053398	C
212	1.762858553	-0.946973621	C
213	2.17206044	0.626109321	C
214	5.666080488	8.118717662	C
215	2.993068294	3.334333471	C
216	3.763812442	3.018136439	C
217	3.279827023	-0.673008158	C
218	3.033351195	2.591818141	C
219	3.740435599	2.99659339	C
220	6.324612218	5.899228425	C
221	3.146879394	-0.183596261	C
222	6.607596665	10.00026761	C
223	0.953885754	-5.38513692	C
224	5.447105481	6.022116031	C
225	0.960281255	-1.683488201	C
226	1.841946149	-2.888714302	C
227	2.784156082	0.944025383	C
228	6.225917414	9.517389521	C
229	6.43017052	7.08237442	C
230	1.004117761	-0.62719796	C
231	3.960906913	4.269418998	C
232	3.916621692	3.502674457	C
233	2.398414147	-2.453424787	C
234	2.299376402	0.924991407	C
235	2.130098908	0.802092184	C
236	1.504478163	-2.008818542	C
237	6.079412846	9.66488752	C
238	3.574749307	1.126256459	C
239	3.86507855	5.329291641	C
240	2.934282695	-1.033400921	C
241	3.337452276	-0.250704702	C
242	0.419530632	-6.191656475	C
243	3.948526857	3.116988187	C
244	3.811444092	4.224091992	C
245	1.400217548	-3.092392464	C
246	5.28927618	5.244061231	C
247	6.497994554	7.360010387	C
248	5.367855501	8.030282087	C
249	2.552916414	0.573027132	C
250	1.49091228	-0.322395963	C
251	3.035283575	-1.018979852	C
252	3.199855554	1.130202793	C
253	2.527099776	-0.194405288	C
254	1.568982729	-1.403284855	C
255	1.374836461	-3.010945303	C
256	1.137927584	-2.940735064	C
257	0.178519366	-6.706887051	C
258	0.218700625	-6.459175829	C
259	4.674814241	5.211824605	C
260	2.564227955	1.046119105	C
261	0.682721002	-5.332495265	C
262	3.528870505	4.543169102	C
263	1.744164782	-2.441864082	C
264	1.760569313	-2.420000691	C
265	0.989175801	-2.645579078	C
266	3.462494373	3.352582499	C
267	0.804621672	-5.295779597	C
268	6.651189144	5.763712432	C
269	3.444892159	3.897341477	C
270	2.362481948	1.611977252	C
271	1.892238286	-2.569573317	C
272	0.718006629	-2.767932213	C
273	6.441013251	5.291801488	C
274	0.99184817	-4.568791946	C
275	3.865401369	0.439762763	D
276	6.555433664	9.513810092	D
277	5.105643263	2.608958554	D
278	2.318113341	-1.524724251	D
279	4.517041632	4.561326233	D
280	2.209853632	0.520028381	D
281	5.345427336	3.807875825	D
282	1.10810976	-0.375511243	D
283	0.481738086	-4.626921021	D
284	1.24492595	-0.585632972	D
285	2.621105981	1.016589223	D
286	1.439470422	-2.434931885	D
287	1.462098359	0.402170492	D
288	5.499412312	8.052468663	D
289	2.57181273	2.284965335	D
290	6.129153915	5.816766932	D
291	3.967209091	3.714254857	D
292	3.726597385	0.254607502	D
293	0.595387269	-3.813769721	D
294	2.639714915	-0.261804195	D
295	1.324522649	-3.704189679	D
296	4.448207481	5.637491981	D
297	4.978325983	3.010514414	D
298	1.162062241	-3.416540749	D
299	3.033361449	1.380121674	D
