gene	Basal 1-1	Basal 1-2	Basal 1-3	Luminal 1-1	Luminal 1-2	Luminal 1-3	Basal 2-1	Basal 2-2	Basal 2-3	Luminal 2-1	Luminal 2-2	Luminal 2-3	Basal 3-1	Basal 3-2	Basal 3-3	Luminal 3-1	Luminal 3-2	Luminal 3-3
UDP	1.001057	0.58884	1.10732	-0.89907	-0.89907	-0.89907	0.879262	1.259249	0.525195	-0.8807	-0.88214	-0.90086						
IMP	1.041193	0.721016	0.961154	-0.90779	-0.90779	-0.90779	0.902554	1.26026	0.493797	-0.86295	-0.89925	-0.89442	0.893204	0.979402	0.859268	-0.83659	-0.88173	-1.01355
ATP	0.979836	0.469131	1.208799	-0.83532	-0.92185	-0.90059	0.621222	1.334686	0.696518	-0.8468	-0.91591	-0.88972	0.83618	1.075481	0.815199	-0.93129	-0.90914	-0.88643
F16BP	1.060808	0.762218	0.897555	-0.79911	-1.00258	-0.91889	0.771992	1.249847	0.662713	-0.89716	-0.90853	-0.87887	0.7841	1.166119	0.757274	-0.95801	-0.91812	-0.83136
G3P	1.100882	0.667751	0.938248	-0.79799	-0.99406	-0.91483	0.802423	1.244041	0.637532	-0.90052	-0.91049	-0.87299	0.83663	1.090489	0.793228	-0.98512	-0.92104	-0.81419
PEP	1.104582	0.535393	1.044158	-0.87034	-0.89002	-0.92377	0.728343	1.26335	0.68784	-0.87028	-0.96055	-0.84871	0.654941	1.051031	1.004128	-0.98402	-0.85463	-0.87146
ADP	1.031638	0.5741	1.085752	-0.85716	-0.98847	-0.84586	0.826531	1.227669	0.633186	-0.91145	-0.86523	-0.91071	0.750904	1.20228	0.736947	-1.02524	-0.90498	-0.7599
R5P	1.209955	0.305173	1.087579	-0.87604	-0.89426	-0.83241	-0.43336	1.146242	1.411893	-0.70826	-0.70826	-0.70826	-0.20692	1.6638	0.640422	-0.75428	-0.27907	-1.06395
UMP	1.374442	0.202028	0.959482	-0.80157	-0.90548	-0.8289	0.753913	1.292167	0.622493	-0.88188	-0.87639	-0.9103	0.731782	1.149628	0.828834	-0.95656	-0.91668	-0.837
S7P		0.2637	1.252779		-1.08316	-0.43331	1.12512	0.827104	0.7661	-0.90611	-0.90611	-0.90611	0.527741	1.342386	0.77096	-0.88036	-0.88036	-0.88036
G6P	1.008788	0.404783	1.213761	-0.71979	-1.01632	-0.89123	0.337118	1.296905	0.956728	-0.77441	-0.7671	-1.04924	0.453694	1.197535	0.990032	-1.02452	-0.70034	-0.91641
AMP	1.452606	0.205897	0.77834	-1.1641	-0.83216	-0.44059	0.895939	1.298236	0.435814	-0.78576	-0.87774	-0.96649	0.63672	1.313503	0.643153	-1.02871	-1.07671	-0.48796
3PG	1.078971	0.439928	1.131939	-0.77445	-0.9583	-0.91809	0.472163	1.159029	1.024164	-0.74162	-0.91439	-0.99934	0.557894	1.20262	0.897695	-1.09102	-0.87909	-0.6881
F6P	0.936672	0.55431	1.187396	-0.82981	-0.98867	-0.8599	0.601886	1.136592	0.838394	-0.327	-1.07447	-1.1754	0.519623	1.002545	1.061114	-1.34615	-0.51471	-0.72243
F1P	1.228467	0.6037	0.844155	-0.76206	-0.9782	-0.93605	0.631554	1.054678	1.000324	-0.66623	-0.96878	-1.05154	0.778079	1.160218	0.741696	-1.13179	-0.87148	-0.67673
G1P	1.129197	0.145184	0.769196	-1.13149		-0.91208	0.368975	1.313126	0.836108	-0.39014	-0.95466	-1.17341	0.910803	1.241592	0.500082	-1.02719	-0.77451	-0.85078
Malate	1.50678	-0.03572	0.875736	-0.80839	-1.01878	-0.51962	0.810988	1.126563	0.459938	-1.22011	-0.00567	-1.17171	0.707621	1.193568	0.752851	-1.20611	-0.67433	-0.7736
Fumarate	1.35324	-1.41052	0.41057	-0.8579	-0.01908	0.523693	0.684136	1.461251	0.36703	-1.11206	-0.55049	-0.84987	-0.21435	1.458343	0.337768	-1.63754	-0.0948	0.150577
Aconitate	1.606242	-0.44932	0.870852	-0.88885	-0.67215	-0.46677	0.07727	0.990102	0.56338	0.516007	-0.32312	-1.82364	-0.99527	-0.45736	-0.12097	-0.78602	0.741699	1.617923
Citrate	1.500056	-0.2649	0.900908	-0.87826	-1.01983	-0.23797	0.104612	1.53022	0.172007	-0.30597	0.085619	-1.58649	-1.15239	-0.46776	-0.6009	-0.06865	0.662146	1.62756
Isocitrate	-0.70396	-1.29767	-0.60486	0.68141	0.70046	1.224616	-0.90748	-0.05999	-0.48347	0.06747	1.911897	-0.52842	-0.83542	-0.62344	-1.03992	0.161051	1.360591	0.977144
a-KG	-0.71046	-1.07882	-0.39584	0.100712	0.33788	1.746535	-0.9633	-0.36899	-0.48615	1.368396	1.153941	-0.70389	-1.12672	-0.77146	-0.74582	0.582	1.270225	0.791774
Succinate	-0.80836	-1.06594	-0.81981	0.764986	0.749799	1.179332	-0.89479	-0.12108	-0.827	-0.13881	1.862034	0.119649	-1.0587	-0.66571	-0.93842	0.597626	0.851424	1.213783
