sample	group	facet1	facet2	facet3	facet4	facet5	facet6
sample1	A	42	47	26	73	37	47
sample2	A	21	3	94	88	32	75
sample3	A	33	33	21	30	88	85
sample4	A	48	6	17	8	94	3
sample5	A	50	33	18	31	19	5
sample6	A	36	12	66	4	58	88
sample7	A	35	1	15	53	5	30
sample8	A	74	97	11	6	77	83
sample9	A	87	25	23	21	37	19
sample10	A	68	43	52	85	70	22
sample11	A	8	10	48	50	54	12
sample12	A	46	52	86	70	87	55
sample13	A	1	26	98	59	90	96
sample14	A	43	28	26	66	47	36
sample15	A	87	63	10	98	92	4
sample16	A	70	30	81	82	12	68
sample17	A	90	19	93	5	47	9
sample18	A	65	87	48	7	14	65
sample19	A	7	11	44	73	100	29
sample20	A	43	37	41	33	64	92
sample21	A	51	88	89	20	67	32
sample22	A	35	97	80	71	58	63
sample23	A	58	56	25	29	99	80
sample24	A	1	39	5	31	72	74
sample25	A	87	95	67	76	89	79
sample26	B	44	57	47	26	4	31
sample27	B	73	34	75	76	6	58
sample28	B	71	72	64	39	67	69
sample29	B	57	7	6	46	83	4
sample30	B	45	18	94	95	15	93
sample31	B	27	31	62	1	95	4
sample32	B	83	67	20	45	75	55
sample33	B	51	8	59	39	84	19
sample34	B	48	82	24	74	83	67
sample35	B	41	95	30	92	30	72
sample36	B	1	2	88	80	94	89
sample37	C	75	22	80	27	70	53
sample38	C	62	69	28	61	6	25
sample39	C	51	27	62	100	12	69
sample40	C	4	96	29	10	70	34
sample41	C	10	52	46	60	17	99
sample42	C	35	97	76	85	46	32
sample43	C	76	1	48	92	80	36
sample44	C	41	92	4	100	27	76
sample45	C	40	60	75	8	61	60
sample46	D	75	44	52	31	16	53
sample47	D	17	49	70	95	87	42
sample48	D	61	87	30	59	41	57
sample49	D	36	80	25	70	19	2
sample50	D	7	47	95	28	74	42
