ssample	group	value
sample01	group1	8
sample02	group1	5
sample03	group1	11
sample04	group1	16
sample05	group1	14
sample06	group1	16
sample07	group1	16
sample08	group1	14
sample09	group1	7
sample10	group1	5
sample11	group1	6
sample12	group1	19
sample13	group1	5
sample14	group1	7
sample15	group1	12
sample16	group1	5
sample17	group1	19
sample18	group1	10
sample19	group1	18
sample20	group1	8
sample21	group2	26
sample22	group2	25
sample23	group2	17
sample24	group2	30
sample25	group2	25
sample26	group2	16
sample27	group2	18
sample28	group2	21
sample29	group2	18
sample30	group2	20
sample31	group2	18
sample32	group2	30
sample33	group2	24
sample34	group2	21
sample35	group2	30
sample36	group2	28
sample37	group2	22
sample38	group2	29
sample39	group2	20
sample40	group2	23
sample41	group3	10
sample42	group3	10
sample43	group3	16
sample44	group3	16
sample45	group3	17
sample46	group3	11
sample47	group3	11
sample48	group3	14
sample49	group3	16
sample50	group3	12
sample51	group3	15
sample52	group3	18
sample53	group3	14
sample54	group3	12
sample55	group3	15
sample56	group3	13
sample57	group3	13
sample58	group3	19
sample59	group3	17
sample60	group3	19
sample61	group4	29
sample62	group4	28
sample63	group4	26
sample64	group4	29
sample65	group4	26
sample66	group4	34
sample67	group4	35
sample68	group4	25
sample69	group4	32
sample70	group4	34
sample71	group4	31
sample72	group4	25
sample73	group4	30
sample74	group4	33
sample75	group4	30
sample76	group4	29
sample77	group4	33
sample78	group4	25
sample79	group4	30
sample80	group4	35
sample81	group5	43
sample82	group5	47
sample83	group5	41
sample84	group5	43
sample85	group5	50
sample86	group5	46
sample87	group5	38
sample88	group5	46
sample89	group5	37
sample90	group5	34
sample91	group5	36
sample92	group5	38
sample93	group5	46
sample94	group5	35
sample95	group5	49
sample96	group5	40
sample97	group5	36
sample98	group5	39
sample99	group5	33
sample100	group5	49
