Rnase4,Mdm2,Ang,Xdh,Abca1,Fth1,Bcl2l1
47.38,27.71,91.68,36.87,53.29,60.8,72.9
35.19,21.33,46.2,42.2,53.29,60.8,72.9
35.19,21.33,54.96,42.2,53.29,60.8,72.9
35.19,21.33,54.96,42.2,53.29,60.8,72.9
35.19,21.33,54.96,42.2,53.29,60.8,72.9
35.19,40.23,54.96,42.2,53.29,60.8,72.9
35.19,30.67,54.96,42.2,79.98,60.8,72.9
34.85,42.59,54.96,42.2,88.95,70.52,72.9
44.85,44.11,54.96,75.92,88.95,77.32,67.12
47.85,58.09,50.84,44.28,88.95,66.01,62.63
44.85,25.8,52.84,77.38,88.95,66.01,62.63
44.85,40.5,41.84,48.34,88.95,66.01,62.63
44.85,51.44,41.84,48.34,88.95,66.01,62.63
44.85,51.44,41.84,48.34,73.75,66.01,62.63
44.85,51.44,41.84,48.34,69.44,66.01,73.42
44.85,51.44,41.84,48.34,64.49,66.01,72.57
44.85,51.44,41.84,48.34,64.49,66.01,48.25
44.85,81.03,41.84,48.34,64.49,66.01,48.25
52.94,62.2,73.28,86.83,64.49,80.35,48.25
34.14,69.34,41.08,96.36,64.49,62.75,48.25
34.12,61.49,47.03,81.59,64.49,105.36,48.25
,43.34,,47.75,64.49,85.32,
,51.71,,51.18,64.49,98.36,
,45.73,,58.27,58.29,78.18,
