Gene,E1.1,E1.2,E1.3,E18.1,E18.2,E18.3,E30.1,E30.2,E30.3
ACPP,0.063148,0.137795,0.009455,0.083003,0.138638,0.166096,0.131031,0.062514,0.122835
ZNF737,0,0,0,0,0,0,0.037281,0,0
PNPLA1,0,0.004142,0.01321,0.009178,0.01439,0.006849,0.008066,0.01417,0.00912
LILRA5,2.240866,2.260073,1.970582,1.511552,1.412053,1.700805,1.237748,1.016328,1.280892
MIR577,16.709173,15.466764,14.351022,14.267466,16.177841,16.129196,14.689874,14.307283,14.103416
SNORD42B,32.022987,32.028004,33.074501,27.749632,31.281757,30.349245,30.190231,28.888224,27.485739
MIR124-2HG,0.189205,0.28033,0.429694,0.438925,0.107525,0.134413,0.308558,0.215712,0.332666
TTYH1,0,0.010077,0,0,0.016473,0,0.016896,0,0
HLA-DOA,0.764166,0.963563,1.461595,1.955924,1.814181,0.435689,1.538263,1.377059,1.557237
FABP12,9.063914,9.346326,9.616597,9.177866,9.38012,9.499549,9.275574,9.097968,8.642208
MIR15A,9.848328,10.379495,8.142457,10.308363,11.451609,11.978347,13.147676,11.778675,14.099164
GAS7,0.449305,0.440347,0.700026,0.034068,0.119578,0.308013,0.31563,0.126778,0.24363
KCNK1,0.257208,0.042451,0.117415,0.04311,0.068213,0.018392,0.042226,0.007869,0.025291
ECM2,1.360141,1.462596,1.543428,1.300709,1.571983,1.375292,1.224108,0.725225,1.467993
LOC643387,0,0,0.035242,0,0,0,0.081716,0,0.084702
UBE2E3,0.016794,0,0.071391,0.087335,0.015186,0.041574,0.015616,0.035791,0.019044
SNHG3,2.176629,2.376544,2.237591,2.399329,3.426683,2.834022,3.868275,4.302233,4.364394
PLGLA,0.040829,0.333589,0.041445,0.010296,0.031167,0.137511,0.189633,0.079737,0.104975
TRIM63,7.212708,7.168389,7.065939,8.398253,9.935132,8.794817,12.772281,11.73278,11.762104
DSG3,0.000401,0.004604,0.009056,0,0,0,0.001814,0,0
SLC26A1,6.687187,6.695789,6.42442,3.8957,5.716803,5.58802,8.677432,6.521362,6.994239
HIST1H4L,1.58456,1.33733,1.149333,1.934195,2.009586,1.757324,1.998314,2.223415,2.082724
RNU105C,2.238282,2.268904,1.663831,1.397511,2.338268,1.966488,2.878077,3.395701,1.792994
LOC401554,5.145641,5.55168,6.182244,6.549865,6.737699,6.349296,4.541817,4.557782,4.464931
FAM86B3P,33.419468,34.004292,32.830208,22.246635,22.011415,23.815828,22.872025,17.596197,20.584156
STEAP4,6.378793,6.644574,6.387769,5.611464,6.813281,6.730548,6.88997,6.247056,5.487579
ERCC4,9.756496,11.17646,11.593574,9.264226,9.961411,9.510658,8.817987,8.156225,7.986691
GAPDHS,1.187743,1.081374,0.995998,0.828164,0.972721,1.342793,0.757464,0.837165,0.822173
SERPINB6,5.061327,5.262423,5.254786,2.876603,3.564336,3.30127,3.95004,2.910548,4.875443
HMHB1,1.076446,0.643157,0.791465,0.979285,0.654761,0.903916,0.665588,0.752913,0.980415
HAO2,0.217441,1.040295,0.07406,0.826675,0.467846,0.930168,0.574187,0.103875,0.27114
OR9I1,0.247184,0.217442,0.187752,0.224291,0.205743,0.455411,0.351555,0.282901,0.321458
WISP3,5.597462,5.143115,5.301046,4.216644,4.890349,4.583151,5.322891,4.693635,5.157149
UNC79,36.641262,36.284248,36.405743,30.331116,27.223034,26.630489,32.150188,30.941286,30.041155
TAS2R41,0.255284,0.160261,0.203114,0.118989,0.023936,0.094619,0.30282,0.288204,0.208831
SMC1B,0.230588,0.296283,0.135616,0.087925,0.077907,0.100634,0.202603,0.163088,0.1165
MAP1LC3B2,0.032407,0.037953,0.046062,0.03776,0.020713,0.010209,0.04025,0.063561,0.027133
FGB,8.794321,6.94219,8.066862,9.696424,10.186697,11.878483,14.510767,19.519049,18.112892
C4orf22,21.702057,24.399977,27.151361,26.508307,30.477264,28.770853,24.63307,28.453873,27.194942
C2orf81,19.097128,17.26936,17.872931,16.144413,20.095993,18.426195,19.043261,18.343956,18.14855
PACRG-AS1,3.23985,3.772738,3.298841,3.442529,3.735012,3.688293,3.195981,2.902629,3.363778
BEND6,45.396038,44.008949,45.285919,43.127399,47.411446,49.383938,50.675739,47.206558,48.357185
LONRF2,14.343909,15.150818,29.892492,14.642883,15.033892,15.402939,16.062708,11.604726,16.60367
PPP6R2,0.029454,0.129408,0.07037,0.127657,0.057635,0.124951,0.070228,0.150605,0.044983
GRB14,0.019997,0.005581,0.012496,0.023879,0.05195,0.029009,0.023836,0.024365,0.031186
SYCP3,17.605299,16.740683,17.23892,16.698256,16.45524,17.614836,14.585649,15.498708,15.927747
ZFP69B,10.040618,9.841663,10.618263,10.938158,11.615084,9.730809,11.153686,9.862792,9.25835
GPR45,0,0,0,0,0,0,0,0,0
SPANXN5,9.702888,13.808598,10.099241,11.162092,7.219703,11.029611,6.474165,6.492848,8.248788
PRAMEF5,0.005706,0.082555,0.128703,0.022843,0.14284,0.110307,0.019255,0.016105,0.385158
RDM1,0.62433,0.368945,0.58021,0.162469,0.664456,0.490066,0.42515,0.210889,0.219949
SOGA1,0.144824,0.080162,0.278876,0.245627,0.28414,0.197978,0.381168,0.85531,0.376972
ANKHD1,0,0,0.034173,0,0.029283,0,0.013639,0,0
CXCL8,34.717751,35.80545,35.668179,30.611326,35.889168,32.270267,32.358624,34.710571,29.451071
MBD2,0.191171,0.152792,0.173492,0.104808,0.10674,0.019588,0.111759,0.145091,0.203886
MIR574,0.54786,0.499428,0.574986,0.527007,0.418356,0.2452,0.359918,0.766425,0.401426
TSSK3,0.008006,0.29449,0.245966,0.163604,0.084973,0.114031,0.102127,0.029747,0
AK8,7.418019,7.166995,11.346135,8.883855,9.375784,11.290894,17.093422,16.925932,10.602134
ATP2A1,14.32495,14.554019,12.954885,12.677614,7.424353,13.619424,13.444422,5.397955,13.21162
PHLDB2,0,0,0,0.018566,0.019763,0,0,0,0
ASF1B,13.870605,12.145565,10.489308,10.527648,10.915058,10.632812,11.912979,10.805989,13.896046
SYT14,0.005263,0.003474,0.002371,0.004702,0.004547,0.002168,0.004104,0.004119,0.003529
VN1R2,18.158751,25.084089,28.487154,25.180988,25.3311,28.633036,25.831066,26.179813,20.394884
NXPE2,3.97551,2.276957,2.409122,2.498039,2.969689,2.179588,1.597143,1.967677,1.231341
GRIN2A,1.692405,1.728469,1.603716,1.443424,1.725331,1.601187,1.495269,1.581311,0.89592
MIR2117,3.360181,1.928121,1.62168,1.471755,1.234197,1.055161,1.565791,1.507388,1.733534
CD79B,0.740698,0.936965,1.129844,0.466296,0.382048,1.125404,0.759652,0.935829,0.745011
ADGRE5,18.701363,19.333391,19.51679,19.101685,20.913698,21.049192,22.182425,22.255426,21.158018
RORA,26.985071,31.700756,30.812878,34.228493,32.717525,31.343832,36.85601,32.558414,32.872494
HSD17B13,0.018197,0.018216,0,0.02198,0,0,0,0.012231,0.018808
H1FOO,152.626648,148.816025,152.551056,124.581154,121.816063,123.770981,131.794769,121.159409,120.919075
HOXA13,1.233403,1.246423,1.630966,1.536166,1.547764,1.312838,1.128455,0.943671,0.723471
MALRD1,6.185226,5.107312,4.908015,5.013513,6.393486,5.909328,6.431993,5.843277,6.145096
CCL5,17.54944,15.753486,18.106861,16.298822,19.228424,20.437767,20.992708,17.078064,17.020605
XGY2,0.238916,0.235498,0.166251,0.037204,0.04,0.146758,0.085252,0.065282,0.1215
STRC,35.611023,36.212303,34.716972,31.649324,36.358181,34.376144,34.520313,34.244465,32.531792
CACNA1A,4.017867,4.483065,5.229272,5.572832,5.283228,4.238116,4.344296,4.819477,4.198624
TRIM49B,28.793375,30.568846,26.735632,32.750286,34.398369,31.936211,35.390705,30.993685,31.165676
RPL3L,6.118298,10.451868,5.768961,8.836214,5.075934,5.633077,8.670859,5.35014,5.638896
RAB11FIP4,14.679695,12.954217,14.387369,14.378042,14.522581,15.332449,14.854198,13.260308,15.467505
CELF4,5.421898,5.40813,5.147678,4.551355,4.614652,5.176127,6.103231,6.122092,5.915122
PGGT1B,7.769835,10.20616,7.67591,11.008473,8.606198,12.195131,9.911609,9.370935,7.720047
ADAD1,22.986242,20.55386,17.505226,20.107075,23.413357,20.52017,21.941338,17.600334,20.269104
INTS6L,0,0,0,0,0,0,0,0,0
HERC2P2,36.079121,34.586296,34.564739,33.87344,37.638653,38.692997,54.227192,57.160126,56.871326
LOC653786,2.731233,2.847458,2.923284,3.104476,3.383953,2.92135,3.323109,3.000121,3.2918
CEPT1,33.444431,28.038376,31.272036,31.602913,27.560251,32.492935,22.794363,19.47665,22.819567
SCIMP,7.997986,12.086244,17.420994,8.428558,8.910398,9.992604,8.530174,12.328537,9.795431
KANK1,20.061916,22.167419,23.304487,19.54052,21.94301,20.412807,21.903288,23.659872,20.312042
CTDP1,0.166485,0.305725,0.110886,0.07022,0.386731,0.195419,0.122879,0.151119,0.083459
ATAD5,8.12366,2.415746,5.545558,4.61334,3.820745,4.248044,1.435031,3.665401,2.881191
TMPRSS11E,0.204916,0.234914,0.184231,0.104581,0.063116,0.153126,0.159891,0.214786,0.183899
CT47A7,0,0,0,0,0,0,0,0,0
ZNF596,1.214357,1.326464,1.161741,1.023385,1.281062,1.283934,1.694307,1.506638,1.540042
WDTC1,0,0,0,0,0,0,0,0,0
FBXO41,0,0,0.037886,0.023419,0.0208,0,0.032536,0.011555,0.025695
GPR156,20.995844,20.476988,17.497004,21.229101,20.754457,21.566843,21.705015,19.809546,22.330456
PRDM6,33.713261,34.102947,35.679523,33.885117,38.211788,36.324257,39.306679,37.364723,38.657707
PML,0.031196,0,0.024072,0,0.003812,0.007066,0,0.048853,0.013279
AMZ1,0,0.07124,0,0.00561,0.00611,0.011285,0,0.002504,0.01282
OR10Q1,0.124425,0.094031,0.044851,0.093992,0.058596,0.081858,0.085699,0.03011,0.073295
DPP6,0.736502,1.114704,0.770801,1.735348,1.12817,1.448151,0.803539,0.771389,1.389225
SNORA29,20.490294,16.801937,20.678089,13.274547,11.963305,13.939762,15.465228,11.990849,10.939343
SNORD58B,0.011367,0.034135,0.027176,0.007893,0.008904,0.031687,0.032206,0.002817,0.031527
WIPF2,85.01152,67.891182,80.754631,74.881035,65.999924,61.398609,42.429466,37.212788,60.154755
MIR624,22.195604,25.553307,23.669643,21.132406,23.993395,24.671181,21.7624,22.746124,21.648487
