ID,pval,score
T cell activation,0.044395244,-0.200348817
lymphocyte activation,0.047698225,-8.833690665
T cell activation,0.065587083,-5.46681486
leukocyte cell-cell adhesion,0.050705084,-8.285467553
cell activation,0.051292877,-8.428704573
leukocyte cell-cell adhesion,0.06715065,5.68602284
leukocyte activation,0.054609162,-10.25770986
T cell activation,0.037349388,7.164706044
leukocyte cell-cell adhesion,0.043131471,-23.48752804
leukocyte differentiation,0.04554338,-2.153862504
cell-cell adhesion,0.062240818,-6.761457562
lymphocyte differentiation,0.053598138,-5.840584313
cell-cell adhesion,0.054007715,-4.203605172
lymphocyte activation,0.051106827,-13.02323453
T cell differentiation,0.044441589,-11.33207384
lymphocyte proliferation,0.067869131,-18.18575383
lymphocyte proliferation,0.054978505,-18.71791226
mononuclear cell proliferation,0.030333828,-4.964713586
mononuclear cell proliferation,0.057013559,-3.517902214
leukocyte proliferation,0.045272086,-7.469957733
leukocyte proliferation,0.039321763,1.222674679
cytokine production,0.047820251,12.50084686
neutrophil activation,0.039739956,-12.91031166
neutrophil degranulation,0.042711088,-31.09168876
immune response,0.043749607,2.057385245
T cell proliferation,0.033133067,-15.09200763
neutrophil mediated immunity,0.05837787,-14.88008616
cell adhesion,0.051533731,2.255713697
T cell proliferation,0.038618631,-10.84773007
immune effector process,0.062538149,-20.20717712
cell surface receptor pathway,0.054264642,-6.186965203
cell surface receptor pathway,0.047049285,-9.388913624
leukocyte mediated immunity,0.058951257,7.057641859
T cell proliferation,0.058781335,10.85280401
lymphocyte proliferation,0.058215811,3.293399682
mononuclear cell proliferation,0.056886403,13.44376549
alpha-beta T cell activation,0.055539177,4.795134382
leukocyte proliferation,0.049380883,10.31781964
immunoglobulin superfamily domains,0.046940373,17.96839013
negative immune system process,0.04619529,11.35181491
lymphocyte mediated immunity,0.04305293,3.740684145
leukocyte differentiation,0.047920827,18.48807618
leukocyte migration,0.037346036,16.93503856
immune effector process,0.07168956,12.4839696
defense response,0.06207962,9.387317351
T cell costimulation,0.038768914,0.72093924
antigen receptor-mediated pathway,0.045971152,20.60652449
interferon-gamma production,0.045333446,0.997404129
