"gene","HR","z","pvalue","lower","upper"
"C20orf197",0.869271521422145,-4.52571206383465,6.01924879583596e-06,0.818097973521601,0.923646069801222
"NEIL3",1.1857459752702,4.05555123307717,5.00162075156845e-05,1.09202610793696,1.28750906928924
"PKHD1L1",0.900439372146099,-3.74654332500792,0.000179288050186609,0.852369348639555,0.951220341516203
"DEPDC1",1.2006679582913,3.70221986141305,0.000213721285605219,1.08987386409584,1.32272512770399
"PKIB",1.16567753734766,3.30110118738397,0.000963061427897788,1.06426258410164,1.2767564521907
"KCNK17",0.888897052871611,-3.28820171301444,0.00100829568608702,0.828636186672698,0.953540266901149
"HCN2",1.14695543600198,3.28521583948954,0.00101904275029092,1.05686861085872,1.24472120626767
"IGSF10",0.877359587403351,-3.22046074575187,0.00127984718792711,0.810206416333523,0.950078683765577
"ERCC6L",1.21352943326738,3.21104301140001,0.00132254138107819,1.07831956671103,1.36569318675906
"POU2AF1",0.879901123121757,-3.0806443439618,0.00206553210048778,0.811113545867077,0.954522323558638
"GSG2",1.20324462532762,3.05006595486169,0.00228791116792441,1.06836269753507,1.35515554008032
"KRT6B",1.05555184520373,3.04820603318112,0.00230212029268313,1.01948879413994,1.09289057841284
"KIF2C",1.15984416404428,3.02628856905949,0.00247575899659273,1.05363809628212,1.27675573768109
"C16orf59",1.2121855361594,2.96047243227571,0.00307167610719291,1.06719221996784,1.37687826670843
"HTR1D",1.09647726854925,2.94581472701798,0.0032210527164577,1.03130313181876,1.16577014395852
"CLDN2",0.941542262924684,-2.78287243224582,0.00538799865010318,0.902433744168829,0.982345616619015
"C6",0.936004239110572,-2.68201614003118,0.00731799290201768,0.891842604415596,0.982352638565693
"SYNE1",0.84554506235892,-2.62587438432996,0.00864267059597786,0.746021457374751,0.958345695572143
"BARX2",1.09293689362529,2.61606325790095,0.00889500766723193,1.02253812408336,1.16818241326514
"PGM5",0.888242272245593,-2.47992720806555,0.0131409206500429,0.808824363022912,0.975458171481494
"CD52",0.867811632341453,-2.42220812757372,0.0154265124972451,0.773751604536347,0.973305935408578
"ADAMTS4",1.10857160428843,2.38473671162887,0.0170913485172329,1.01852896365662,1.20657442810722
"KLK12",0.967260563566184,-2.29899702691533,0.0215051081372494,0.940197009071751,0.995103142004329
"SBK1",0.907762877418434,-2.2834621526666,0.0224031597933826,0.835408492777249,0.986383845440163
"PSG4",1.04176940689343,2.22475922253552,0.0260974061981296,1.00488233300518,1.08001052610156
"VPREB3",0.915516055195416,-2.19199303387122,0.0283800096373556,0.846037673793464,0.990700146439568
"PSCA",1.04749186236217,2.15768308130241,0.0309524802446144,1.00426078339049,1.09258393821829
"SULT1A1",0.881528852311985,-2.13463267765919,0.0327910260456381,0.785152728527867,0.989734976678368
"RTN4RL1",0.930235091822915,-2.11762463102082,0.0342068704630591,0.870009031811195,0.994630279018273
"FAM83F",1.06022316769779,2.11605136217915,0.0343404394703775,1.00432296461445,1.11923475309026
"DNAH12",0.941854852485538,-2.08465549163141,0.0371005834977919,0.890274800154036,0.996423309967966
"S100A3",1.1229650160846,2.04581908775027,0.0407741733332538,1.00487878028724,1.25492790980164
"CNR1",0.92373435130783,-2.0285988983358,0.0424991608732496,0.855578487345514,0.99731954976272
"CCNF",1.15171144650493,2.00184945929213,0.045300924717662,1.00295978033982,1.32252487289278
"SYNJ2",1.18214669314754,1.96928279305365,0.0489206259999021,1.0007921424784,1.39636468433786
"ZNF486",0.925004708046117,-1.96894585405428,0.0489593091827763,0.855938043674722,0.999644444163349
"RPLP0P2",1.09650513446103,1.96093073301533,0.0498871036446944,1.00004542057356,1.20226890215629
