ID	HR	lower	upper	pvalue	symbol	as_id	splice_type	exons	from_exon	to_exon	novel_splice
TIMM44_AA_47199	0.50035954	0.366910618	0.682345119	1.21E-05	TIMM44	47199	AA	4.1	3	4.2	0
SPATA24_AA_73606	0.555266865	0.403297454	0.764500961	0.00031113	SPATA24	73606	AA	4.1	3	4.2	0
C2CD2L_AA_19121	0.579187279	0.429272123	0.781457463	0.000352213	C2CD2L	19121	AA	12.1	11	12.2	0
SEPT8_AA_73303	0.574468138	0.423609678	0.779051232	0.00036197	SEPT8	73303	AA	12.1	11	12.2	0
FLAD1_AA_7869	0.583203333	0.431170609	0.78884349	0.000466772	FLAD1	7869	AA	2.1	1.3	2.2	0
FGD3_AA_86894	0.599683472	0.444653019	0.808766053	0.000805941	FGD3	86894	AA	19.3	19.1	19.4	0
LAT_AA_35918	0.598131495	0.441539463	0.810258913	0.000904972	LAT	35918	AA	6.1	5	6.2	0
SSH3_AA_17165	1.68106031	1.230923403	2.295807975	0.00108866	SSH3	17165	AA	3.1	2.2	3.2	0
KANSL3_AA_54567	1.645888074	1.219152819	2.221991787	0.001137817	KANSL3	54567	AA	5.1	3.2	5.2	0
EXOSC9_AA_70503	1.631308619	1.2124203	2.194921852	0.001228819	EXOSC9	70503	AA	10.3:10.4	10.1	10.5	0
TMEM125_AA_2153	1.634475597	1.210271117	2.207365307	0.00135152	TMEM125	2153	AA	2.1	1	2.2	0
PTPN6_AA_20030	1.811128817	1.259351276	2.604664525	0.00135615	PTPN6	20030	AA	4.2:4.3	3	4.4	0
ABCF3_AA_67845	0.610958095	0.451813319	0.826159339	0.00137274	ABCF3	67845	AA	4.1	3	4.2	0
ENOSF1_AA_44470	0.616331699	0.457708457	0.829927343	0.001433185	ENOSF1	44470	AA	9.1	5	9.2	0
CDADC1_AA_25882	0.614397382	0.454920372	0.829780695	0.001488512	CDADC1	25882	AA	4.1	3	4.2	0
DBF4B_AA_41887	1.617778278	1.196725265	2.186973596	0.001762668	DBF4B	41887	AA	10.1	9	10.2	0
PSMF1_AA_58475	1.606633313	1.190503566	2.168217446	0.001934572	PSMF1	58475	AA	8.1	7	8.2	0
WDR83_AA_47822	0.629451113	0.466951927	0.848499987	0.002379742	WDR83	47822	AA	6.1	5	6.2	0
THBS3_AA_8026	0.629396921	0.466405168	0.849348403	0.00246352	THBS3	8026	AA	17.1	16	17.2	0
HNRNPC_AA_26559	0.627395787	0.46394551	0.848430398	0.002466931	HNRNPC	26559	AA	2.2:2.3	1	2.4	0
PSME2_AA_26863	1.581436195	1.173702092	2.130813651	0.00258881	PSME2	26863	AA	3.2	2	3.3	0
GALT_AA_86199	0.635129542	0.470784287	0.856845791	0.002965875	GALT	86199	AA	6.1	5	6.2	0
SEPT8_AA_73304	1.556337626	1.15524543	2.096685902	0.003625333	SEPT8	73304	AA	6.1	5	6.2	0
BDKRB2_AA_29187	0.643752261	0.478182729	0.866649814	0.003691061	BDKRB2	29187	AA	3.1	2.2	3.2	0
ZNF83_AA_51515	0.626992841	0.45657456	0.861020426	0.003918944	ZNF83	51515	AA	6.2	5	6.3	0
PSME2_AA_26862	1.54721241	1.148648182	2.084072634	0.004080748	PSME2	26862	AA	3.1:3.2	2	3.3	0
DNM2_AA_47584	0.64317014	0.475845949	0.869331409	0.004094054	DNM2	47584	AA	23.1	22	23.2	0
ZDHHC8_AA_61144	1.551519901	1.149299736	2.094504965	0.004119931	ZDHHC8	61144	AA	11.1	10	11.2	0
CASP1_AA_18542	0.645203779	0.47791095	0.871057498	0.004217342	CASP1	18542	AA	3.1	2	3.2	0
USP39_AA_54320	0.650296828	0.483471298	0.874686804	0.004438274	USP39	54320	AA	5.1	4	5.2	0
NRGN_AA_19230	0.650007442	0.482487008	0.875691298	0.004612399	NRGN	19230	AA	3.1	2	3.2	0
PPP1R12C_AA_52019	0.652521286	0.484996828	0.877910954	0.004800689	PPP1R12C	52019	AA	17.1	16	17.2	0
KIAA1324_AA_3996	0.652854742	0.484499465	0.879710597	0.005075201	KIAA1324	3996	AA	22.1	21	22.2	0
UQCRB_AA_84612	0.654697737	0.485843052	0.882237844	0.005382034	UQCRB	84612	AA	6.1:6.2:6.3	4	6.4	0
CENPT_AA_37143	0.65174776	0.481734642	0.88176167	0.005504867	CENPT	37143	AA	6.1:6.2	5	6.3	0
ODF2_AA_87760	0.658629831	0.48857109	0.887881545	0.006138015	ODF2	87760	AA	8.1	6	8.2	0
FN1_AA_57393	1.514312996	1.123820521	2.04048939	0.006388506	FN1	57393	AA	40.1:40.2:40.3	39	40.4	0
ANKRD54_AA_62167	1.512844738	1.122421152	2.039073476	0.006562736	ANKRD54	62167	AA	5.1	4	5.2	0
FAM134A_AA_57615	1.509549064	1.120498373	2.033682894	0.006765625	FAM134A	57615	AA	4.1	3	4.2	0
PDPR_AA_37332	0.662304948	0.491255052	0.892912639	0.006871196	PDPR	37332	AA	13.1	12	13.2	0
DHRS11_AA_40497	1.565421641	1.130853892	2.166986322	0.006909879	DHRS11	40497	AA	2.1:2.2	1.2	2.3	0
