from,to,score
ACACA,FASN,0.997
ADRA2C,CACNA1A,0.569
APP,PLAT,0.608
APP,CACNA1C,0.483
APP,F2,0.708
APP,GSK3B,0.936
APP,PSENEN,0.996
APP,PSEN1,0.999
BRAF,GSK3B,0.822
BRAF,MAP2K1,0.999
CACNA1A,CACNG1,0.818
CACNA1A,CACNA1C,0.894
CACNA1A,CALM1,0.92
CACNA1C,CACNG1,0.904
CACNA1C,CALM1,0.986
CALM1,F2,0.401
CALM1,GSK3B,0.426
CD28,STAT5A,0.636
DHFR,FNTA,0.589
DHFR,FOLR1,0.52
F2,PLAT,0.976
F2,MAP2K1,0.919
FASN,GSK3B,0.436
FASN,PDK1,0.449
FLT3,STAT5A,0.948
GSK3B,MAP2K1,0.878
GSK3B,PDK1,0.404
GSK3B,PSEN1,0.992
MAP2K1,STAT5A,0.492
PSEN1,PSENEN,0.999
