Land.Use.and.Land.Cover.Change	Anthropogenic.biomes.of.the.world	Clinical.Antibiotic.Usage	Pesticides	Energy.Extraction.and.Production	Agricultural.Crops	Fungicides	Mining.and.sewage.treatment	Trends.in.Global.Freshwater.Availability	GDP	Veterinary.Antibiotics	PM2.5	Non-Conventional.Energy.Resources	LH.ARG
 8.25200311187257e-03	 4.37764185734338e-02	 3.96143796976928e-02	-3.01591240017709e-02	 5.16414981664666e-02	-1.54894943747170e-02	 7.41639222607989e-02	-7.08406839499333e-02	-1.11358123425509e-02	 8.63969668310410e-03	-1.26925740666955e-04	 5.99588446262469e-03	 8.28748977888488e-03	2.663271772e+04
-3.40441745237204e-02	-1.41017139280167e-03	 3.56309713769294e-02	-2.03918159256629e-02	 2.06821463633872e-02	 7.08355449325980e-02	-5.78235274754994e-03	 3.29526251037099e-02	-2.14909278918389e-03	 1.25174250963149e-02	-2.27329999410793e-02	 6.53403428335772e-03	-3.43414011678966e-02	2.835024695e+04
-3.24992204872987e-02	-4.15887696146475e-03	 3.52801309848572e-02	-1.89438592583524e-02	 1.90970582807753e-02	 6.44747252911767e-02	-5.60785331138817e-03	 3.19876070988341e-02	-9.99683851130015e-04	 1.12182557656501e-02	-2.29070442003272e-02	 6.71634020510650e-03	-3.11494568629248e-02	1.072299837e+04
-2.89145861180661e-02	-4.77347124855702e-03	 3.21835838789062e-02	-1.68670984208077e-02	 1.81815610884526e-02	 5.65979246789777e-02	-5.82754688731053e-03	 3.02794341163558e-02	 5.79676229302192e-04	 1.01383292707217e-02	-2.21000795187230e-02	 6.44041262925856e-03	-2.71152158192987e-02	5.591913310e+03
 4.58960905126231e-03	-1.76452757653806e-02	 2.76795766919876e-02	-8.65568850477619e-04	-3.95142937637866e-04	 1.67417969480611e-03	 4.74575520305244e-04	 1.23907856997428e-02	-5.97927622818800e-04	-1.38763531210290e-02	-1.86820735731150e-02	 8.09055228361168e-03	 1.37727858004018e-02	0.000000000e+00
-2.36459223711754e-02	-2.39498462937575e-02	 4.12113375205146e-02	 2.19829750629143e-04	 3.38514423035590e-03	-1.03971583522596e-02	-1.26877181729718e-03	 4.23826683626162e-02	 2.20757998018458e-02	-1.09918147697612e-02	 2.02289390327397e-02	-4.52814482373570e-04	 6.30796371779063e-03	2.332231029e+04
-2.36631767894426e-02	-2.39562170536863e-02	 4.12274507205751e-02	 2.04657707104174e-04	 3.38845764552793e-03	-1.04143605900037e-02	-1.26688082826938e-03	 4.23458038506713e-02	 2.21109848777079e-02	-1.10546675413574e-02	 1.98199116661473e-02	 2.08599530438330e-04	 6.40843431299448e-03	1.296962832e+04
-9.46480769233161e-03	-3.36044920992353e-02	 4.33484269738861e-02	-1.79993194939626e-03	-3.78193439600244e-03	 4.47537791523811e-03	 3.04567105589392e-03	 1.92487971900518e-02	-5.57790313501453e-05	-1.40605146494904e-02	-1.42590416553224e-02	 4.02585780568546e-03	 1.19839907117177e-02	3.166073300e+04
-1.12469578422367e-02	-6.23950253954185e-02	 4.25737842232865e-02	-8.32919518105975e-03	-2.70048341527810e-02	-4.18197138214994e-04	 9.53678887348114e-03	-1.46552651967786e-02	-2.18582199963175e-02	-4.41923984313417e-03	-4.75889453978138e-03	 1.77782020448476e-04	 8.07973552697091e-03	2.664890100e+04
-8.82812791940995e-03	-5.98231964678694e-02	 3.99947001836875e-02	-8.41352992092020e-03	-2.55947953696101e-02	-8.14769120208561e-04	 9.50408174053298e-03	-1.49373313337176e-02	-2.25870443469861e-02	-3.43041366780376e-03	-7.10090036449222e-03	 1.46841842528061e-03	 7.66484150547615e-03	0.000000000e+00
