,ID,HR,CI_up,CI_low,log_rank_p,fraction,weight,weight_HR,colr
1,B cells memory,1.451,1.243,1.693,1.96e-06,3.409350853,5.70774392864352,45.1,black
2,B cells naive,1.039,0.807,1.337,0.764,1.048244583,0.11690664142431,3.89999999999999,black
3,Dendritic cells activated,0.714,0.56,0.91,0.00611,4.025876759,2.21395878975745,-28.6,green
4,Dendritic cells resting,1.283,1.102,1.493,0.00125,1.491400151,2.90308998699194,28.3,black
5,Eosinophils,0.66,0.568,0.768,5.17e-08,3.81698662,7.28650945690606,-34,green
6,Fibroblasts,1.531,1.318,1.778,1.88e-08,14.32,7.72584215073632,53.1,black
7,Macrophages M0,0.797,0.654,0.972,0.0245,5.196914949,1.61083391563547,-20.3,green
8,Macrophages M1,0.861,0.74,1.001,0.0514,7.395302481,1.28903688100472,-13.9,green
9,Macrophages M2,1.398,1.198,1.63,1.82e-05,14.8497014,4.73992861201492,39.8,black
10,Mast cells activated,0.722,0.62,0.84,2.17e-05,2.427723864,4.66354026615147,-27.8,green
11,Mast cells resting,1.238,1.063,1.443,0.00606,2.705831374,2.21752737583371,23.8,black
12,Monocytes,1.191,1.001,1.417,0.0473,0.24101491,1.32513885926219,19.1,black
13,Neutrophils,0.749,0.636,0.881,0.000448,6.867068649,3.34872198600186,-25.1,green
14,NK cells activated,0.841,0.724,0.976,0.0226,3.026435626,1.6458915608526,-15.9,green
15,NK cells resting,0.663,0.546,0.805,2.79e-05,0.394135745,4.5543957967264,-33.7,green
16,Plasma cells,0.779,0.666,0.911,0.00175,12.53780753,2.75696195131371,-22.1,green
17,T cells CD4 memory activated,0.525,0.418,0.659,1.61e-08,2.992370914,7.79317412396815,-47.5,green
18,T cells CD4 memory resting,1.343,1.133,1.592,0.000661,14.87132463,3.17979854051436,34.3,black
19,T cells CD4 naive,1.535,1.297,1.817,4.82e-07,0.058372566,6.31695296176115,53.5,black
20,T cells CD8,0.834,0.699,0.996,0.0451,2.033432006,1.34582345812204,-16.6,green
21,T cells follicular helper,0.837,0.716,0.979,0.0255,6.755130686,1.59345981956604,-16.3,green
22,T cells gamma delta,1.507,1.297,1.752,6.67e-08,3.688739749,7.17587416608345,50.7,black
23,T cells regulatory Tregs,0.674,0.536,0.849,0.000732,0.166847913,3.13548891894161,-32.6,green
