Gene,survival,log2FC,P_value,GBM,GSC
YBX3,1,1.4880452821504,1.28304187251582e-09,1,1
XRN2,1,1.43697951802975,1.29237053479416e-33,1,1
SNRPG,1,2.27281906343103,3.50744128345867e-22,1,1
SNRPB,1,1.6228125015242,4.45604151546155e-14,1,1
RUVBL1,1,1.60034412656125,2.83526547462618e-46,1,1
RNASET2,1,1.14355792443367,2.90899118212078e-06,1,1
RNASEH2A,1,2.55336314837426,8.45029227071107e-30,1,1
RBMS1,1,1.38277878831045,1.25729116550271e-09,1,1
PPIH,1,1.14256784632236,3.99657301656751e-10,1,1
OAS3,1,2.3064299168432,5.23799717932005e-10,1,1
NXT1,1,2.42128936826414,1.60750124420144e-29,1,1
NIP7,1,1.04788684601728,2.10328433264019e-12,1,1
MRPS33,1,1.08806460790764,2.53850599519261e-07,1,1
MRPS12,1,1.3045435425274,7.48091088053769e-10,1,1
MAGOHB,1,1.04132548074903,1.98595377372683e-08,1,1
MAGOH,1,1.00292762445767,1.73011573638923e-12,1,1
ISG20,1,1.4982332380188,6.63937305923897e-08,1,1
EXO1,1,3.91867518190365,6.25160939137411e-38,1,1
CALR,1,1.65350477581046,1.2232466033476e-24,1,1
ALYREF,1,1.56098978247799,5.08992000985854e-29,1,1
AIMP2,1,1.13895076669438,7.11287241124197e-19,1,1
ZFP36L1,0,1.08945515741989,4.28069981470218e-07,1,1
ZC3HAV1,0,1.68478200382759,3.85665216759588e-21,1,1
ZC3H12A,0,1.6353345728601,2.60774601123757e-06,1,1
USP39,0,1.07973411369491,3.92849425575618e-29,1,1
UBA52,0,1.02483075248396,2.11038603639222e-10,1,1
TERT,0,3.32259182208713,1.94829540875742e-08,1,1
SNRPF,0,1.1446672595513,1.37494129951112e-14,1,1
SNRPE,0,1.46923496138258,3.46973205647716e-06,1,1
SNRNP40,0,1.18134529175618,8.62800420768294e-16,1,1
RPS4X,0,1.45349789672145,1.64056655205943e-11,1,1
RPS3,0,1.67649408867346,9.51716067066513e-12,1,1
RPS21,0,1.45549752914951,4.59165001776845e-08,1,1
RPS2,0,2.5914851090609,1.30198394569311e-55,1,1
RPS12,0,1.11922287183169,2.00327110672266e-06,1,1
RPL36,0,1.58897710339539,7.03012544945791e-12,1,1
RPL35,0,1.69051706767799,3.5800012738041e-11,1,1
RPL12,0,1.60333215949688,3.62550560626361e-17,1,1
RAVER1,0,1.75556037652659,1.59303865272677e-16,1,1
PTCD1,0,1.3848523235314,6.31673737788257e-17,1,1
PTBP1,0,2.05123969665272,2.09432160667453e-49,1,1
PNO1,0,1.07849633137509,8.36542979109771e-11,1,1
PHF5A,0,1.13515203922067,3.93888787657033e-08,1,1
PATL2,0,1.2562894228797,0.000478917243002621,1,1
NXF3,0,2.00140823073861,9.24302106292029e-05,1,1
NPM3,0,1.09274290875723,2.23219197102041e-06,1,1
NOP10,0,1.67124396020699,2.98482741261951e-16,1,1
NAA38,0,1.12380458300407,4.2143279534738e-21,1,1
MRPS6,0,1.06879989667091,1.11581048126038e-05,1,1
MRPL52,0,1.0861385480887,2.32059329499315e-07,1,1
MRPL42,0,1.02813280287079,2.12701163557433e-10,1,1
MRPL36,0,1.47557324258175,5.13531018347668e-17,1,1
MRPL23,0,1.19136744997593,6.27356970779554e-13,1,1
ICT1,0,1.07231570429196,3.78977404745857e-09,1,1
HNRNPAB,0,1.1660779037096,1.28397680098357e-15,1,1
DZIP1L,0,1.09109220174582,3.92570578133545e-08,1,1
BZW2,0,1.24678384938193,2.85235882508639e-07,1,1
AZGP1,0,1.17246894425211,0.0462024939623961,1,1
