sample,group,ori.order
TCGA-EI-6883,1,539
TCGA-G4-6304,1,581
TCGA-A6-6140,1,42
TCGA-DY-A0XA,1,519
TCGA-AA-3693,1,120
TCGA-AZ-4682,1,365
TCGA-DM-A1D4,1,497
TCGA-AZ-6606,1,375
TCGA-DM-A1D8,1,500
TCGA-AA-A00W,1,199
TCGA-DM-A1D7,1,499
TCGA-G5-6235,1,601
TCGA-CM-5864,1,428
TCGA-EI-6881,1,537
TCGA-DM-A28C,1,511
TCGA-A6-6652,1,49
TCGA-AA-A00L,1,193
TCGA-AH-6643,1,340
TCGA-DM-A28M,1,517
TCGA-DY-A1DF,1,523
TCGA-AG-3894,1,300
TCGA-CM-4746,1,414
TCGA-AG-A02G,1,332
TCGA-DY-A1DG,1,524
TCGA-AA-A024,1,218
TCGA-AZ-4313,1,359
TCGA-AG-A01N,1,325
TCGA-AA-A02H,1,222
TCGA-AG-A026,1,331
TCGA-F4-6808,1,556
TCGA-NH-A8F7,1,611
TCGA-A6-5666,1,38
TCGA-CI-6622,1,392
TCGA-AG-A016,1,322
TCGA-DY-A1DD,1,521
TCGA-G5-6641,1,603
TCGA-NH-A6GC,1,610
TCGA-4T-AA8H,1,3
TCGA-AY-A71X,1,356
TCGA-AH-6544,1,337
TCGA-A6-6648,1,45
TCGA-G4-6315,1,588
TCGA-AY-A8YK,1,357
TCGA-CA-6716,1,385
TCGA-AH-6903,1,343
TCGA-F5-6863,1,571
TCGA-AG-A002,1,314
TCGA-DM-A288,1,509
TCGA-DM-A1HB,1,505
TCGA-AA-3972,1,174
TCGA-DM-A280,1,506
TCGA-AA-3696,1,121
TCGA-NH-A50U,1,605
TCGA-AA-3525,1,80
TCGA-CA-5255,1,380
TCGA-CM-5861,1,425
TCGA-D5-5539,1,451
TCGA-F4-6855,1,559
TCGA-AG-3909,1,305
TCGA-EI-6514,1,536
TCGA-G4-6303,1,580
TCGA-AA-3521,1,77
TCGA-AG-3601,1,277
TCGA-CI-6620,1,390
TCGA-AA-3697,1,122
TCGA-AA-3858,1,149
TCGA-CK-6751,1,408
TCGA-AA-3846,1,141
TCGA-AA-3976,1,177
TCGA-DC-4745,1,480
TCGA-AA-A02K,1,224
TCGA-AG-A014,1,320
TCGA-CL-4957,1,409
TCGA-DC-4749,1,481
TCGA-CM-5868,1,429
TCGA-F5-6861,1,570
TCGA-AA-3494,1,63
TCGA-AA-3488,1,60
TCGA-AA-3517,1,73
TCGA-AA-3679,1,113
TCGA-A6-2680,1,17
TCGA-CA-5797,1,383
TCGA-CA-6719,1,388
TCGA-G4-6297,1,576
TCGA-DC-6157,1,487
TCGA-F4-6460,1,546
TCGA-AA-3968,1,171
TCGA-CM-6170,1,439
TCGA-F4-6463,1,548
TCGA-AA-A01K,1,208
TCGA-AH-6644,1,341
TCGA-DC-6683,1,492
TCGA-AH-6549,1,339
TCGA-F5-6810,1,565
TCGA-CL-5917,1,410
TCGA-NH-A8F8,1,612
TCGA-AY-A69D,1,355
TCGA-AF-A56L,1,258
TCGA-DC-5869,1,483
TCGA-A6-A56B,1,58
TCGA-G4-6314,1,587
TCGA-A6-5656,1,30
TCGA-CM-5862,1,426
TCGA-DM-A28A,1,510
TCGA-5M-AAT4,1,4
TCGA-AA-3712,1,124
TCGA-AG-3742,1,290
TCGA-A6-A5ZU,1,59
TCGA-D5-6929,1,475
TCGA-AD-6965,1,241
TCGA-AA-A02W,1,227
TCGA-AA-3534,1,87
TCGA-AG-A036,1,336
TCGA-DY-A1DC,1,520
TCGA-AG-3586,1,268
TCGA-DM-A0XF,1,495
TCGA-D5-6898,1,467
TCGA-A6-5667,1,39
TCGA-AA-3660,1,103
TCGA-D5-6922,1,469
TCGA-3L-AA1B,1,1
TCGA-AA-3673,1,110
TCGA-CM-4748,1,416
TCGA-AA-3819,1,132
TCGA-AA-3941,1,163
TCGA-AA-3854,1,146
TCGA-QG-A5YX,1,615
TCGA-AG-A015,1,321
TCGA-RU-A8FL,1,619
TCGA-AZ-6608,1,377
TCGA-CK-5915,1,403
TCGA-AA-A01F,1,205
TCGA-DM-A28E,1,512
TCGA-AD-6888,1,233
TCGA-CA-6715,1,384
TCGA-5M-AAT5,1,5
TCGA-DM-A282,1,507
TCGA-AF-5654,1,253
TCGA-AH-6897,1,342
TCGA-EI-6508,1,530
TCGA-CM-6166,1,435
TCGA-AD-A5EK,1,243
TCGA-QG-A5YV,1,613
TCGA-AA-A029,1,219
TCGA-CM-6676,1,444
TCGA-G4-6626,1,597
TCGA-AG-A01L,1,324
TCGA-D5-5537,1,449
TCGA-AA-3531,1,85
TCGA-AA-A01S,1,212
TCGA-G4-6307,1,583
TCGA-AA-A02J,1,223
TCGA-SS-A7HO,1,620
TCGA-A6-2677,1,14
TCGA-A6-5659,1,32
TCGA-AA-3522,1,78
TCGA-AA-3530,1,84
TCGA-DM-A1DA,1,502
TCGA-DM-A1D9,1,501
TCGA-G4-6320,1,590
TCGA-AA-3955,1,168
TCGA-AA-A01G,1,206
TCGA-T9-A92H,1,621
TCGA-AM-5820,1,344
TCGA-G4-6310,1,585
TCGA-DM-A28H,1,515
TCGA-NH-A50T,1,604
TCGA-AA-A02F,1,221
TCGA-D5-6538,1,463
TCGA-AY-A54L,1,354
TCGA-DM-A1D6,1,498
TCGA-AF-6136,1,254
TCGA-5M-AATE,1,8
TCGA-A6-A567,1,57
TCGA-A6-6650,1,47
TCGA-DM-A1D0,1,496
TCGA-G5-6572,1,602
TCGA-DM-A285,1,508
TCGA-EI-6509,1,531
TCGA-AA-A02Y,1,228
TCGA-G4-6586,1,594
TCGA-AY-6197,1,352
TCGA-G4-6309,1,584
TCGA-AA-A01Q,1,210
TCGA-AG-3887,1,296
TCGA-NH-A5IV,1,607
TCGA-AA-A01V,1,214
TCGA-AG-4015,1,311
TCGA-AG-A01W,1,326
TCGA-CM-6161,1,430
TCGA-CA-5256,1,381
TCGA-DM-A0X9,1,493
TCGA-AA-A00U,1,198
TCGA-AY-6386,1,353
TCGA-CK-6747,1,406
TCGA-EF-5830,1,526
TCGA-G4-6306,1,582
TCGA-D5-6537,1,462
TCGA-NH-A6GB,1,609
TCGA-G4-6317,1,589
TCGA-CL-5918,1,411
TCGA-DY-A1H8,1,525
TCGA-AG-3732,1,289
TCGA-G4-6323,1,593
TCGA-QG-A5Z2,1,617
TCGA-AG-A020,1,328
TCGA-AG-A02X,1,334
TCGA-AG-A008,1,315
TCGA-DM-A28K,1,516
TCGA-AA-A02E,1,220
TCGA-F4-6856,1,560
TCGA-G4-6321,1,591
TCGA-AG-3591,1,270
TCGA-AG-3725,1,284
TCGA-CA-5796,1,382
TCGA-AZ-6599,1,370
TCGA-AA-3502,1,66
TCGA-AA-3680,1,114
TCGA-AF-6672,1,256
TCGA-DM-A28G,1,514
TCGA-AZ-5407,1,368
TCGA-EI-6510,1,532
TCGA-A6-6780,1,52
TCGA-A6-3809,1,26
TCGA-AA-3947,1,164
TCGA-A6-2674,1,11
TCGA-A6-6781,1,53
TCGA-AG-A02N,1,333
TCGA-CM-4744,1,413
TCGA-AA-3811,1,127
TCGA-AA-3845,1,140
TCGA-AA-3713,1,125
TCGA-AZ-4614,1,362
TCGA-AA-3980,1,180
TCGA-AZ-6598,1,369
TCGA-G4-6299,1,578
TCGA-G4-6295,1,575
TCGA-CK-5914,1,402
TCGA-D5-5540,1,452
TCGA-AA-3852,1,145
TCGA-AG-3612,1,283
TCGA-AG-4005,1,308
TCGA-AA-3692,1,119
TCGA-AG-4007,1,309
TCGA-CK-5913,1,401
TCGA-CM-6675,1,443
TCGA-AA-3663,1,105
TCGA-D5-7000,1,479
TCGA-AG-3600,1,276
TCGA-DM-A0XD,1,494
TCGA-AA-3833,1,135
TCGA-AZ-6607,1,376
TCGA-AF-2691,1,246
TCGA-D5-6927,1,473
TCGA-AA-3877,1,160
TCGA-D5-6540,1,465
TCGA-AA-3664,1,106
TCGA-AA-3864,1,153
TCGA-AA-3666,1,107
TCGA-AA-3979,1,179
TCGA-EI-6882,1,538
TCGA-A6-5665,1,37
TCGA-AG-3578,1,262
TCGA-CK-4952,1,399
TCGA-CM-6171,1,440
TCGA-A6-6653,1,50
TCGA-EI-6513,1,535
TCGA-AD-6889,1,234
TCGA-G4-6588,1,595
TCGA-AA-3821,1,133
TCGA-AD-A5EJ,1,242
TCGA-EI-6507,1,529
TCGA-AA-3875,1,159
TCGA-AA-3555,1,97
TCGA-AA-3930,1,161
TCGA-AA-3529,1,83
TCGA-AA-A01D,1,204
TCGA-CM-5863,1,427
TCGA-AA-3524,1,79
TCGA-AA-3855,1,147
TCGA-AA-3939,1,162
TCGA-AA-3842,1,138
TCGA-AA-3818,1,131
TCGA-AF-3911,1,250
TCGA-AA-3688,2,118
TCGA-D5-6532,2,457
TCGA-CM-6172,2,441
TCGA-AA-3675,2,111
TCGA-CK-5912,2,400
TCGA-AA-A00O,2,195
TCGA-AA-A01X,2,215
TCGA-AG-A01J,2,323
TCGA-AG-A025,2,330
TCGA-A6-2683,2,20
TCGA-AG-3893,2,299
TCGA-AG-A011,2,319
TCGA-DC-6155,2,485
TCGA-4N-A93T,2,2
TCGA-AG-A00C,2,316
TCGA-CA-5254,2,379
TCGA-AA-A01Z,2,216
TCGA-DC-6681,2,490
TCGA-A6-5662,2,35
TCGA-DC-6154,2,484
TCGA-AA-3973,2,175
TCGA-F4-6806,2,554
TCGA-AA-A017,2,202
TCGA-CM-6679,2,447
TCGA-AA-3549,2,93
TCGA-D5-6932,2,478
TCGA-AA-3560,2,99
TCGA-AG-3593,2,272
TCGA-D5-6539,2,464
TCGA-AG-3583,2,266
TCGA-AG-3605,2,279
TCGA-AA-3552,2,94
TCGA-AA-3971,2,173
TCGA-AA-3495,2,64
TCGA-AA-3850,2,143
TCGA-D5-6920,2,468
TCGA-EI-6506,2,528
TCGA-AG-3581,2,264
TCGA-AA-3975,2,176
TCGA-AG-3896,2,301
TCGA-D5-6536,2,461
TCGA-CI-6623,2,393
TCGA-AA-3952,2,167
TCGA-AG-4008,2,310
TCGA-AG-4021,2,312
TCGA-AA-3538,2,88
TCGA-AA-3867,2,155
TCGA-A6-5660,2,33
TCGA-AG-3999,2,306
TCGA-G4-6298,2,577
TCGA-QG-A5Z1,2,616
TCGA-CM-5344,2,421
TCGA-F5-6864,2,572
TCGA-AF-3913,2,251
TCGA-AG-A00H,2,317
TCGA-CM-5349,2,423
TCGA-G4-6311,2,586
TCGA-DC-6682,2,491
TCGA-DM-A1DB,2,503
TCGA-QL-A97D,2,618
TCGA-DM-A28F,2,513
TCGA-AF-A56N,2,259
TCGA-AG-A032,2,335
TCGA-AA-A01C,2,203
TCGA-AA-A00Q,2,196
TCGA-AD-6890,2,235
TCGA-AA-3542,2,89
TCGA-AA-3831,2,134
TCGA-AA-3994,2,185
TCGA-AA-A00J,2,191
TCGA-G5-6233,2,600
TCGA-G4-6322,2,592
TCGA-AF-2692,2,247
TCGA-NH-A6GA,2,608
TCGA-AG-3582,2,265
TCGA-EI-7002,2,543
TCGA-CM-6678,2,446
TCGA-EF-5831,2,527
