,x
1,TCGA-QG-A5YX
2,TCGA-AA-A02E
3,TCGA-AG-A02X
4,TCGA-AF-6672
5,TCGA-DM-A28G
6,TCGA-AZ-6599
7,TCGA-DM-A28K
8,TCGA-AG-A008
9,TCGA-AG-A020
10,TCGA-AA-A029
11,TCGA-CM-6676
12,TCGA-AG-A01L
13,TCGA-D5-5537
14,TCGA-AA-A02H
15,TCGA-AG-A01N
16,TCGA-AA-3531
17,TCGA-G4-6626
18,TCGA-DM-A1D9
19,TCGA-5M-AAT5
20,TCGA-T9-A92H
21,TCGA-DM-A1DA
22,TCGA-G4-6320
23,TCGA-AF-5654
24,TCGA-AH-6897
25,TCGA-EI-6508
26,TCGA-CM-6166
27,TCGA-AD-A5EK
28,TCGA-QG-A5YV
29,TCGA-CA-5255
30,TCGA-CM-6675
31,TCGA-CK-4952
32,TCGA-AA-3664
33,TCGA-AA-3979
34,TCGA-CA-5256
35,TCGA-DM-A0X9
36,TCGA-EF-5830
37,TCGA-G4-6306
38,TCGA-CL-5918
39,TCGA-G4-6304
40,TCGA-D5-6537
41,TCGA-NH-A6GB
42,TCGA-AD-6888
43,TCGA-CA-6715
44,TCGA-AG-A015
45,TCGA-RU-A8FL
46,TCGA-AA-A01S
47,TCGA-G4-6307
48,TCGA-AA-A02J
49,TCGA-SS-A7HO
50,TCGA-G4-6317
51,TCGA-AZ-6608
52,TCGA-DY-A1H8
53,TCGA-D5-6538
54,TCGA-EI-6509
55,TCGA-A6-5666
56,TCGA-AA-A02F
57,TCGA-DM-A285
58,TCGA-DM-A28H
59,TCGA-NH-A50T
60,TCGA-AY-A54L
61,TCGA-DM-A1D6
62,TCGA-NH-A6GC
63,TCGA-G5-6641
64,TCGA-4T-AA8H
65,TCGA-AY-A71X
66,TCGA-DM-A1D0
67,TCGA-DM-A288
68,TCGA-DM-A1D4
69,TCGA-DM-A1D8
70,TCGA-A6-6652
71,TCGA-AA-A01F
72,TCGA-DM-A28E
73,TCGA-DM-A28M
74,TCGA-DY-A1DG
75,TCGA-NH-A8F7
76,TCGA-AG-A016
77,TCGA-DY-A1DD
78,TCGA-AH-6544
79,TCGA-G4-6315
80,TCGA-A6-6648
81,TCGA-AH-6903
82,TCGA-AY-A8YK
83,TCGA-G5-6235
84,TCGA-CK-5915
85,TCGA-F5-6863
86,TCGA-CM-5868
87,TCGA-F5-6861
88,TCGA-AZ-6606
89,TCGA-CL-4957
90,TCGA-DC-4749
91,TCGA-AA-A02K
92,TCGA-AG-A014
93,TCGA-AA-A00L
94,TCGA-AG-3601
95,TCGA-F4-6808
96,TCGA-NH-A50U
97,TCGA-AG-A002
98,TCGA-AA-3696
99,TCGA-CM-5861
100,TCGA-AH-6643
101,TCGA-AA-3972
102,TCGA-DM-A1HB
103,TCGA-DM-A280
104,TCGA-AA-3693
105,TCGA-AZ-4682
106,TCGA-DY-A0XA
107,TCGA-CI-6622
108,TCGA-NH-A6GA
109,TCGA-AD-A5EJ
110,TCGA-AA-3712
111,TCGA-AG-3742
112,TCGA-G5-6572
113,TCGA-AF-6136
114,TCGA-5M-AATE
115,TCGA-A6-A567
116,TCGA-CM-5862
117,TCGA-A6-5656
118,TCGA-A6-6650
119,TCGA-A6-2677
120,TCGA-A6-5659
121,TCGA-DM-A1HA
122,TCGA-DM-A1DB
123,TCGA-DM-A28F
124,TCGA-AG-A026
125,TCGA-G4-6310
126,TCGA-CA-6716
127,TCGA-G4-6298
128,TCGA-DM-A282
129,TCGA-5M-AAT4
130,TCGA-DM-A28A
131,TCGA-AM-5820
132,TCGA-A6-A56B
133,TCGA-CL-5917
134,TCGA-NH-A8F8
135,TCGA-AA-3556
136,TCGA-CA-5797
137,TCGA-AA-3663
138,TCGA-D5-7000
139,TCGA-AA-3555
140,TCGA-AA-3930
141,TCGA-D5-6533
142,TCGA-DY-A1DE
143,TCGA-AZ-4315
144,TCGA-F5-6814
145,TCGA-AZ-4616
