Profile ID	Profile Model	Cluster (-1 non-significant)	# Genes Assigned	# Gene Expected	p-value
0	0.0,-2.0,-3.0,-4.0,-2.0	-1	45.0	42.7	0.38
1	0.0,-2.0,-2.0,-1.0,-2.0	-1	47.0	42.44	0.26
2	0.0,-2.0,-1.0,-2.0,-2.0	-1	31.0	41.46	0.96
3	0.0,-2.0,-1.0,-1.0,-1.0	-1	25.0	44.64	1.00
4	0.0,-2.0,-1.0,0.0,-2.0	-1	9.0	26.08	1.00
5	0.0,-2.0,-1.0,0.0,0.0	-1	7.0	42.97	1.00
6	0.0,-2.0,-1.0,0.0,2.0	-1	22.0	49.62	1.00
7	0.0,-2.0,0.0,0.0,-1.0	-1	10.0	38.46	1.00
8	0.0,-1.0,-3.0,-2.0,-2.0	4	84.0	36.9	1.3E-11
9	0.0,-1.0,-2.0,-3.0,-4.0	2	130.0	34.7	3.5E-36
10	0.0,-1.0,-2.0,-1.0,0.0	-1	70.0	59.68	0.10
11	0.0,-1.0,-1.0,1.0,0.0	-1	9.0	51.7	1.00
12	0.0,-1.0,0.0,-1.0,0.0	-1	11.0	47.48	1.00
13	0.0,-1.0,0.0,0.0,-2.0	-1	25.0	44.37	1.00
14	0.0,-1.0,0.0,2.0,2.0	6	47.0	20.56	3.4E-7
15	0.0,-1.0,1.0,-1.0,-1.0	-1	23.0	46.22	1.00
16	0.0,-1.0,1.0,0.0,0.0	-1	28.0	46.96	1.00
17	0.0,-1.0,1.0,1.0,-1.0	-1	11.0	25.24	1.00
18	0.0,-1.0,1.0,1.0,1.0	-1	38.0	47.33	0.93
19	0.0,0.0,-2.0,-3.0,-2.0	-1	28.0	19.7	0.04
20	0.0,0.0,-2.0,0.0,-1.0	-1	12.0	67.9	1.00
21	0.0,0.0,-1.0,-2.0,0.0	-1	7.0	44.97	1.00
22	0.0,0.0,-1.0,0.0,-2.0	-1	41.0	45.07	0.75
23	0.0,0.0,-1.0,1.0,1.0	-1	3.0	48.72	1.00
24	0.0,0.0,0.0,-2.0,-1.0	-1	11.0	50.22	1.00
25	0.0,0.0,0.0,-1.0,1.0	-1	5.0	44.32	1.00
26	0.0,0.0,0.0,1.0,-1.0	-1	4.0	49.68	1.00
27	0.0,0.0,1.0,-1.0,0.0	-1	13.0	49.0	1.00
28	0.0,0.0,1.0,0.0,2.0	-1	14.0	39.28	1.00
29	0.0,0.0,1.0,2.0,0.0	-1	34.0	37.58	0.74
30	0.0,1.0,-1.0,-1.0,0.0	-1	7.0	45.23	1.00
31	0.0,1.0,-1.0,0.0,-1.0	-1	4.0	41.99	1.00
32	0.0,1.0,-1.0,0.0,1.0	-1	5.0	48.98	1.00
33	0.0,1.0,0.0,0.0,2.0	-1	22.0	41.8	1.00
34	0.0,1.0,0.0,1.0,0.0	-1	18.0	42.74	1.00
35	0.0,1.0,0.0,1.0,1.0	-1	13.0	37.78	1.00
36	0.0,1.0,1.0,-1.0,1.0	-1	9.0	43.79	1.00
37	0.0,1.0,1.0,0.0,-2.0	-1	24.0	63.76	1.00
38	0.0,1.0,1.0,1.0,1.0	0	277.0	70.82	2.3E-81
39	0.0,1.0,1.0,3.0,2.0	-1	47.0	35.92	0.04
40	0.0,1.0,2.0,1.0,0.0	3	97.0	52.24	1.2E-8
41	0.0,1.0,2.0,3.0,4.0	0	86.0	31.8	8.1E-16
42	0.0,1.0,3.0,1.0,2.0	1	250.0	45.24	2.1E-103
43	0.0,1.0,3.0,3.0,2.0	0	150.0	28.48	4.0E-59
44	0.0,2.0,0.0,-2.0,-3.0	-1	23.0	28.7	0.88
45	0.0,2.0,1.0,0.0,0.0	-1	16.0	41.1	1.00
46	0.0,2.0,1.0,1.0,1.0	5	84.0	51.14	1.2E-5
47	0.0,2.0,2.0,0.0,1.0	-1	43.0	30.56	0.02
48	0.0,2.0,2.0,1.0,3.0	1	65.0	33.12	5.0E-7
49	0.0,2.0,2.0,3.0,1.0	-1	53.0	35.86	4.1E-3
