location_name,Deaths
Advanced Health System,3.78
Africa,0.84
African Region,1.6
America,8.2
Andean Latin America,3.41
Asia,1.58
Australasia,7.92
Basic Health System,0.97
Caribbean,2.46
Central Africa,1.34
Central Asia,0
Central Europe,0
Central Latin America,5.58
Central Sub-Saharan Africa,2.59
Commonwealth High Income,5.98
Commonwealth Low Income,2
Commonwealth Middle Income,2.5
East Asia,-0.08
East Asia & Pacific - WB,0.97
Eastern Africa,1.94
Eastern Europe,0
Eastern Mediterranean Region,2.95
Eastern Sub-Saharan Africa,1.54
Europe,-7.61
Europe & Central Asia - WB,-7.63
European Region,-7.65
High-income Asia Pacific,2.56
High-income North America,8.57
Latin America & Caribbean - WB,7.99
Limited Health System,2.39
Middle East & North Africa - WB,0.36
Minimal Health System,1.41
North Africa and Middle East,0.41
North America,8.57
Northern Africa,-11.15
Oceania,-2.07
Region of the Americas,8.2
South-East Asia Region,1.27
South Asia,2.64
South Asia - WB,2.61
Southeast Asia,0.41
Southern Africa,1.72
Southern Latin America,-8.59
Southern Sub-Saharan Africa,-1.89
Sub-Saharan Africa - WB,1.55
Tropical Latin America,11.24
Western Africa,0.61
Western Europe,-7.71
Western Pacific Region,3.51
Western Sub-Saharan Africa,0.56
World Bank High Income,4.11
World Bank Low Income,2.86
World Bank Lower Middle Income,1.36
World Bank Upper Middle Income,2.35
