"","9_1","9_2","9_3","17_1","17_2","17_3","87_1","87_2","87_3","136_1","136_2","136_3","42_1","42_2","42_3","CK_1","CK_2","CK_3"
"Proteobacteria",0.498285570480355,0.504129793510324,0.484456373688006,0.576943090969298,0.551636832052592,0.432489849872533,0.416925707180603,0.473310746020584,0.47327668360864,0.408897816708927,0.496558418637487,0.45203895313451,0.47481945113144,0.493583800927055,0.527671755725191,0.540743880470488,0.491515761234071,0.515839630718833
"Actinobacteriota",0.230582906036679,0.213358617783397,0.201386106882461,0.15010170774398,0.155199218229467,0.0719006703805118,0.21119573101233,0.316691171770121,0.278113087674714,0.282378898146014,0.29747617366749,0.257334144856969,0.229128550794415,0.183361795559893,0.214747667514843,0.180089011338349,0.218678739101274,0.212895060119867
"Cyanobacteria",0.0997514863632074,0.052212389380531,0.120703469273295,0.0152798145607645,0.0109714387242926,0.377301482390709,0.243342658791835,0.0464744614204436,0.0499523506988564,0.171798333717522,0.072037886810213,0.146469872185027,0.106162734713529,0.0715784337643328,0.054813401187447,0.0166896259404472,0.011569416498994,0.0199158694114581
"Chloroflexi",0.0592657837616786,0.0764854614412137,0.0605320086531528,0.0831165144992668,0.0867498778483543,0.0220470210556133,0.0469640451766656,0.0622962347375823,0.0770330368487929,0.049132281753219,0.0515648899870573,0.0465307364576993,0.0867116032739528,0.101195413515492,0.0797285835453774,0.094097700540426,0.116364855801476,0.10426981349812
"Gemmatimonadota",0.0511812262103243,0.0752633796881585,0.0751542344363432,0.0702493022375704,0.0972327099897837,0.0171371919554339,0.0331571857838566,0.0404653838777728,0.0572585768742058,0.043171864194685,0.0359454053418049,0.0440961655508217,0.0503610977371208,0.0652842156623567,0.0543893129770992,0.0842428737946381,0.0505700871898055,0.0598965119309087
"Acidobacteriota",0.0340683884362515,0.0473240623683102,0.0309270090537617,0.0646672028005109,0.065562119664194,0.0148711169861203,0.0192208061340794,0.0288947132902896,0.0333545108005083,0.0199888036355254,0.019502294387575,0.0244674376141205,0.0330765527202696,0.0504025372041961,0.0381679389312977,0.0558440182261312,0.0737089201877934,0.0636935561925325
"Patescibacteria",0.00830475950800591,0.00859671302149178,0.0116577197339957,0.00875159657505085,0.00688491094034558,0.00108582758946275,0.0145580768832245,0.0185706066611264,0.0132226810673443,0.0133697764020153,0.0172667372632074,0.016676810712112,0.00572941742898411,0.010783117833618,0.00948897370653096,0.00577514040478966,0.0103957075788062,0.00521162937869933
"SAR324_clade(Marine_group_B)",0.00346031646166913,0.009102402022756,0.000640974280906979,0.00884620842991627,0.00612979167592058,0.00174676612217921,0.00357475909232204,0.00444288180016621,0.0039707750952986,0.00342477030987585,0.00235321802565008,0.00246500304321363,0.00505536831969186,0.00961210051232008,0.00943596268023749,0.00582812334428314,0.00818242790073776,0.00569556639243569
"Crenarchaeota",0.00311428481550222,0.00176991150442478,0.00152231391715407,0.00548748758219405,0.00435304046550882,0.00118024737985082,0.00227955652264014,0.00332417055552004,0.00254129606099111,0.00161359370369151,0.00161783739263443,0.00179549604382228,0.00139624458353394,0.000243961941937058,0.00180237489397795,0.0078414750450355,0.00674044265593561,0.00375981833749023
"Planctomycetota",0.00295699770360817,0.00375052675937632,0.00392596747055524,0.00458867496097261,0.00310931461822058,0.000566518742328392,0.00209822816288468,0.000863005817298472,0.00262071156289708,0.00154773273619389,0.00102953288622191,0.00225197808886184,0.00211844005777564,0.00243961941937058,0.000742154368108567,0.00132457348733708,0.00375586854460094,0.0013401332688084
