ASV_ID,Taxon,Confidence
1,d__Bacteria,0.89864634
2,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales,0.856676858
3,d__Bacteria; p__Latescibacterota; c__Latescibacterota; o__Latescibacterota; f__Latescibacterota; g__Latescibacterota; s__uncultured_Desulfuromonadales,0.708559942
4,d__Bacteria,0.999837845
5,d__Bacteria,0.924295015
6,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,0.89954902
7,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae,0.818697763
8,d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria,0.901228348
9,d__Bacteria,0.99997545
10,d__Bacteria,0.999999985
11,d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__uncultured; g__uncultured; s__metagenome,0.848881463
12,d__Bacteria,0.946753995
13,d__Bacteria,0.942748779
14,d__Bacteria,0.927003565
15,Unassigned,0.864461666
16,d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__Solanum_melongena,0.977365912
17,Unassigned,0.860953044
18,Unassigned,0.952747265
19,d__Bacteria,0.886856288
20,Unassigned,0.898544651
21,Unassigned,0.90096655
22,d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Mitochondria; s__Nicotiana_tomentosiformis,0.809755749
23,d__Bacteria,0.921536268
24,d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Actinomarinales; f__uncultured; g__uncultured; s__uncultured_soil,0.975861431
25,d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia,0.79665206
26,d__Bacteria,0.999999075
27,d__Bacteria,0.999999899
28,d__Bacteria,0.999994631
29,d__Bacteria,0.971178727
30,d__Bacteria,0.942783008
31,d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales,0.755780775
32,d__Bacteria; p__Firmicutes; c__Limnochordia; o__Limnochordales; f__Limnochordaceae; g__Limnochorda,0.993984823
33,d__Bacteria,0.939698446
34,d__Bacteria,0.867953099
