SampleID	Phylum	Relative abundance (%)	TreatmentID	Site	Treatment	Soiltype	Compartments
BCCCK1	Abditibacteriota	0.07 	CK1	CC	CK	BSA	BS
BCCCK1	Acidobacteriota	5.34 	CK1	CC	CK	BSA	BS
BCCCK1	Actinobacteriota	40.67 	CK1	CC	CK	BSA	BS
BCCCK1	Bacteroidota	1.18 	CK1	CC	CK	BSA	BS
BCCCK1	Chloroflexi	11.24 	CK1	CC	CK	BSA	BS
BCCCK1	Deinococcota	0.00 	CK1	CC	CK	BSA	BS
BCCCK1	Firmicutes	1.74 	CK1	CC	CK	BSA	BS
BCCCK1	Gemmatimonadota	5.97 	CK1	CC	CK	BSA	BS
BCCCK1	Myxococcota	2.92 	CK1	CC	CK	BSA	BS
BCCCK1	Nitrospirota	2.23 	CK1	CC	CK	BSA	BS
BCCCK1	Alphaproteobacteria	10.58 	CK1	CC	CK	BSA	BS
BCCCK1	Gammaproteobacteria	13.17 	CK1	CC	CK	BSA	BS
BCCCK1	unclassified	0.43 	CK1	CC	CK	BSA	BS
BCCCK1	Others	4.47 	CK1	CC	CK	BSA	BS
BCCCK2	Abditibacteriota	0.09 	CK2	CC	CK	BSA	BS
BCCCK2	Acidobacteriota	4.85 	CK2	CC	CK	BSA	BS
BCCCK2	Actinobacteriota	39.41 	CK2	CC	CK	BSA	BS
BCCCK2	Bacteroidota	2.24 	CK2	CC	CK	BSA	BS
BCCCK2	Chloroflexi	7.54 	CK2	CC	CK	BSA	BS
BCCCK2	Deinococcota	0.01 	CK2	CC	CK	BSA	BS
BCCCK2	Firmicutes	1.40 	CK2	CC	CK	BSA	BS
BCCCK2	Gemmatimonadota	6.38 	CK2	CC	CK	BSA	BS
BCCCK2	Myxococcota	3.64 	CK2	CC	CK	BSA	BS
BCCCK2	Nitrospirota	1.50 	CK2	CC	CK	BSA	BS
BCCCK2	Alphaproteobacteria	11.67 	CK2	CC	CK	BSA	BS
BCCCK2	Gammaproteobacteria	16.77 	CK2	CC	CK	BSA	BS
BCCCK2	unclassified	0.31 	CK2	CC	CK	BSA	BS
BCCCK2	Others	4.18 	CK2	CC	CK	BSA	BS
BCCCK3	Abditibacteriota	0.07 	CK3	CC	CK	BSA	BS
BCCCK3	Acidobacteriota	4.82 	CK3	CC	CK	BSA	BS
BCCCK3	Actinobacteriota	39.73 	CK3	CC	CK	BSA	BS
BCCCK3	Bacteroidota	2.36 	CK3	CC	CK	BSA	BS
BCCCK3	Chloroflexi	9.22 	CK3	CC	CK	BSA	BS
BCCCK3	Deinococcota	0.01 	CK3	CC	CK	BSA	BS
BCCCK3	Firmicutes	1.28 	CK3	CC	CK	BSA	BS
BCCCK3	Gemmatimonadota	5.50 	CK3	CC	CK	BSA	BS
BCCCK3	Myxococcota	3.54 	CK3	CC	CK	BSA	BS
BCCCK3	Nitrospirota	1.92 	CK3	CC	CK	BSA	BS
BCCCK3	Alphaproteobacteria	10.62 	CK3	CC	CK	BSA	BS
BCCCK3	Gammaproteobacteria	15.56 	CK3	CC	CK	BSA	BS
BCCCK3	unclassified	0.40 	CK3	CC	CK	BSA	BS
BCCCK3	Others	4.98 	CK3	CC	CK	BSA	BS
BCCNPK1	Abditibacteriota	0.10 	NPK1	CC	NPK	BSA	BS
BCCNPK1	Acidobacteriota	5.71 	NPK1	CC	NPK	BSA	BS
BCCNPK1	Actinobacteriota	29.19 	NPK1	CC	NPK	BSA	BS
BCCNPK1	Bacteroidota	5.04 	NPK1	CC	NPK	BSA	BS
BCCNPK1	Chloroflexi	14.46 	NPK1	CC	NPK	BSA	BS
BCCNPK1	Deinococcota	0.02 	NPK1	CC	NPK	BSA	BS
BCCNPK1	Firmicutes	1.54 	NPK1	CC	NPK	BSA	BS
BCCNPK1	Gemmatimonadota	6.26 	NPK1	CC	NPK	BSA	BS
BCCNPK1	Myxococcota	2.91 	NPK1	CC	NPK	BSA	BS
BCCNPK1	Nitrospirota	1.67 	NPK1	CC	NPK	BSA	BS
BCCNPK1	Alphaproteobacteria	11.97 	NPK1	CC	NPK	BSA	BS
BCCNPK1	Gammaproteobacteria	15.90 	NPK1	CC	NPK	BSA	BS
BCCNPK1	unclassified	0.40 	NPK1	CC	NPK	BSA	BS
BCCNPK1	Others	4.84 	NPK1	CC	NPK	BSA	BS
BCCNPK2	Abditibacteriota	0.19 	NPK2	CC	NPK	BSA	BS
BCCNPK2	Acidobacteriota	4.80 	NPK2	CC	NPK	BSA	BS
BCCNPK2	Actinobacteriota	28.43 	NPK2	CC	NPK	BSA	BS
BCCNPK2	Bacteroidota	5.35 	NPK2	CC	NPK	BSA	BS
BCCNPK2	Chloroflexi	15.05 	NPK2	CC	NPK	BSA	BS
BCCNPK2	Deinococcota	0.03 	NPK2	CC	NPK	BSA	BS
BCCNPK2	Firmicutes	1.52 	NPK2	CC	NPK	BSA	BS
BCCNPK2	Gemmatimonadota	6.34 	NPK2	CC	NPK	BSA	BS
BCCNPK2	Myxococcota	2.98 	NPK2	CC	NPK	BSA	BS
BCCNPK2	Nitrospirota	0.87 	NPK2	CC	NPK	BSA	BS
BCCNPK2	Alphaproteobacteria	13.88 	NPK2	CC	NPK	BSA	BS
BCCNPK2	Gammaproteobacteria	16.10 	NPK2	CC	NPK	BSA	BS
BCCNPK2	unclassified	0.32 	NPK2	CC	NPK	BSA	BS
BCCNPK2	Others	4.15 	NPK2	CC	NPK	BSA	BS
BCCNPK3	Abditibacteriota	0.19 	NPK3	CC	NPK	BSA	BS
BCCNPK3	Acidobacteriota	7.06 	NPK3	CC	NPK	BSA	BS
BCCNPK3	Actinobacteriota	29.37 	NPK3	CC	NPK	BSA	BS
BCCNPK3	Bacteroidota	1.76 	NPK3	CC	NPK	BSA	BS
BCCNPK3	Chloroflexi	11.21 	NPK3	CC	NPK	BSA	BS
BCCNPK3	Deinococcota	0.02 	NPK3	CC	NPK	BSA	BS
BCCNPK3	Firmicutes	2.22 	NPK3	CC	NPK	BSA	BS
BCCNPK3	Gemmatimonadota	7.05 	NPK3	CC	NPK	BSA	BS
BCCNPK3	Myxococcota	2.90 	NPK3	CC	NPK	BSA	BS
BCCNPK3	Nitrospirota	1.13 	NPK3	CC	NPK	BSA	BS
BCCNPK3	Alphaproteobacteria	14.01 	NPK3	CC	NPK	BSA	BS
BCCNPK3	Gammaproteobacteria	18.90 	NPK3	CC	NPK	BSA	BS
BCCNPK3	unclassified	0.26 	NPK3	CC	NPK	BSA	BS
BCCNPK3	Others	3.92 	NPK3	CC	NPK	BSA	BS
BCCNPKM1	Abditibacteriota	0.08 	NPKM1	CC	NPKM	BSA	BS
BCCNPKM1	Acidobacteriota	4.95 	NPKM1	CC	NPKM	BSA	BS
BCCNPKM1	Actinobacteriota	33.09 	NPKM1	CC	NPKM	BSA	BS
