Type	B7-H3 CAR T	DSF/Cu+B7-H3 CAR T	IR+B7-H3 CAR T	DSF/Cu+IR+B7-H3 CAR T
Day 5	1.323894	4.154395	10.93713	17.469226
Day 5	2.544897	2.697587	8.66299	23.08506
Day 5	2.109779	6.777638	13.96295	10.68514
Day 5	4.152368	3.663237	11.95414	15.75115
Day 5	1.892416	5.965321	6.735616	10.583111
Day 10	9.718064	18.10286	29.96136	46.99698
Day 10	9.598779	9.21038	28.9556	35.38648
Day 10	8.4356	34.99765	27.14513	35.91694
Day 10	4.245511	20.91028	35.35235	31.35401
Day 10	11.59031	29.31811	22.51844	27.278
